posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
21-06-2018, 335.000, 335.000,-, 335.000, 6.091,9 dagen
28-06-2018, 365.000, 365.000,-, 365.000, 4.195,Nieuw
11-06-2018, 899.000, 899.000,-, 899.000, 6.863,19 dagen
02-06-2018, 525.000, 525.000,-, 525.000, 4.412,28 dagen
23-06-2018, 425.000, 425.000,-, 425.000, 5.449,7 dagen
04-06-2018, 250.000, 250.000,-, 250.000, 3.289,26 dagen
06-06-2018, 439.500, 439.500,-, 439.500, 3.052,24 dagen
09-05-2018, 1.180.000, 1.180.000,-, 1.180.000, 7.024,1 maand
12-06-2018, 350.000, 350.000,-, 350.000, 3.431,18 dagen
06-06-2018, 450.000, 450.000,-, 450.000, 5.294,24 dagen
27-06-2018, 329.000, 329.000,-, 329.000, 4.113,3 dagen
15-06-2018, 375.000, 375.000,-, 375.000, 6.466,15 dagen
25-06-2018, 400.000, 400.000,-, 400.000, 3.333,5 dagen
04-04-2018, 750.000, 750.000,-, 750.000, 5.319,2 maanden
30-03-2018, 675.000, 675.000,-, 675.000, 4.500,3 maanden
28-05-2018, 450.000, 450.000,-, 450.000, 4.639,1 maand
21-06-2018, 1.200.000, 1.200.000,-, 1.200.000, 9.375,9 dagen
22-05-2018, 510.000, 510.000,-, 510.000, 5.862,1 maand
15-06-2018, 685.000, 685.000,-, 685.000, 3.960,15 dagen
10-06-2018, 625.000, 625.000,-, 625.000, 6.378,20 dagen
12-06-2018, 625.000, 625.000,-, 625.000, 5.531,18 dagen
22-06-2018, 469.000, 469.000,-, 469.000, 3.500,8 dagen
13-06-2018, 300.000, 300.000,-, 300.000, 4.225,17 dagen
25-06-2018, 580.000, 580.000,-, 580.000, 3.816,5 dagen
05-06-2018, 1.325.000, 1.325.000,-, 1.325.000, 6.340,25 dagen
28-06-2018, 425.000, 425.000,-, 425.000, 5.120,Nieuw
11-05-2018, 400.000, 400.000,-, 400.000, 3.175,1 maand
26-06-2018, 645.000, 645.000,-, 645.000, 5.287,4 dagen
20-06-2018, 375.000, 375.000,-, 375.000, 2.799,10 dagen
17-06-2018, 449.020, 469.020," -20.000 / -4,3%", 449.020, 3.592,13 dagen
18-06-2018, 220.000, 220.000,-, 220.000, 7.333,12 dagen
24-05-2018, 489.000, 489.000,-, 489.000, 6.986,1 maand
13-06-2018, 415.000, 415.000,-, 415.000, 7.685,17 dagen
19-06-2018, 229.000, 229.000,-, 229.000, 5.205,11 dagen
20-06-2018, 569.000, 569.000,-, 569.000, 4.948,10 dagen
21-06-2018, 225.000, 225.000,-, 225.000, 3.169,9 dagen
21-04-2018, 399.000, 375.000," 24.000 / 6,4%", 399.000, 3.353,2 maanden
10-06-2018, 1.095.000, 1.095.000,-,,,
20-06-2018, 575.000, 575.000,-, 575.000, 4.873,10 dagen
27-06-2018, 250.000, 250.000,-, 250.000, 4.167,3 dagen
25-06-2018, 450.000, 450.000,-, 450.000, 5.769,5 dagen
28-06-2018, 475.000, 475.000,-, 475.000, 5.278,Nieuw
25-06-2018, 595.000, 595.000,-, 595.000, 6.330,5 dagen
15-06-2018, 650.000, 650.000,-, 650.000, 5.909,15 dagen
20-06-2018, 600.000, 600.000,-, 600.000, 6.122,10 dagen
24-05-2018, 800.000, 800.000,-, 800.000, 8.791,1 maand
23-06-2018, 575.000, 575.000,-, 575.000, 7.372,7 dagen
22-05-2018, 625.000, 625.000,-, 625.000, 6.720,1 maand
14-03-2018, 350.000, 359.500," -9.500 / -2,6%", 350.000, 3.465,3 maanden
22-06-2018, 495.000, 495.000,-, 495.000, 6.600,8 dagen
