Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Benedenwoning,1906,,894 m³,-,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,Ja,-,129,0
-,1957,99 m²,235 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,115,0
-,1957,99 m²,235 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,108,0
Bovenwoning,1900,45 m²,143 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,155,2
Woonboot,1931,74 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,277,29
Benedenwoning,-,45 m²,172 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,55,6
Appartement,2017,,343 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,64,1
Appartement,1935,61 m²,200 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,218,0
Villa,2017,75 m²,155 m³,999 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,783,2
Benedenwoning,1913,29 m²,124 m³,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,Ja,-,0,0
Boerderij,-,105 m²,409 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,17,5
-,1898,40 m²,123 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,183,0
Benedenwoning,-,103 m²,449 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,0,0
Benedenwoning,-,59 m²,216 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,0,0
Appartement,2011,114 m²,380 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,260,0
Tussenwoning,-,600 m²,1.800 m³,202 m²,-,-,-,-,-,-,17,6,-,-,-,-,-,-,-,-,38,7
Bovenwoning,1998,178 m²,508 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,281,1
-,-,44 m²,141 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,0,0
Appartement,1931,105 m²,456 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,Ja,-,572,0
Appartement,1900,40 m²,143 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,299,3
Appartement,1005,160 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,52,0
Grachtenpand,1906,360 m²,977 m³,101 m²,-,-,Openhaard,-,-,-,8,5,-,-,-,-,-,-,-,-,4.002,0
Appartement,1939,55 m²,165 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,125,0
-,1926,49 m²,157 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,112,0
Appartement,1929,94 m²,284 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,135,1
Appartement,1906,35 m²,115 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,801,27
Bovenwoning,1924,50 m²,155 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,202,0
Eengezinswoning,2019,140 m²,375 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,64,0
Appartement,1970,124 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,Ja,98,1
Appartement,1906,80 m²,316 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,767,38
Appartement,1911,63 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,71,1
Woon-/winkelpand,1965,73 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,22,0
Appartement,1955,50 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,33,12
Woon-/winkelpand,1941,60 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,Ja,-,22,8
Villa,1911,81 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,Ja,-,17,7
Woning,1934,49 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,0,0
Bovenwoning,1906,48 m²,155 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,108,0
Appartement,2018,149 m²,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,0
Bovenwoning,1906,132 m²,378 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,225,0
Herenhuis,1990,135 m²,-,430 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,Ja,1.213,0
Appartement,1960,70 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,577,1
Appartement,1968,135 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,56,0
Bovenwoning,1960,66 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,61,0
Bovenwoning,1956,65 m²,170 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,172,0
Benedenwoning,1906,71 m²,213 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,-,-,173,0
Eengezinswoning,1915,141 m²,375 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,40,0
Appartement,1936,108 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,18,0
Appartement,1906,82 m²,251 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,202,34
Appartement,1935,47 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,27,0
Eengezinswoning,1915,158 m²,426 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,34,0
Appartement,1934,,360 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,1.991,37
Maisonette,1927,64 m²,-,65 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,6.264,0
Bovenwoning,1886,130 m²,450 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,180,7
Appartement,1005,123 m²,-,-,LiftZwembad,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,26,0
Woonboot,1923,130 m²,1 m³,200 m²,-,DubbelglasMuurDak,CV hoogrendementOpenhaard,-,-,Uitstekend,6,3,-,Moderne,Uitstekend,Goed,VoorAchterZijkant,WinkelsDijkWaterHaven,-,-,60.040,32
Bovenwoning,1896,58 m²,-,72 m²,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,783,13
Appartement,1905,68 m²,184 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,289,0
Woning,1929,108 m²,423 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,134,0
Appartement,1906,,206 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,90,0
Herenhuis,1921,184 m²,-,125 m²,-,-,-,-,-,-,8,5,-,-,-,-,Ja,-,-,-,2.746,0
Appartement,1980,57 m²,182 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,148,0
Appartement,2004,,432 m³,-,Lift,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,38,0
Woning,1956,69 m²,248 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,170,0
Appartement,1959,53 m²,225 m³,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,271,0
Eengezinswoning,1981,119 m²,410 m³,129 m²,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,-,83,1
Tussenwoning,1879,110 m²,370 m³,134 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,25,0
Eengezinswoning,1984,102 m²,347 m³,108 m²,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,-,18,18
Appartement,1950,61 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,0,0
Studio,-,87 m²,-,-,LiftZwembad,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,1
Bovenwoning,1998,99 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,98,0
Woning,1977,87 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,Ja,-,22,2
Appartement,1927,60 m²,175 m³,65 m²,-,Dubbelglas,CV hoogrendement,-,-,Goed,2,-,Bad,Moderne,Goed,Goed,-,Woningen,Ja,-,0,0
Bovenwoning,1935,52 m²,140 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,268,0
Appartement,2006,80 m²,235 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,127,1
Appartement,1975,54 m²,170 m³,-,Lift,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,Ja,115,8
Appartement,1902,53 m²,170 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,308,2
Appartement,2006,85 m²,220 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,109,0
Appartement,2006,51 m²,185 m³,-,Lift,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,120,0
Villa,2011,197 m²,588 m³,895 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,720,1
Bovenwoning,1906,125 m²,300 m³,-,Lift,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,66,0
Appartement,-,52 m²,137 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,26,0
Eengezinswoning,1931,75 m²,290 m³,76 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,805,2
Tussenwoning,2017,141 m²,550 m³,249 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,61,2
Appartement,1963,72 m²,220 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,328,1
Tussenwoning,2008,112 m²,404 m³,60 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,32,1
Hoekwoning,1953,90 m²,330 m³,112 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,69,1
Appartement,1968,135 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,64,1
Bovenwoning,1894,67 m²,206 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,988,32
Bovenwoning,1985,60 m²,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,39,0
Geschakelde woning,1968,263 m²,662 m³,438 m²,-,-,-,-,-,-,7,5,-,-,-,-,Ja,-,-,-,38,0
Bovenwoning,1922,70 m²,229 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,97,0
Dubbele bovenwoning,1930,153 m²,-,188 m²,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,5.422,0
Penthouse,2010,72 m²,172 m³,-,Lift,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,102,0
Benedenwoning,-,115 m²,345 m³,-,-,-,-,-,-,-,1,0,-,-,-,-,Ja,-,-,-,15,0
Bovenwoning,1904,62 m²,179 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,99,0
Vrijstaande woning,1919,135 m²,-,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,-,Ja,96,0
Penthouse,1894,169 m²,-,-,Lift,-,-,-,-,-,6,-,-,-,-,-,-,-,Ja,-,22,0
Woon-/winkelpand,1933,45 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,4,4
Appartement,2018,49 m²,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,0
Appartement,2018,65 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,4,4
Appartement,2018,160 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,0,0
Appartement,2018,43 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,0,0
Appartement,2018,134 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,0,0
Appartement,1906,24 m²,86 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,187,20
Bovenwoning,1995,101 m²,292 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,188,0
Maisonette,1964,82 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,745,7
Benedenwoning,1927,52 m²,185 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,179,0
Eengezinswoning,1991,115 m²,368 m³,105 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,62,0
Appartement,1997,81 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,83,1
Hoekwoning,1932,250 m²,877 m³,100 m²,-,-,-,-,-,-,6,4,-,-,-,-,-,-,Ja,-,2.173,0
Appartement,1960,93 m²,288 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,112,0
Penthouse,1912,79 m²,258 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,656,0
Appartement,1987,104 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,246,0
Appartement,2000,88 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,181,1
Tussenwoning,1998,119 m²,419 m³,119 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,1.144,1
Bovenwoning,1896,45 m²,172 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,276,16
Recreatiewoning,2017,75 m²,155 m³,999 m²,-,-,Openhaard,-,-,-,5,4,-,-,-,-,-,-,-,-,517,0
Woning,1645,76 m²,433 m³,40 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,259,0
Vrijstaande woning,1999,96 m²,400 m³,96 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,113,3
Appartement,2012,59 m²,195 m³,-,Lift,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,139,2
Tussenwoning,1998,141 m²,495 m³,141 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,42,0
Bovenwoning,1902,41 m²,125 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,153,0
Herenhuis,1937,231 m²,870 m³,159 m²,-,-,-,-,-,-,9,7,-,-,-,-,Ja,-,-,-,28,0
Vrijstaande woning,1999,72 m²,217 m³,70 m²,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,39,0
Tussenwoning,2008,142 m²,483 m³,143 m²,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,-,Ja,47,1
Appartement,1989,80 m²,230 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,180,0
Woonboot,1985,53 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,1.101,33
Bovenwoning,1962,76 m²,225 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,234,1
Benedenwoning,1957,39 m²,82 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,254,6
Eengezinswoning,1993,130 m²,445 m³,135 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,68,2
Benedenwoning,1906,151 m²,531 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,317,0
Eengezinswoning,1931,66 m²,319 m³,169 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,71,1
Woon-/winkelpand,1930,77 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,-,85,0
Herenhuis,1911,160 m²,659 m³,173 m²,-,-,-,-,-,-,8,-,-,-,-,-,Ja,-,Ja,-,130,0
-,1991,79 m²,241 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,152,0
Appartement,1935,59 m²,209 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,187,11
Bedrijfsruimte,1906,,-,94 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6
Woon-/winkelpand,1927,111 m²,355 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,12,3
-,-,182 m²,670 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,-,-,-,-,13,0
Woning,1890,95 m²,257 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,Ja,-,14,5
Woon-/winkelpand,1988,71 m²,216 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,7,4
Benedenwoning,1906,62 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,262,0
Appartement,1964,81 m²,257 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,35,14
Appartement,1910,72 m²,290 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,-,-,3,1
Bovenwoning,1912,47 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,18,10
Benedenwoning,1949,56 m²,180 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,Ja,-,-,-,33,20
Vrijstaande woning,2005,85 m²,225 m³,95 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,1.185,0
Dubbele bovenwoning,1925,65 m²,-,-,Zwembad,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,248,0
Bovenwoning,2017,,385 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,10,0
Appartement,1972,98 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,105,1
Eengezinswoning,1900,120 m²,330 m³,544 m²,-,-,-,-,-,-,3,-,-,-,-,-,Ja,-,-,-,92,0
Woonboot,1005,147 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1.851,33
Woon-/winkelpand,1956,75 m²,-,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,42,0
Appartement,1974,54 m²,169 m³,-,Lift,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,186,22
Bovenwoning,1870,55 m²,150 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,133,5
Benedenwoning,-,84 m²,291 m³,-,-,-,-,-,-,-,4,1,-,-,-,-,Ja,-,-,-,94,0
Bovenwoning,1900,50 m²,211 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,399,1
-,2010,148 m²,499 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,359,2
Woonboot,2005,175 m²,400 m³,1 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,11.285,26
Woon-/winkelpand,1900,142 m²,-,-,Lift,-,-,-,-,-,7,-,-,-,-,-,-,-,Ja,-,107,0
Tussenwoning,1978,105 m²,388 m³,102 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,1.128,2
Hoekwoning,2003,225 m²,899 m³,225 m²,-,-,-,-,-,-,7,5,-,-,-,-,Ja,-,-,Ja,57,0
Bovenwoning,1925,71 m²,252 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,222,0
Appartement,2006,72 m²,253 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,208,0
Appartement,2008,89 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,30,1
Woon-/winkelpand,1930,71 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,Ja,-,Ja,-,42,0
Appartement,1968,111 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,64,0
Eengezinswoning,1964,76 m²,315 m³,146 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,132,2
Appartement,1870,29 m²,-,29 m²,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.358,2
Dubbele bovenwoning,1850,221 m²,-,-,Lift,-,-,-,-,-,6,4,-,-,-,-,-,-,-,-,2.300,0
Benedenwoning,1898,,567 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,88,1
Bovenwoning,1960,158 m²,474 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,225,0
Grachtenpand,1705,209 m²,-,41 m²,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,105,0
Woning,1927,192 m²,678 m³,112 m²,-,-,-,-,-,-,8,6,-,-,-,-,-,-,Ja,-,61,0
Benedenwoning,-,166 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,-,7,0
Woning,1955,68 m²,218 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,7,7
Appartement,1005,51 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,2,2
Herenhuis,1906,86 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,6,6
Appartement,2018,112 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,0,0
Appartement,1968,54 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,48,0
Bovenwoning,1979,69 m²,220 m³,-,Lift,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,Ja,90,8
Bovenwoning,1897,48 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,97,4
Appartement,1998,70 m²,250 m³,75 m²,-,-,-,-,-,-,1,-,-,-,-,-,-,-,Ja,-,735,0
Maisonette,1999,117 m²,-,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,1.032,0
Appartement,1937,52 m²,178 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,57,13
Benedenwoning,1906,89 m²,583 m³,-,Lift,-,-,-,-,-,7,4,-,-,-,-,Ja,-,-,-,603,0
Tussenwoning,2003,136 m²,457 m³,90 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,7.796,2
Woning,1998,143 m²,450 m³,131 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,1.526,2
Grachtenpand,-,253 m²,890 m³,60 m²,-,-,-,-,-,-,7,3,-,-,-,-,-,-,-,-,851,3
Hoekwoning,2010,161 m²,694 m³,96 m²,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,64,3
Eengezinswoning,1937,86 m²,338 m³,225 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,656,4
Vrijstaande woning,2006,234 m²,842 m³,295 m²,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,-,Ja,66,1
-,-,85 m²,339 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,9,0
Hoekwoning,1957,168 m²,533 m³,68 m²,-,-,Openhaard,-,-,-,5,3,-,-,-,-,Ja,-,Ja,-,48,0
Appartement,1984,69 m²,200 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,114,1
Bovenwoning,1928,62 m²,224 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,295,0
Eengezinswoning,-,142 m²,383 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,29,0
Bovenwoning,1005,128 m²,411 m³,128 m²,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,1.704,0
Dubbele bovenwoning,1700,100 m²,286 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,520,0
Appartement,-,,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,9,2
Woning,2001,89 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,0,0
Appartement,1984,64 m²,194 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,159,0
Benedenwoning,1922,78 m²,286 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,256,7
Eengezinswoning,2014,130 m²,-,-,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,295,1
Appartement,1997,101 m²,308 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,201,0
Herenhuis,1906,60 m²,875 m³,130 m²,-,-,-,-,-,-,11,6,-,-,-,-,Ja,-,Ja,-,67,0
Woonboot,0,39 m²,97 m³,49 m²,-,Dubbelglas,Gaskachel,-,-,Goed,2,1,-,Standaard,Redelijk,Redelijk,-,WoningenGracht,Ja,-,17.786,3
Appartement,2001,74 m²,218 m³,-,Lift,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,Ja,212,1
Appartement,1930,101 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,66,0
Appartement,1882,91 m²,266 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,12,1
Woning,1904,72 m²,232 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,10,0
Appartement,1930,114 m²,313 m³,-,-,-,-,-,-,-,5,5,-,-,-,-,Ja,-,Ja,-,7,0
-,-,85 m²,331 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,9,0
Woon-/winkelpand,1005,373 m²,-,-,-,-,-,-,-,-,8,3,-,-,-,-,Ja,-,-,-,1.669,0
Bovenwoning,1906,104 m²,232 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,11,2
Benedenwoning,1005,107 m²,280 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,-,40,8
Dubbele bovenwoning,1927,96 m²,309 m³,-,Zwembad,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,-,21,11
Appartement,1925,53 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,51,1
Eengezinswoning,1992,95 m²,-,99 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,801,2
Benedenwoning,1998,98 m²,331 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,599,4
Bovenwoning,1926,55 m²,183 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,119,0
Appartement,-,111 m²,385 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,156,0
Appartement,1999,86 m²,257 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,100,0
Appartement,1935,52 m²,210 m³,147 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,102,2
Eengezinswoning,1921,64 m²,212 m³,94 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,882,2
Eengezinswoning,2009,132 m²,440 m³,-,Zwembad,-,-,-,-,-,6,-,-,-,-,-,Ja,-,-,Ja,333,6
Tussenwoning,-,84 m²,338 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,-,0,0
-,1957,99 m²,235 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,291,0
Tussenwoning,1991,104 m²,341 m³,122 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,1.091,6
