Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Bovenwoning,1882,83 m²,265 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,17,15
Bovenwoning,2001,139 m²,406 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,129,7
Tussenwoning,2012,137 m²,510 m³,144 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,315,19
Benedenwoning,1994,89 m²,-,108 m²,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,183,12
Appartement,1904,43 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,99,31
Eengezinswoning,1990,116 m²,393 m³,104 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,395,19
Eengezinswoning,2005,125 m²,430 m³,125 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,596,17
Eengezinswoning,1936,119 m²,415 m³,209 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,357,9
Appartement,1898,81 m²,338 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,295,5
Eengezinswoning,1964,77 m²,365 m³,108 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,1.080,25
Villa,2009,109 m²,360 m³,103 m²,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,Ja,301,13
Benedenwoning,1889,,820 m³,-,-,-,-,-,-,-,7,3,-,-,-,-,Ja,-,Ja,-,24,4
Appartement,1997,115 m²,345 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,68,12
Bovenwoning,2005,122 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,465,10
Bovenwoning,1901,255 m²,-,-,-,-,-,-,-,-,7,5,-,-,-,-,-,-,Ja,-,352,3
Bovenwoning,2001,139 m²,406 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,107,3
Herenhuis,1939,248 m²,955 m³,589 m²,-,-,-,-,-,-,8,5,-,-,-,-,Ja,-,-,Ja,2.796,6
Woning,1910,112 m²,455 m³,104 m²,Zwembad,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,358,11
Eengezinswoning,1958,77 m²,275 m³,82 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,268,16
Eengezinswoning,1958,65 m²,324 m³,75 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,691,29
Herenhuis,2005,94 m²,344 m³,45 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,273,3
Appartement,1999,108 m²,332 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,358,6
Bovenwoning,1935,101 m²,349 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,233,6
Woonboot,2015,90 m²,200 m³,1 m²,-,-,-,-,-,-,5,2,-,-,-,-,-,-,-,-,1.133,36
Hoekwoning,1954,81 m²,-,110 m²,-,-,Openhaard,-,-,-,-,-,-,-,-,-,Ja,-,-,Ja,0,0
Woonboot,1894,56 m²,118 m³,1 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,5,5
Tussenwoning,1979,119 m²,428 m³,131 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,217,8
Bovenwoning,1927,138 m²,462 m³,-,-,-,-,-,-,-,8,3,-,-,-,-,-,-,-,-,422,5
Herenhuis,1906,289 m²,1.235 m³,130 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,Ja,-,592,8
Eengezinswoning,2010,147 m²,505 m³,151 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,189,9
Herenhuis,2010,156 m²,582 m³,93 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,Ja,5.536,93
Bovenwoning,1993,92 m²,-,92 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,572,1
Appartement,2008,78 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,Ja,27,1
Appartement,2004,125 m²,342 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,252,2
Eengezinswoning,2016,117 m²,445 m³,103 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,568,7
Tussenwoning,1953,142 m²,465 m³,125 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,1.022,0
Eengezinswoning,1927,54 m²,240 m³,53 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,670,25
Herenhuis,2004,221 m²,890 m³,290 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,458,3
Appartement,1937,58 m²,-,58 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,0,0
Bovenwoning,1905,103 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,192,2
Appartement,1926,55 m²,155 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,149,2
Appartement,1991,87 m²,260 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,9,7
Bovenwoning,1877,131 m²,402 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,-,-,Ja,Ja,171,2
Eengezinswoning,2003,119 m²,397 m³,105 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,340,0
Woon-/winkelpand,2005,78 m²,250 m³,-,Lift,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,89,0
Eengezinswoning,1964,76 m²,315 m³,146 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,1.279,22
Woning,1965,144 m²,500 m³,112 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,218,10
Herenhuis,1899,168 m²,-,64 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,322,3
Eengezinswoning,1990,102 m²,365 m³,119 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,359,12
Appartement,2008,85 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,319,5
Bovenwoning,2007,80 m²,-,80 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,107,27
Bovenwoning,1930,58 m²,185 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,279,6
Eengezinswoning,2016,120 m²,450 m³,123 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,129,7
Penthouse,1994,141 m²,432 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,2.470,6
Woning,2008,150 m²,546 m³,183 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,557,6
Eengezinswoning,2003,97 m²,319 m³,108 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,526,5
Benedenwoning,2008,128 m²,-,128 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,83,6
Bovenwoning,1929,87 m²,236 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,294,5
Tussenwoning,2003,173 m²,568 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,Ja,119,3
Bovenwoning,1725,98 m²,289 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,249,2
Woning,1918,113 m²,428 m³,304 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,185,1
Penthouse,2006,134 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,112,2
Eengezinswoning,1950,71 m²,299 m³,103 m²,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,-,-,354,10
Bovenwoning,2003,152 m²,467 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,Ja,111,3
Woning,2000,209 m²,900 m³,436 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,298,2
Woon-/winkelpand,2014,83 m²,267 m³,-,LiftZwembad,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,Ja,2,1
Eengezinswoning,1958,126 m²,420 m³,123 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,1.115,3
Eengezinswoning,1937,122 m²,400 m³,174 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,Ja,53,12
Eengezinswoning,2006,134 m²,435 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,Ja,128,7
Tussenwoning,1993,125 m²,415 m³,136 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,316,2
Appartement,1900,30 m²,-,33 m²,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,336,10
Woonboot,1928,70 m²,161 m³,1 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,1.986,29
Appartement,2004,54 m²,177 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,188,2
Bovenwoning,1963,44 m²,147 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,314,13
