treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Amstel', '1,7 kilometer', 'Oude Pijp']","['Total Selfservicestation De Pijp', '1,1 kilometer', 'Oude Pijp']","['Daily Fresh & Go BV', '606 meter', 'Oude Pijp']","['Basisschool De Springstok', '238 meter', 'Oude Pijp']","['Hoepel BSO De', '238 meter', 'Oude Pijp']","['IVKO School', '534 meter', 'Oude Pijp']","['Wou Café Van', '223 meter', 'Oude Pijp']","[""Ram's Filmclub"", '340 meter', 'Oude Pijp']","['Fesoca', '309 meter', 'Oude Pijp']","['Tandartspraktijk Kolstee D H', '91 meter', 'Oude Pijp']","['SODA Bodyfit', '450 meter', 'Oude Pijp']","['Theosofische Bibliotheek', '657 meter', 'Oude Pijp']"
"['Amsterdam Centraal', '2,1 kilometer', 'De Weteringschans']","['Total De Pijp', '1,2 kilometer', 'De Weteringschans']","['Superstar Market', '300 meter', 'De Weteringschans']","['Kleine Reus Openbare Basisschool De', '164 meter', 'De Weteringschans']","['Oppas020', '268 meter', 'De Weteringschans']","['Luzac College Amsterdam', '343 meter', 'De Weteringschans']","['Mulder Café', '143 meter', 'De Weteringschans']","[""Ram's Filmclub"", '781 meter', 'De Weteringschans']","['Huisartsenpraktijk E T C Kelling en O L A van der Clingel', '25 meter', 'De Weteringschans']","['Greef Tandartspraktijk J F de', '149 meter', 'De Weteringschans']","['Fit For Free Amsterdam Lijnbaansgracht', '47 meter', 'De Weteringschans']","['Zeemanshoop Koninklijk College', '835 meter', 'De Weteringschans']"
"['Amsterdam Centraal', '1,1 kilometer', 'Burgwallen-Oude Zijde']","['Texaco Bem BV Selfservice', '1,2 kilometer', 'Burgwallen-Oude Zijde']","['Haussmann BV The', '205 meter', 'Burgwallen-Oude Zijde']","['Hulpjuf.nl', '580 meter', 'Burgwallen-Oude Zijde']","['Gastouder Alexandra', '333 meter', 'Burgwallen-Oude Zijde']","['Art of Colors Opleidingen', '436 meter', 'Burgwallen-Oude Zijde']","[""Gasthuys 't"", '32 meter', 'Burgwallen-Oude Zijde']","['Weng Joeng Hong', '740 meter', 'Burgwallen-Oude Zijde']","['Oude Turfmarkt Huisartsenpraktijk', '187 meter', 'Burgwallen-Oude Zijde']","['Qua Tandartspraktijk Rokin', '158 meter', 'Burgwallen-Oude Zijde']","['Aerobic en Fitness Studio 21', '286 meter', 'Burgwallen-Oude Zijde']","['Zeemanshoop Koninklijk College', '262 meter', 'Burgwallen-Oude Zijde']"
"['Amsterdam Amstel', '1,7 kilometer', 'Oude Pijp']","['Total Selfservicestation De Pijp', '822 meter', 'Oude Pijp']","['Daily Fresh & Go BV', '321 meter', 'Oude Pijp']","['Basisschool De Springstok', '283 meter', 'Oude Pijp']","['Gouden Koets Kinderdagverblijf', '99 meter', 'Oude Pijp']","['IVKO School', '577 meter', 'Oude Pijp']","[""Jeffrey 's Café"", '35 meter', 'Oude Pijp']","[""Ram's Filmclub"", '307 meter', 'Oude Pijp']","['Leau Huisartsenpraktijk E F de', '340 meter', 'Oude Pijp']","['Sowidjojo Mondzorg', '99 meter', 'Oude Pijp']","['Your Future Fitness Center', '446 meter', 'Oude Pijp']","['Theosofische Bibliotheek', '657 meter', 'Oude Pijp']"
"['Amsterdam Muiderpoort', '1,1 kilometer', 'Oosterparkbuurt']","['Mobil Station Zeist', '1,7 kilometer', 'Oosterparkbuurt']","['Spar Van Kempen', '766 meter', 'Oosterparkbuurt']","['Aldoende Openbare Basisschool', '156 meter', 'Oosterparkbuurt']","['Kinderdagpaleis Boerhaave', '197 meter', 'Oosterparkbuurt']","['Metis Montessori Lyceum', '238 meter', 'Oosterparkbuurt']","['Crea Café BV', '321 meter', 'Oosterparkbuurt']","['Twin Film', '202 meter', 'Oosterparkbuurt']","['Sieben Holtrop Huisartsen', '148 meter', 'Oosterparkbuurt']","['Tandarts Taeb', '43 meter', 'Oosterparkbuurt']","['Care4Fit intermediair in bedrijfsfitness', '141 meter', 'Oosterparkbuurt']","['Theosofische Bibliotheek', '1,1 kilometer', 'Oosterparkbuurt']"
"['Amsterdam Centraal', '2,1 kilometer', 'Staatsliedenbuurt']","['Esso Station FCA', '1,1 kilometer', 'Staatsliedenbuurt']","['Bijkerk De Zuivelshop J', '158 meter', 'Staatsliedenbuurt']","['Bron Rooms Katholieke Basisschool De', '373 meter', 'Staatsliedenbuurt']","['Kinderdagverblijf Ko', '200 meter', 'Staatsliedenbuurt']","['Maria Nguyen', '81 meter', 'Staatsliedenbuurt']","['Shaquille Café', '242 meter', 'Staatsliedenbuurt']","['Videoplaza/Video International', '339 meter', 'Staatsliedenbuurt']","['Bevers Huisartsenpraktijk', '245 meter', 'Staatsliedenbuurt']","['Parodontologie en Implantologie Praktijk Amsterdam', '243 meter', 'Staatsliedenbuurt']","['Selsa', '645 meter', 'Staatsliedenbuurt']","['Bibliotheca Philosophica Hermetica', '1,4 kilometer', 'Staatsliedenbuurt']"
"['Amsterdam Lelylaan', '1,8 kilometer', 'Osdorp-Oost']","['Texaco Benzinestation Osdorp', '285 meter', 'Osdorp-Oost']","['Nieuw Osdorp Market', '161 meter', 'Osdorp-Oost']","['Osdorpse Montessorischool', '555 meter', 'Osdorp-Oost']","['Kinderdagverblijf & BSO Ons Dorpje', '300 meter', 'Osdorp-Oost']","['Calandlyceum', '465 meter', 'Osdorp-Oost']","[""Calandje Café 't"", '417 meter', 'Osdorp-Oost']","['Sloterplas Cinema Super Videotheek De', '1,3 kilometer', 'Osdorp-Oost']","['Umans-Mohan V I', '353 meter', 'Osdorp-Oost']","['Breimer Jacqueline', '40 meter', 'Osdorp-Oost']","['Calandfit', '339 meter', 'Osdorp-Oost']","['Praktizijns Sociëteit Bibliotheek', '4,5 kilometer', 'Osdorp-Oost']"
"['Amsterdam Centraal', '1,9 kilometer', 'Staatsliedenbuurt']","['Esso Station FCA', '1,1 kilometer', 'Staatsliedenbuurt']","['Bijkerk De Zuivelshop J', '22 meter', 'Staatsliedenbuurt']","['Westerparkschool', '210 meter', 'Staatsliedenbuurt']","['Kinderdagverblijf Vipkids', '35 meter', 'Staatsliedenbuurt']","['Maria Nguyen', '240 meter', 'Staatsliedenbuurt']","['Shaquille Café', '62 meter', 'Staatsliedenbuurt']","['Videoplaza/Video International', '182 meter', 'Staatsliedenbuurt']","['Bevers Huisartsenpraktijk', '67 meter', 'Staatsliedenbuurt']","['Parodontologie en Implantologie Praktijk Amsterdam', '73 meter', 'Staatsliedenbuurt']","['Selsa', '592 meter', 'Staatsliedenbuurt']","['Bibliotheca Philosophica Hermetica', '1,3 kilometer', 'Staatsliedenbuurt']"
"['Amsterdam Lelylaan', '2,5 kilometer', 'Kinkerbuurt']","['Texaco Bem BV Selfservice', '729 meter', 'Kinkerbuurt']","['De Volkskruidentuin', '280 meter', 'Kinkerbuurt']","['Vlinderboom De', '234 meter', 'Kinkerbuurt']","['Kikkert BSO', '63 meter', 'Kinkerbuurt']","['ABC Het', '769 meter', 'Kinkerbuurt']","['Topido', '102 meter', 'Kinkerbuurt']","['Asian Music Palace', '529 meter', 'Kinkerbuurt']","['Kuynders H M', '101 meter', 'Kinkerbuurt']","['Gijs Franssen Tandarts', '216 meter', 'Kinkerbuurt']","['Pilatesworks', '561 meter', 'Kinkerbuurt']","['Bibliotheca Philosophica Hermetica', '1,3 kilometer', 'Kinkerbuurt']"
,,,,,,,,,,,
"['Amsterdam Amstel', '528 meter', 'Diamantbuurt']","['Slagboom BV', '1,1 kilometer', 'Diamantbuurt']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '689 meter', 'Diamantbuurt']","['Catharinaschool Sint', '490 meter', 'Diamantbuurt']","['KDV Lancelot', '329 meter', 'Diamantbuurt']","['Stelle College', '230 meter', 'Diamantbuurt']","['Hesp Café & Restaurant', '198 meter', 'Diamantbuurt']","['Videoland', '705 meter', 'Diamantbuurt']","['Vrijheidslaan Huisartsen Praktijk', '156 meter', 'Diamantbuurt']","['Brameloblast', '429 meter', 'Diamantbuurt']","['Kops Sportcentrum', '272 meter', 'Diamantbuurt']","['Theosofische Bibliotheek', '579 meter', 'Diamantbuurt']"
"['Amsterdam Centraal', '2,4 kilometer', 'Volewijck']","['Total Selfservicestation Kadoelen', '2,1 kilometer', 'Volewijck']","['Supermarkt Fatih Lido VOF', '23 meter', 'Volewijck']","['Stichting Openbaar Onderwijs Noord', '545 meter', 'Volewijck']","[""Shar's Snoezelhoekje"", '99 meter', 'Volewijck']","['Clusius College', '843 meter', 'Volewijck']","['Eetcafé The Mansion', '439 meter', 'Volewijck']","['Eurocorner', '2,5 kilometer', 'Volewijck']","['Zijlstra V L J', '790 meter', 'Volewijck']","['Noorderboog Tandartspraktijk De', '585 meter', 'Volewijck']","['Optimal Fit Pp and H.', '2,5 kilometer', 'Volewijck']","['Toonkunst-Bibliotheek', '2,5 kilometer', 'Volewijck']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '1,6 kilometer', 'Grachtengordel-Zuid']","['Total De Pijp', '1,7 kilometer', 'Grachtengordel-Zuid']","['Lite & Dark BV', '202 meter', 'Grachtengordel-Zuid']","['Hulpjuf.nl', '183 meter', 'Grachtengordel-Zuid']","['Baboffel Kinderdagverblijf', '195 meter', 'Grachtengordel-Zuid']","['Luzac College Amsterdam', '656 meter', 'Grachtengordel-Zuid']","['Biecht De', '146 meter', 'Grachtengordel-Zuid']","['Twin Film', '959 meter', 'Grachtengordel-Zuid']","['Huygen M F', '363 meter', 'Grachtengordel-Zuid']","['Meulen Eline van der', '148 meter', 'Grachtengordel-Zuid']","['Fitness First Nederland BV', '254 meter', 'Grachtengordel-Zuid']","['Zeemanshoop Koninklijk College', '621 meter', 'Grachtengordel-Zuid']"
"['Amsterdam Zuid', '573 meter', 'Station-Zuid WTC en omgeving']","['Samarco Iron Ore Europe BV', '345 meter', 'Station-Zuid WTC en omgeving']","['Food Village WTC', '357 meter', 'Station-Zuid WTC en omgeving']","['British School of Amsterdam', '588 meter', 'Station-Zuid WTC en omgeving']","['Kinderdagverblijf De Liefste', '361 meter', 'Station-Zuid WTC en omgeving']","['Nicolaas Lyceum Sint', '184 meter', 'Station-Zuid WTC en omgeving']","['BB180', '91 meter', 'Station-Zuid WTC en omgeving']","['Filmclub Videotheek Cinemagic', '1,3 kilometer', 'Station-Zuid WTC en omgeving']","['Postema en Kolthof Huisartsenpraktijk', '413 meter', 'Station-Zuid WTC en omgeving']","['Noordermeer Tandartspraktijk', '323 meter', 'Station-Zuid WTC en omgeving']","['Apollo Health & Fitness', '697 meter', 'Station-Zuid WTC en omgeving']","['Praktizijns Sociëteit Bibliotheek', '686 meter', 'Station-Zuid WTC en omgeving']"
,,,,,,,,,,,
"['Amsterdam Centraal', '1,9 kilometer', 'De Weteringschans']","['Texaco Bem BV Selfservice', '675 meter', 'De Weteringschans']","['Leidseplein Market', '44 meter', 'De Weteringschans']","['Jordaan 14e Montessorischool', '620 meter', 'De Weteringschans']","['Tante Beest', '247 meter', 'De Weteringschans']","['Barlaeusgymnasium', '314 meter', 'De Weteringschans']","['Eylders Café', '6 meter', 'De Weteringschans']","['Asian Music Palace', '1,4 kilometer', 'De Weteringschans']","['WHAM', '252 meter', 'De Weteringschans']","['Jorna Mw J E A', '217 meter', 'De Weteringschans']","['Fitnesscentrum Healthclub Amsterdam BV', '41 meter', 'De Weteringschans']","['Boekmanstichting Bibliotheek', '443 meter', 'De Weteringschans']"
"['Amsterdam Centraal', '678 meter', 'Grachtengordel-West']","['Texaco Bem BV Selfservice', '1,2 kilometer', 'Grachtengordel-West']","['De Buurman Food', '169 meter', 'Grachtengordel-West']","['Burght Openbare Basisschool', '145 meter', 'Grachtengordel-West']","['Kinderopvangonline', '42 meter', 'Grachtengordel-West']","['Amsterdamsche School De', '230 meter', 'Grachtengordel-West']","[""Arendsnest Nederlands Biercafé 't"", '76 meter', 'Grachtengordel-West']","['Weng Joeng Hong', '762 meter', 'Grachtengordel-West']","['Robbers A R & Zwiers R A J Huisartsen', '71 meter', 'Grachtengordel-West']","['PR Dental', '173 meter', 'Grachtengordel-West']","['Balance4Life', '222 meter', 'Grachtengordel-West']","['Bibliotheca Philosophica Hermetica', '626 meter', 'Grachtengordel-West']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '3,4 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Tankshopper BV', '321 meter', 'Middelveldsche Akerpolder en Sloten']","['Supermarkt Karadeniz', '1,4 kilometer', 'Middelveldsche Akerpolder en Sloten']","['CBS Oranje Nassau', '696 meter', 'Middelveldsche Akerpolder en Sloten']","['La petite classe', '87 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,9 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Olav', '86 meter', 'Middelveldsche Akerpolder en Sloten']","['Videoclub', '1,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Vaarkamp W J', '773 meter', 'Middelveldsche Akerpolder en Sloten']","['Hewitt L R', '431 meter', 'Middelveldsche Akerpolder en Sloten']","['Li Peng Europe BV', '371 meter', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '4,9 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam Zuid', '686 meter', 'Apollobuurt']","['Samarco Iron Ore Europe BV', '489 meter', 'Apollobuurt']","['Food Village WTC', '487 meter', 'Apollobuurt']","['British School of Amsterdam', '407 meter', 'Apollobuurt']","['Kinderdagverblijf De Liefste', '439 meter', 'Apollobuurt']","['Amsterdam International Community School', '456 meter', 'Apollobuurt']","['BB180', '310 meter', 'Apollobuurt']","['Filmclub Videotheek Cinemagic', '1,4 kilometer', 'Apollobuurt']","['LKTR', '239 meter', 'Apollobuurt']","['Mekenkamp Mondhygiënisten en Tandartsen', '170 meter', 'Apollobuurt']","['Personal Healthclub', '744 meter', 'Apollobuurt']","['Praktizijns Sociëteit Bibliotheek', '565 meter', 'Apollobuurt']"
"['Amsterdam Centraal', '3,1 kilometer', 'Banne Buiksloot']","['Total Selfservicestation Kadoelen', '1,2 kilometer', 'Banne Buiksloot']","['Son To Maatje', '455 meter', 'Banne Buiksloot']","['Rijkers Openbare Basisschool Dorus', '415 meter', 'Banne Buiksloot']","['Banne Banjers Gastouder De', '504 meter', 'Banne Buiksloot']","['Bredero Mavo', '1,5 kilometer', 'Banne Buiksloot']","['Kadoelen Café Koffiehuis', '478 meter', 'Banne Buiksloot']","['Eurocorner', '1,5 kilometer', 'Banne Buiksloot']","['Berendse J H', '336 meter', 'Banne Buiksloot']","['Behnam Rafal', '317 meter', 'Banne Buiksloot']","['Play-Fit', '1,9 kilometer', 'Banne Buiksloot']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,7 kilometer', 'Banne Buiksloot']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '1,7 kilometer', 'Oostelijk Havengebied']","['Mobil Station Zeist', '3,2 kilometer', 'Oostelijk Havengebied']","['Ahold', '371 meter', 'Oostelijk Havengebied']","['Daltonschool de Kleine Kapitein', '385 meter', 'Oostelijk Havengebied']","['Bambi Kinderdagverblijf IJsterk', '326 meter', 'Oostelijk Havengebied']","['Taalbureau Buijtendorp', '405 meter', 'Oostelijk Havengebied']","[""Eitje 't"", '841 meter', 'Oostelijk Havengebied']","['Telion Entertainment Videotheek', '1,6 kilometer', 'Oostelijk Havengebied']","['Zondagdienst', '365 meter', 'Oostelijk Havengebied']","['Burger Tandarts E A C', '74 meter', 'Oostelijk Havengebied']","['Fit4Less', '285 meter', 'Oostelijk Havengebied']","['Openbare Bibliotheek Amsterdam', '1,1 kilometer', 'Oostelijk Havengebied']"
"['Amsterdam Lelylaan', '2,1 kilometer', 'Osdorp-Oost']","['Texaco Benzinestation Osdorp', '1,0 kilometer', 'Osdorp-Oost']","['Ata Can', '319 meter', 'Osdorp-Oost']","['Kraemerschool Prof dr H', '406 meter', 'Osdorp-Oost']","['BSO Klik Klak', '157 meter', 'Osdorp-Oost']","['Calandlyceum', '1,1 kilometer', 'Osdorp-Oost']","[""Pitje Bruin Café 't"", '390 meter', 'Osdorp-Oost']","['Sloterplas Cinema Super Videotheek De', '1,7 kilometer', 'Osdorp-Oost']","['Reinds en Hogewind Huisartsen', '205 meter', 'Osdorp-Oost']","['Yilmaz Nurcan', '400 meter', 'Osdorp-Oost']","['Meer & Vaart Fitness', '175 meter', 'Osdorp-Oost']","['Praktizijns Sociëteit Bibliotheek', '5,0 kilometer', 'Osdorp-Oost']"
"['Amsterdam RAI', '1,1 kilometer', 'Scheldebuurt']","['Total De Pijp', '496 meter', 'Scheldebuurt']","['Albert Heijn', '354 meter', 'Scheldebuurt']","['Maas en Waal 15e Montessorischool Van', '302 meter', 'Scheldebuurt']","['Riverpoint Naschoolse Opvang Het', '151 meter', 'Scheldebuurt']","['Berlage Lyceum', '376 meter', 'Scheldebuurt']","['Regge Café De', '270 meter', 'Scheldebuurt']","['Videoland', '823 meter', 'Scheldebuurt']","['Huob', '84 meter', 'Scheldebuurt']","['Mark Touw Tandheelkunde', '65 meter', 'Scheldebuurt']","['Optimiz Personal Training', '570 meter', 'Scheldebuurt']","['Theosofische Bibliotheek', '921 meter', 'Scheldebuurt']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '927 meter', 'Burgwallen-Nieuwe Zijde']","['Texaco Bem BV Selfservice', '999 meter', 'Burgwallen-Nieuwe Zijde']","['Haussmann BV The', '282 meter', 'Burgwallen-Nieuwe Zijde']","['Burght Openbare Basisschool', '685 meter', 'Burgwallen-Nieuwe Zijde']","['Gastouder Alexandra', '235 meter', 'Burgwallen-Nieuwe Zijde']","['Nieuwe School Stichting De', '321 meter', 'Burgwallen-Nieuwe Zijde']","['Diep', '41 meter', 'Burgwallen-Nieuwe Zijde']","['Weng Joeng Hong', '726 meter', 'Burgwallen-Nieuwe Zijde']","['Huisartsenpraktijk Heijnen & De Meij', '393 meter', 'Burgwallen-Nieuwe Zijde']","['HQ Medical Travel', '197 meter', 'Burgwallen-Nieuwe Zijde']","['PCH Fitness', '227 meter', 'Burgwallen-Nieuwe Zijde']","['Boekmanstichting Bibliotheek', '565 meter', 'Burgwallen-Nieuwe Zijde']"
"['Amsterdam Centraal', '1,4 kilometer', 'Jordaan']","['Texaco Bem BV Selfservice', '565 meter', 'Jordaan']","['Roos Market', '230 meter', 'Jordaan']","['Basisschool St Aloysius', '373 meter', 'Jordaan']","[""Klaproosje Kinderdagverblijf 't"", '157 meter', 'Jordaan']","['Samenwerkingsverband 28 2', '385 meter', 'Jordaan']","['Chris Café', '52 meter', 'Jordaan']","['Platebank BV', '976 meter', 'Jordaan']","['Cambridge Medical GP Physician Medical Doctor', '77 meter', 'Jordaan']","['Rozengracht Tandartsenpraktijk', '119 meter', 'Jordaan']","['Health Club Jordaan', '161 meter', 'Jordaan']","['Bibliotheca Philosophica Hermetica', '95 meter', 'Jordaan']"
"['Amsterdam Zuid', '2,0 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '1,0 kilometer', 'Museumkwartier']","['Organic Food For You', '440 meter', 'Museumkwartier']","['Schreuder Instituut', '300 meter', 'Museumkwartier']","['Kinderdagverblijf Willem Sparkje', '54 meter', 'Museumkwartier']","['Joke Smit College Vavo (ROC Van Amsterdam)', '565 meter', 'Museumkwartier']","['Welling Café', '126 meter', 'Museumkwartier']","['Filmclub Cinemagic', '1,2 kilometer', 'Museumkwartier']","['Nijhof huisarts R', '236 meter', 'Museumkwartier']","['Welsenes Dr W van Tandartspraktijk', '66 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '200 meter', 'Museumkwartier']","['Boekmanstichting Bibliotheek', '1,4 kilometer', 'Museumkwartier']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '1,8 kilometer', 'Landlust']","['Esso Station FCA', '727 meter', 'Landlust']","['Aydin Supermarkt', '68 meter', 'Landlust']","['Narcis - Querido Openbare Basisschool', '317 meter', 'Landlust']","['Liefdezorg Opvang', '23 meter', 'Landlust']","['Marcanti College', '627 meter', 'Landlust']","['Fluiter Café De', '200 meter', 'Landlust']","['Super Videotheek De Sloterplas', '682 meter', 'Landlust']","['Kruyt A J', '200 meter', 'Landlust']","['Tandartspraktijk Amsterdam-West', '224 meter', 'Landlust']","['MCHV', '176 meter', 'Landlust']","['Bibliotheca Philosophica Hermetica', '1,7 kilometer', 'Landlust']"
"['Amsterdam Muiderpoort', '1,4 kilometer', 'Middenmeer']","['Mobil Station Zeist', '1,1 kilometer', 'Middenmeer']","['Cappadocia', '1,1 kilometer', 'Middenmeer']","['Katholieke Basisschool Lidwina', '489 meter', 'Middenmeer']","['Bee Bee Kinderdagverblijf', '142 meter', 'Middenmeer']","['Onderwijsstichting Esprit', '554 meter', 'Middenmeer']","[""Elsa's Eetcafé"", '757 meter', 'Middenmeer']","['Movie MAX Moviestores', '1,5 kilometer', 'Middenmeer']","['JFWwaarneming', '246 meter', 'Middenmeer']","['Verburg Drs W J', '318 meter', 'Middenmeer']","['Duofit Fitnesscentrum', '275 meter', 'Middenmeer']","['Internationaal Instituut voor Sociale Geschiedenis', '2,0 kilometer', 'Middenmeer']"
"['Amsterdam Centraal', '1,8 kilometer', 'De Weteringschans']","['Total Selfservicestation De Pijp', '1,5 kilometer', 'De Weteringschans']","['Lite & Dark BV', '376 meter', 'De Weteringschans']","['ASVO School', '116 meter', 'De Weteringschans']","['Baboffel Kinderdagverblijf', '311 meter', 'De Weteringschans']","['Luzac College Amsterdam', '657 meter', 'De Weteringschans']","['Onder de Ooievaar Café', '118 meter', 'De Weteringschans']","[""Ram's Filmclub"", '760 meter', 'De Weteringschans']","['Huygen M F', '266 meter', 'De Weteringschans']","['Meulen Eline van der', '115 meter', 'De Weteringschans']","['SODA Bodyfit', '319 meter', 'De Weteringschans']","['Zeemanshoop Koninklijk College', '791 meter', 'De Weteringschans']"
"['Amsterdam Zuid', '1,9 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '1,1 kilometer', 'Museumkwartier']","['Organic Food For You', '133 meter', 'Museumkwartier']","['2e Dalton Basisschool', '506 meter', 'Museumkwartier']","['Bengeltjes NV', '248 meter', 'Museumkwartier']","['Joke Smit College Vavo (ROC Van Amsterdam)', '481 meter', 'Museumkwartier']","['King Arthur', '154 meter', 'Museumkwartier']","['Filmclub Videotheek Overtoom', '1,1 kilometer', 'Museumkwartier']","['Nijhof huisarts R', '170 meter', 'Museumkwartier']","['Schaper L E', '123 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '225 meter', 'Museumkwartier']","['Boekmanstichting Bibliotheek', '1,6 kilometer', 'Museumkwartier']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,2 kilometer', 'Kinkerbuurt']","['Texaco Bem BV Selfservice', '987 meter', 'Kinkerbuurt']","['De Volkskruidentuin', '354 meter', 'Kinkerbuurt']","['Bredeschool Kinkerbuurt De', '117 meter', 'Kinkerbuurt']","['Borgheem Kinderopvang', '90 meter', 'Kinkerbuurt']","['ABC Het', '458 meter', 'Kinkerbuurt']","['Kashmir Coffeeshop', '168 meter', 'Kinkerbuurt']","['Asian Music Palace', '212 meter', 'Kinkerbuurt']","['Gezondheidscentrum Borgerstraat SAG', '175 meter', 'Kinkerbuurt']","['Tandarts V. Wu', '307 meter', 'Kinkerbuurt']","['Family Gym The', '329 meter', 'Kinkerbuurt']","['Bibliotheca Philosophica Hermetica', '1,6 kilometer', 'Kinkerbuurt']"
"['Amsterdam Centraal', '1,8 kilometer', 'De Weteringschans']","['Total De Pijp', '1,5 kilometer', 'De Weteringschans']","['Lite & Dark BV', '370 meter', 'De Weteringschans']","['ASVO School', '112 meter', 'De Weteringschans']","['Baboffel Kinderdagverblijf', '302 meter', 'De Weteringschans']","['Luzac College Amsterdam', '637 meter', 'De Weteringschans']","['Huijschkaemer De', '96 meter', 'De Weteringschans']","[""Ram's Filmclub"", '757 meter', 'De Weteringschans']","['Huygen M F', '245 meter', 'De Weteringschans']","['Meulen Eline van der', '131 meter', 'De Weteringschans']","['SODA Bodyfit', '297 meter', 'De Weteringschans']","['Zeemanshoop Koninklijk College', '782 meter', 'De Weteringschans']"
"['Amsterdam Muiderpoort', '1,1 kilometer', 'Oostelijk Havengebied']","['Shell Station Kriterion', '2,4 kilometer', 'Oostelijk Havengebied']","['C 1000 Het IJ', '424 meter', 'Oostelijk Havengebied']","['Technika 10 Amsterdam', '337 meter', 'Oostelijk Havengebied']","['Small Villa Kinderopvang', '210 meter', 'Oostelijk Havengebied']","['LUCA Praktijkschool', '1,1 kilometer', 'Oostelijk Havengebied']","['Boulevard Café', '229 meter', 'Oostelijk Havengebied']","['Movie MAX Moviestores', '767 meter', 'Oostelijk Havengebied']","['Wong MeDs', '111 meter', 'Oostelijk Havengebied']","['Tandartsenpunt', '91 meter', 'Oostelijk Havengebied']","['Schaur Zumba Peter', '328 meter', 'Oostelijk Havengebied']","['Internationaal Instituut voor Sociale Geschiedenis', '337 meter', 'Oostelijk Havengebied']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '3,2 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '803 meter', 'Middelveldsche Akerpolder en Sloten']","['Supermarkt Karadeniz', '635 meter', 'Middelveldsche Akerpolder en Sloten']","['Odyssee Basisschool De', '305 meter', 'Middelveldsche Akerpolder en Sloten']","['PVO Harlekijntje', '185 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","[""Louman's Hoekje Café"", '464 meter', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '625 meter', 'Middelveldsche Akerpolder en Sloten']","['Universum Care', '269 meter', 'Middelveldsche Akerpolder en Sloten']","['Zygogiannis K', '182 meter', 'Middelveldsche Akerpolder en Sloten']","['Back in Shape', '1,2 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '5,2 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam Lelylaan', '3,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '1,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Oz Derya BV', '270 meter', 'Middelveldsche Akerpolder en Sloten']","['Horizon Openbare Dalton Basisschool De', '149 meter', 'Middelveldsche Akerpolder en Sloten']","['Rozemarijntje Kinderopvang', '395 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,4 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Silvestre Benelux BV Café', '943 meter', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '125 meter', 'Middelveldsche Akerpolder en Sloten']","['Gezondheidscentrum De Vaart SAG', '70 meter', 'Middelveldsche Akerpolder en Sloten']","['Barends Tandartspraktijk M', '257 meter', 'Middelveldsche Akerpolder en Sloten']","['Friends 4 Life BV Fitnessclub', '1,2 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '5,7 kilometer', 'Middelveldsche Akerpolder en Sloten']"
