treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '3,6 kilometer', 'Kadoelen']","['Total Selfservicestation Kadoelen', '737 meter', 'Kadoelen']","['Son To Maatje', '919 meter', 'Kadoelen']","['Rijkers Openbare Basisschool Dorus', '931 meter', 'Kadoelen']","['Banne Banjers Gastouder De', '707 meter', 'Kadoelen']","['Bredero Mavo', '1,9 kilometer', 'Kadoelen']","['Kadoelen Café Koffiehuis', '84 meter', 'Kadoelen']","['Eurocorner', '1,2 kilometer', 'Kadoelen']","['Huisartsenpraktijk Kadoelerbreek', '500 meter', 'Kadoelen']","['Behnam Rafal', '735 meter', 'Kadoelen']","['Play-Fit', '1,4 kilometer', 'Kadoelen']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,2 kilometer', 'Kadoelen']"
"['Amsterdam Centraal', '1,6 kilometer', 'Jordaan']","['Texaco Bem BV Selfservice', '535 meter', 'Jordaan']","['Roos Market', '218 meter', 'Jordaan']","['Rijk Kramer Oecumenische Basisschool Dr', '228 meter', 'Jordaan']","['The Zoo BSO', '336 meter', 'Jordaan']","['Cartesius Lyceum', '394 meter', 'Jordaan']","[""Café Mannetje 't"", '93 meter', 'Jordaan']","['Platebank BV', '855 meter', 'Jordaan']","['Cambridge Medical GP Physician Medical Doctor', '130 meter', 'Jordaan']","['Oosterbaan Tandarts C L', '167 meter', 'Jordaan']","['Fitness Centrum Leidsegracht BV', '80 meter', 'Jordaan']","['Bibliotheca Philosophica Hermetica', '300 meter', 'Jordaan']"
"['Amsterdam Lelylaan', '3,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '1,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Oz Derya BV', '267 meter', 'Middelveldsche Akerpolder en Sloten']","['Horizon Openbare Dalton Basisschool De', '148 meter', 'Middelveldsche Akerpolder en Sloten']","['Rozemarijntje Kinderopvang', '389 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,4 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Silvestre Benelux BV Café', '937 meter', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '131 meter', 'Middelveldsche Akerpolder en Sloten']","['Gezondheidscentrum De Vaart SAG', '76 meter', 'Middelveldsche Akerpolder en Sloten']","['Barends Tandartspraktijk M', '254 meter', 'Middelveldsche Akerpolder en Sloten']","['Friends 4 Life BV Fitnessclub', '1,2 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '5,7 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam Centraal', '4,0 kilometer', 'Buikslotermeer']","['Total Selfservicestation Kadoelen', '1,6 kilometer', 'Buikslotermeer']","['Zargar-Shakouri S', '757 meter', 'Buikslotermeer']","['De Vier Windstreken Openbare Basisschool', '705 meter', 'Buikslotermeer']","[""Piratenschip BSO 't"", '705 meter', 'Buikslotermeer']","['Bredero Mavo', '807 meter', 'Buikslotermeer']","['JAN Stichting Studentencafé', '869 meter', 'Buikslotermeer']","['Eurocorner', '2,9 kilometer', 'Buikslotermeer']","['Gezondheidscentrum Banne Buiksloot SAG', '656 meter', 'Buikslotermeer']","['Tandheelkunde Smit', '599 meter', 'Buikslotermeer']","['Cardio Candy', '872 meter', 'Buikslotermeer']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,6 kilometer', 'Buikslotermeer']"
"['Amsterdam Lelylaan', '3,3 kilometer', 'Geuzenveld']","['Autorette BP Sloterplas', '2,3 kilometer', 'Geuzenveld']","['Sefa Market', '761 meter', 'Geuzenveld']","['Goeman Borgesiusschool', '441 meter', 'Geuzenveld']","['PVO Goeman Borgesius 1', '441 meter', 'Geuzenveld']","['Calandlyceum', '2,5 kilometer', 'Geuzenveld']","[""Sanny's Place Café"", '757 meter', 'Geuzenveld']","['Filmclub Videotheek Osdorp', '2,8 kilometer', 'Geuzenveld']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '724 meter', 'Geuzenveld']","['Dedic Tandarts E', '843 meter', 'Geuzenveld']","[""Doel Lady's Only Fitnesscentrum Het"", '775 meter', 'Geuzenveld']","['Bibliotheca Philosophica Hermetica', '6,1 kilometer', 'Geuzenveld']"
"['Amsterdam Muiderpoort', '1,1 kilometer', 'Middenmeer']","['Mobil Station Zeist', '1,0 kilometer', 'Middenmeer']","['Cappadocia', '823 meter', 'Middenmeer']","['Watergraafsmeer 5e Montessorischool', '155 meter', 'Middenmeer']","['Bee Bee Kinderdagverblijf', '227 meter', 'Middenmeer']","['Onderwijsstichting Esprit', '214 meter', 'Middenmeer']","[""Elsa's Eetcafé"", '483 meter', 'Middenmeer']","['Movie MAX Moviestores', '1,2 kilometer', 'Middenmeer']","['Swart Huisartsenpraktijk', '54 meter', 'Middenmeer']","['Pawiroredjo Tandartspraktijk D W', '207 meter', 'Middenmeer']","['Ultimate Fitness Amsterdam', '524 meter', 'Middenmeer']","['Internationaal Instituut voor Sociale Geschiedenis', '1,8 kilometer', 'Middenmeer']"
"['Amsterdam Lelylaan', '2,4 kilometer', 'Kinkerbuurt']","['Texaco Bem BV Selfservice', '876 meter', 'Kinkerbuurt']","['Imazigen Slager', '350 meter', 'Kinkerbuurt']","['Janschool Sint', '195 meter', 'Kinkerbuurt']","['Tuimelaar Kinderdagverblijf', '79 meter', 'Kinkerbuurt']","['ABC Het', '670 meter', 'Kinkerbuurt']","['Topido', '194 meter', 'Kinkerbuurt']","['Asian Music Palace', '447 meter', 'Kinkerbuurt']","['Kuynders H M', '252 meter', 'Kinkerbuurt']","['Tandartspraktijk De Clercqstraat', '291 meter', 'Kinkerbuurt']","['Family Gym The', '546 meter', 'Kinkerbuurt']","['Bibliotheca Philosophica Hermetica', '1,4 kilometer', 'Kinkerbuurt']"
"['Amsterdam Lelylaan', '3,7 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '1,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Oz Derya BV', '332 meter', 'Middelveldsche Akerpolder en Sloten']","['Horizon Openbare Dalton Basisschool De', '517 meter', 'Middelveldsche Akerpolder en Sloten']","['Voorschool De Brenner', '376 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,7 kilometer', 'Middelveldsche Akerpolder en Sloten']","['De Kroon Party & Events', '1,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '378 meter', 'Middelveldsche Akerpolder en Sloten']","['Gezondheidscentrum De Vaart SAG', '340 meter', 'Middelveldsche Akerpolder en Sloten']","['Muradin Eric M F Tandarts', '621 meter', 'Middelveldsche Akerpolder en Sloten']","['Friends 4 Life BV Fitnessclub', '837 meter', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '6,0 kilometer', 'Middelveldsche Akerpolder en Sloten']"
