,Street,Zipcode,current_price,price_per_m2,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,caf̩,(huis)arts,tandarts,fitnesscentrum,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit,neighbourhood
0,Bakhuizen van den Brinkhof 56,1065.0,525000.0, 4.487,Hoekwoning,1956,117.0,393.0,258.0,6,4,877.0,905.0,274.0,60.0,69.0,235.0,968.0,914.0,163.0,1000.0,16.495,0.9236151603498542,7.029,0.19,0.13,0.28,0.22,0.18,0.39,0.12,0.49,7.815,0.46,0.23,0.31,"2,1",0.65,0.16,0.45,0.39,17.7,0.09,Slotervaart
1,Edmond Halleylaan 58,1086.0,910000.0, 3.889,Herenhuis,2008,234.0,874.0,144.0,8,4,1900.0,1300.0,1900.0,554.0,178.0,2500.0,429.0,262.0,294.0,691.0,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05,IJburg West
2,Balearenlaan 80,1060.0,575000.0, 3.402,Eengezinswoning,2003,169.0,675.0,142.0,5,4,3400.0,559.0,925.0,586.0,251.0,1600.0,181.0,153.0,447.0,931.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
3,Spyridon Louisweg 117,1034.0,585000.0, 3.656,Herenhuis,1995,160.0,556.0,220.0,5,-,2900.0,1700.0,339.0,359.0,348.0,814.0,962.0,780.0,151.0,2000.0,12.51,0.9201841903300078,7.553,0.21,0.12,0.26,0.25,0.15,0.43,0.09,0.48,5.675,0.43,0.21,0.37,"2,2",0.63,0.11,0.46,0.43,16.4,0.1007,Banne Buiksloot
4,Durgerdammerdijk 119,1026.0,700000.0, 6.796,Eengezinswoning,1968,103.0,319.0,265.0,5,3,4100.0,1800.0,3000.0,1600.0,1500.0,3700.0,1700.0,2000.0,1900.0,2200.0,2.12,1.009478672985782,,0.19,0.09,0.21,0.36,0.16,0.88,0.09,0.03,895.0,0.29,0.32,0.39,"2,4",0.76,0.36,0.34,0.3,24.3,0.0005,Waterland
5,Nieuwe Leliestraat 72 1,1015.0,350000.0, 8.537,Appartement,1905,41.0,,60.0,2,1,1300.0,684.0,343.0,257.0,152.0,485.0,39.0,135.0,80.0,217.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
6,Pond Sterlinglaan 36,1060.0,400000.0, 2.837,Eengezinswoning,1998,141.0,470.0,128.0,5,4,3200.0,944.0,475.0,164.0,246.0,1300.0,815.0,267.0,83.0,1300.0,14.995,0.9782321899736147,7.345,0.21,0.14,0.28,0.29,0.09,0.52,0.12,0.36,6.03,0.3,0.24,0.47,"2,5",0.74,0.26,0.43,0.31,20.8,0.030899999999999997,Middelveldsche Akerpolder en Sloten
7,Betuwestraat 14,1079.0,1950000.0, 8.744,Woning,1968,223.0,903.0,228.0,9,7,423.0,147.0,455.0,407.0,332.0,90.0,584.0,686.0,178.0,829.0,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03,Scheldebuurt
8,Michel de Klerkhof 20,1067.0,365000.0, 3.443,Tussenwoning,1987,106.0,399.0,111.0,5,4,3200.0,2100.0,458.0,132.0,132.0,2400.0,474.0,415.0,572.0,494.0,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107,Geuzenveld
9,Valeriusstraat 137 3,1075.0,1300000.0, 8.442,Dubbele bovenwoning,1911,154.0,,207.0,4,3,1700.0,834.0,420.0,379.0,330.0,235.0,285.0,287.0,84.0,532.0,5.235,0.9885931558935362,8.225,0.19,0.1,0.35,0.26,0.1,0.64,0.26,0.1,2.675,0.5,0.22,0.28,"2,0",0.74,0.44,0.28,0.28,33.3,0.020499999999999997,Willemspark
