Street,Zipcode,Price,Broker
Statenjachtstraat 582,1034 EZ, 425.000,Makelaardij Hendriks B.V.
Burgemeester Vening Meineszlaan 65,1063 AX, 550.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Westwouderstraat 3,1023 VD, 250.000,Makelaardij Hendriks B.V.
Brede Kerkepad 3,1023 BH, 1.250.000,Makelaardij Hendriks B.V.
Anna van Burenstraat 17 I,1055 VL, 275.000,De Oude Stad Makelaardij
Wilhelminastraat 89 3,1054 VZ, 750.000,Amstelland Makelaars
Kromme-mijdrechtstraat 91 2,1079 KT, 335.000,Makelaarsland
Wittgensteinlaan 253,1062 KG, 365.000,Makelaarsland
Saenredamstraat 65 Boven,1072 CD, 899.000,Jaap Admiraal Makelaardij B.V.
Zwanebloemlaan 2,1087 CD, 525.000,Hallie & van Klooster Makelaardij
Van Hallstraat 675,1051 HG, 425.000,Urbanmakelaars Nederland
Winterstraat 14,1078 VS, 250.000,Makelaardij Hendriks B.V.
Buziaustraat 24,1068 KN, 439.500,Makelaarsland
Pieter Jacobszstraat 21,1012 HL, 1.180.000,27 Huis Makelaars BV
J.g. Suurhoffstraat 131,1067 VR, 350.000,Makelaardij Hendriks B.V.
Carolina Macgillavrylaan 496 P P,1098 XB, 450.000,Amstelland Makelaars
Julius Pergerstraat 212,1087 KP, 329.000,Makelaars Anno Nu
Gijsbrecht van Aemstelstraat 3 2,1091 TA, 375.000,Burger Elkerbout Makelaars en Taxateurs
Midwoudpad 67,1024 MC, 400.000,Makelaardij Hendriks B.V.
Ardennenlaan 188,1066 SE, 750.000,Jeroen van den Boogaard Makelaars
Edward Masseystraat 37,1086 ZL, 675.000,Makelaarsland
Zwanebloemlaan 20,1087 CD, 450.000,Hallie & van Klooster Makelaardij
Rheastraat 2,1076 DS, 1.200.000,RE/MAX PRO
Van Ostadestraat 296 3,1073 TW, 510.000,Francis Helmig makelaardij
Zwanebloemlaan 232,1087 GD, 685.000,SEM Makelaars
Nieuwe Keizersgracht 20 Iii,1018 DS, 625.000,Amsterdam at Home Makelaars
Stoombootweg 48,1035 TX, 625.000,Makelaarsland
Maria Austriastraat 690,1087 JC, 469.000,Your Home Makelaardij
Pomonastraat 66,1033 TJ, 300.000,Linger OG
Jacques Veltmanstraat 81,1065 EG, 580.000,Francis Helmig makelaardij
Stade de Colombes 51,1098 VS, 1.325.000,Makelaarsland
Waldenlaan 33 +pp,1093 NH, 425.000,Thoma Post Makelaar Amsterdam
Adriaan Loosjesstraat 23,1035 XP, 400.000,Makelaardij Hendriks B.V.
Osdorperweg 112,1066 EN, 645.000,Barnhoorn Vermeer B.V.
Osdorper Ban 533,1069 GA, 375.000,ERA Van de Steege  Amsterdam-Centrum
Dijkbraak 20,1035 JS, 449.020,AVT Makelaars 
