Zipcode,current_price,price_per_m2,times_in_sales,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,(huis)arts,tandarts,fitnesscentrum,bibliotheek,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
1075.0,2300000.0, 8.127,Nieuw,Woning,1906,283.0,1.132,,7,4,1700.0,628.0,453.0,573.0,383.0,260.0,403.0,194.0,73.0,544.0,1400.0,5.235,0.9885931558935362,8.225,0.19,0.1,0.35,0.26,0.1,0.64,0.26,0.1,2.675,0.5,0.22,0.28,"2,0",0.74,0.44,0.28,0.28,33.3,0.020499999999999997
1053.0,1290000.0, 8.958,Nieuw,Herenhuis,1981,144.0,484.0,49.0,6,4,2400.0,876.0,350.0,195.0,79.0,670.0,194.0,252.0,291.0,546.0,1400.0,5.135,1.0539999999999998,20.353,0.1,0.12,0.48,0.23,0.07,0.57,0.19,0.24,3.375,0.65,0.2,0.15,"1,5",0.72,0.18,0.4,0.42,17.5,0.09
1012.0,1050000.0, 8.140,13 dagen,Appartement,1005,129.0,,,3,2,955.0,1200.0,98.0,588.0,383.0,531.0,121.0,249.0,270.0,400.0,374.0,3.915,1.3513513513513513,11.176,0.06,0.16,0.46,0.26,0.06,0.58,0.27,0.15,2.805,0.72,0.19,0.09,"1,4",0.72,0.22,0.37,0.41,18.9,0.030899999999999997
1098.0,569000.0, 4.948,Nieuw,Appartement,2013,115.0,352.0,,4,3,912.0,1600.0,596.0,359.0,334.0,532.0,695.0,489.0,376.0,147.0,1300.0,13.51,0.9122434536447275,4.798,0.18,0.14,0.33,0.25,0.1,0.72,0.16,0.12,6.91,0.48,0.22,0.3,"2,0",0.78,0.34,0.39,0.27,23.2,0.0203
1081.0,575000.0, 4.873,Nieuw,Eengezinswoning,1962,118.0,,185.0,5,4,1800.0,2000.0,1100.0,276.0,106.0,470.0,326.0,262.0,250.0,400.0,1900.0,12.165,0.8459787556904401,3.378,0.11,0.1,0.28,0.23,0.27,0.61,0.22,0.17,7.27,0.59,0.24,0.18,"1,6",0.71,0.28,0.4,0.32,23.2,0.0208
1069.0,375000.0, 2.799,Nieuw,Eengezinswoning,2006,134.0,435.0,,5,4,,,,,,,,,,,,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707
1035.0,300000.0, 4.054,Nieuw,Tussenwoning,1956,74.0,252.0,121.0,3,2,4500.0,769.0,859.0,7.0,125.0,1500.0,1100.0,593.0,1100.0,551.0,1500.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207
1069.0,399000.0, 3.694,Nieuw,Appartement,2007,108.0,492.0,,4,3,2500.0,953.0,317.0,280.0,226.0,610.0,582.0,686.0,110.0,730.0,4800.0,13.37,0.9292929292929294,12.505,0.21,0.14,0.36,0.17,0.13,0.27,0.1,0.63,6.23,0.45,0.22,0.33,"2,1",0.63,0.09,0.45,0.46,15.7,0.12029999999999999
1083.0,325000.0, 4.333,1 maand,Appartement,1963,75.0,203.0,80.0,3,2,671.0,475.0,772.0,495.0,69.0,644.0,483.0,221.0,54.0,892.0,1500.0,7.105,0.7987341772151898,3.866,0.09,0.09,0.24,0.24,0.34,0.62,0.22,0.16,4.025,0.59,0.25,0.16,"1,6",0.66,0.3,0.38,0.32,23.6,0.0305
1063.0,575000.0, 5.374,24 dagen,Woning,1953,107.0,411.0,156.0,3,2,611.0,213.0,597.0,327.0,58.0,894.0,497.0,557.0,60.0,268.0,3300.0,9.185,1.0629213483146067,9.627,0.2,0.15,0.34,0.21,0.11,0.27,0.1,0.63,4.54,0.51,0.17,0.32,"2,0",0.6,0.1,0.45,0.45,16.2,0.1306
1068.0,549500.0, 3.413,7 dagen,Eengezinswoning,2007,161.0,420.0,143.0,6,-,,,,,,,,,,,,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707
1015.0,1050000.0, 7.554,Nieuw,Dubbele bovenwoning,1620,139.0,,66.0,5,4,929.0,926.0,174.0,422.0,249.0,425.0,169.0,296.0,156.0,132.0,367.0,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01
1032.0,400000.0, 5.714,6 dagen,Tussenwoning,1931,70.0,249.0,73.0,4,3,2100.0,2400.0,300.0,531.0,103.0,847.0,271.0,510.0,295.0,2200.0,2200.0,9.38,0.9872881355932204,7.877,0.17,0.13,0.32,0.26,0.12,0.51,0.09,0.4,4.935,0.51,0.19,0.3,"1,9",0.62,0.07,0.43,0.5,14.9,0.1304
1068.0,475000.0, 4.750,9 dagen,Woning,1985,100.0,325.0,235.0,4,3,2200.0,589.0,527.0,70.0,70.0,321.0,238.0,311.0,290.0,358.0,4800.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707
1018.0,600000.0, 4.800,Nieuw,Appartement,2004,125.0,342.0,,4,3,861.0,2400.0,390.0,266.0,125.0,1100.0,144.0,368.0,194.0,273.0,490.0,12.615,1.0224538893344026,12.311,0.13,0.13,0.34,0.32,0.08,0.57,0.18,0.25,7.55,0.6,0.18,0.21,"1,7",0.68,0.21,0.41,0.38,19.3,0.0901
1069.0,449021.0, 3.278,3 dagen,Tussenwoning,2012,137.0,510.0,144.0,5,4,3700.0,1800.0,581.0,328.0,328.0,1800.0,546.0,881.0,36.0,1200.0,6300.0,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906
1028.0,1500000.0, 4.011,7 maanden,Woonboerderij,1910,374.0,1.048,7.16,5,4,9100.0,6700.0,3100.0,1500.0,2200.0,6700.0,3500.0,4100.0,2100.0,3500.0,3600.0,2.12,1.009478672985782,,0.19,0.09,0.21,0.36,0.16,0.88,0.09,0.03,895.0,0.29,0.32,0.39,"2,4",0.76,0.36,0.34,0.3,24.3,0.0005
1068.0,225000.0, 3.409,Nieuw,Appartement,1960,66.0,220.0,,3,2,2300.0,1200.0,265.0,310.0,150.0,1300.0,317.0,89.0,311.0,364.0,5200.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707
1061.0,500000.0, 4.425,11 dagen,Eengezinswoning,2013,113.0,,185.0,4,3,1500.0,818.0,322.0,536.0,408.0,476.0,528.0,510.0,345.0,127.0,3000.0,7.34,1.0262068965517241,10.108,0.23,0.17,0.34,0.18,0.08,0.17,0.08,0.75,3.275,0.48,0.16,0.36,"2,2",0.53,0.06,0.44,0.5,14.3,0.18030000000000002
