Street,Zipcode,Price,Broker
Buziaustraat 24,1068 KN,439.5,Makelaarsland
De Wittenkade 47 2v,1052 AD,220,Cocq Makelaars Amsterdam
Baden Powellweg 12,1069 KW,350,Amsterdam at Home Makelaars
Winterstraat 14,1078 VS,250,Makelaardij Hendriks B.V.
Samosstraat 42,1060 TA,425,Nieuw West Makelaardij Onroerende Zaken B.V.
Spaarndammerdijk 7 X,1013 ZM,490,leukehuizen.nl
Harry Koningsbergerstraat 63,1063 AE,525,De Huizenbemiddelaar Amsterdam
Pieter Jacobszstraat 21,1012 HL, 1.180.000,27 Huis Makelaars BV
Kometensingel 331,1033 BJ,299,ERA Van de Steege  Amsterdam-Centrum
Heer Halewijnstraat 22 Ii,1055 ST,285,Van Maarschalkerwaart Makelaardij B.V.
J.g. Suurhoffstraat 131,1067 VR,350,Makelaardij Hendriks B.V.
Gijsbrecht van Aemstelstraat 3 2,1091 TA,375,Burger Elkerbout Makelaars en Taxateurs
Carolina Macgillavrylaan 496 P P,1098 XB,450,Amstelland Makelaars
Ardennenlaan 188,1066 SE,750,Jeroen van den Boogaard Makelaars
Joris Ivensstraat 7,1087 BB,469,Voogd Makelaardij B.V.
Edward Masseystraat 37,1086 ZL,675,Makelaarsland
Zwanebloemlaan 20,1087 CD,450,Hallie & van Klooster Makelaardij
Keizersgracht 53 B,1015 CE,935,Dstrct Amsterdam
Rheastraat 2,1076 DS, 1.200.000,RE/MAX PRO
Zwanebloemlaan 232,1087 GD,685,SEM Makelaars
Van Ostadestraat 296 3,1073 TW,510,Francis Helmig makelaardij
Nieuwe Keizersgracht 20 Iii,1018 DS,625,Amsterdam at Home Makelaars
Pieter A. van Heijningestraat 83,1035 SX,297,LAM ERA makelaars
Stoombootweg 48,1035 TX,625,Makelaarsland
Dijkbraak 20,1035 JS,449.02,AVT Makelaars 
Burgemeester Hogguerstraat 645,1064 CX,300,Henk Burger Makelaardij og B.V.
Sinjeur Semeynsstraat 64-5,1061 GL,259,Apollo Makelaardij Groot Amsterdam
Leeuwendalersweg 594,1061 BH,475,Amsterdam at Home Makelaars
Maria Austriastraat 690,1087 JC,469,Your Home Makelaardij
Adriaan Loosjesstraat 23,1035 XP,400,Makelaardij Hendriks B.V.
Pomonastraat 66,1033 TJ,300,Linger OG
Stade de Colombes 51,1098 VS, 1.325.000,Makelaarsland
J.g. Suurhoffstraat 25,1067 VL,345,Nieuw West Makelaardij Onroerende Zaken B.V.
Prinsengracht 235 K,1015 DT,489,Hans Kok
Cornelis van Vollenhovenstraat 54,1063 KT,225,Makelaardij Hendriks B.V.
Ladogameerhof 113,1060 RE,275,Makelaardij Hendriks B.V.
Grote Ruwenberg 28 Iii,1083 BS,350,Magneet Makelaars B.V.
H Diesveldsingel 15,1060 RL,399,Nieuw West Makelaardij Onroerende Zaken B.V.
Nieuwe Teertuinen 16 U,1013 LV,415,Bijleveld Makelaardij O.G.
Linnaeushof 43-1 C,1098 KM, 1.095.000,Amsterdam at Home Makelaars
Korte Ouderkerkerdijk 58,1096 AD,800,RE/MAX PRO
Rengerskerkestraat 46,1069 HV,350,MangrÌ© makelaars
Churchilllaan 258,1078 EZ,650,HHW Makelaars
Saskia van Uijlenburgkade 117,1058 GA,600,HHW Makelaars
Haarlemmermeerstraat 38 Ii,1058 KA,435,Van Maarschalkerwaart Makelaardij B.V.
Da Costastraat 121 Huis,1053 ZK,625,Amstelland Makelaars
Zijkanaal H-weg 53,1037 RS,319,Hans Kok
Bonnefantenstraat 58,1064 PN,375,Makelaardij Hendriks B.V.
Nieuwendammerdijk 513,1023 BR,500,Peters-de Jong makelaardij in o.z.
Boerhaaveplein 14 Hs,1091 AS,795,RE/MAX PRO
Oostelijke Handelskade 833,1019 BW,600,Hallie & van Klooster Makelaardij
Kloveniersburgwal 61 C,1011 JZ,425,Jeanine van der Sanden Makelaardij
Derde Oosterparkstraat 64 H +pp,1091 KA,649,Hallo Makelaar B.V.
Haarlemmerdijk 186,1013 JK, 1.500.000,Keizerskroon Makelaars
Waalsteeg 15,1011 ER,475,Remko Bijvoet Makelaardij b.v.
Pieter Calandlaan 438,1060 TT,335,Nieuw West Makelaardij Onroerende Zaken B.V.
Orteliusstraat 364 1,1056 PV,325,Huisportaal.nl
Dwergvinvisstraat 84,1035 HR,319,27 Huis Makelaars BV
