Street,Zipcode,Price,Broker
Brouwersgracht 178 B,1013 HB,775,Dstrct Amsterdam
Orteliusstraat 289-2 A,1056 NX,200,HHW Makelaars
Beemsterstraat 442,1024 BR,200,ERA Van de Steege  Amsterdam-Centrum
Veembroederhof 243,1019 HD,450,Voogd Makelaardij B.V.
Jan van Galenstraat 66 Iii,1056 CC,425,Van Maarschalkerwaart Makelaardij B.V.
Laan van Vlaanderen 216,1066 MR,275,Barnhoorn Vermeer B.V.
Entrepotdok 111,1018 AD,859,De Huizenbemiddelaar Amsterdam
Erasmusgracht 7 -ii,1056 BB,300,van der Linden Lelystad
Cornelis Vermuydenstraat 64-4,1018 RN,545,Thoma Post Makelaar Amsterdam
Ceintuurbaan 239 3,1074 CX,400,Amsterdam at Home Makelaars
Sanderijnstraat 38 1,1055 BV,325,Makelaarsland
Jacob van Lennepstraat 69 I,1053 HE,489,Makelaarsland
Rengerskerkestraat 48,1069 HV,335,Hallo Makelaar B.V.
Von Zesenstraat 194,1093 BJ,300,ERA Van de Steege  Amsterdam-Centrum
Weesperplein 21 3,1018 WZ,600,Bijleveld Makelaardij O.G.
Eerste Atjehstraat 111 Hs,1094 KG,450,ERA Van de Steege  Amsterdam-Centrum
Teldershof 76,1067 ML,350,Amsterdam at Home Makelaars
Zwanebloemlaan 202,1087 GD,595,Makelaarsland
Polanenstraat 76 D,1013 WB,550,Makelaarsland
Karthuizersdwarsstraat 24,1015 KP, 1.100.000,Collectief makelaars
Hoofdweg 118 -iii,1058 BH,630,Makelaarsland
Leusdenhof 158,1108 DD,210,Collectief makelaars
Jonge Roelensteeg 4 -g,1012 PL,269.5,27 Huis Makelaars BV
Sloterweg 842,1066 CP, 1.495.000,Barnhoorn Vermeer B.V.
Haarlemmermeerstraat 60 Hs,1058 KC,530,VRM-OG/Van Roijen Makelaardij
Goeman Borgesiusstraat 4 B-nd,1067 LN,360,Hallie & van Klooster Makelaardij
Goeman Borgesiusstraat 4 E-nd,1067 LN,360,Hallie & van Klooster Makelaardij
Reestraat 16 B,1016 DN,399,Jaap Admiraal Makelaardij B.V.
Plantage Muidergracht 120,1018 TW,489,Voogd Makelaardij B.V.
Willem Kromhoutstraat 35,1067 RC,300,Makelaardij Hendriks B.V.
Borneostraat 22 Ii,1094 CK,275,JLG Real Estate B.V.
Bloemstraat 86 Ii,1016 LE,355,Hallie & van Klooster Makelaardij
H.j. Algrastraat 55,1067 WK,325,van der Linden Lelystad
C. van Eesterenlaan 358,1019 KE,489,Isaak Makelaardij o.g. B.V.
Sarphatistraat 690,1018 AV,449,C. Hoen Dzn c.v.
Postjeskade 49 1,1058 DG,300,Amsterdam at Home Makelaars
Prinsengracht 729 B,1017 JX,845,Thoma Post Makelaar Amsterdam
Ward Bingleystraat 7-1,1065 TJ,250,Geldhof Makelaardij o.g.
Singel 39 G,1012 VC,669,Hans Kok
Nachtwachtlaan 86,1058 EC,295,Makelaardij Hendriks B.V.
Blauwvoetstraat 65,1061 BM,525,Barnhoorn Vermeer B.V.
Hendrikus Rempestraat 6,1063 EG,349.511,11 Makelaars B.V.
Makassarstraat 52 Iii,1095 TA,495,ERA Van de Steege  Amsterdam-Centrum
Pieter Calandlaan 287,1068 NG,215,ERA Van de Steege  Amsterdam-Centrum
Vrolikstraat 309 C,1091 VE,375,SEM Makelaars
Weesperzijde 2 -e,1091 EA,379.011,11 Makelaars B.V.
Hugo Floris Ruysstraat 2 1,1063 KD,239,RE/MAX PRO
Weidestraat 14,1097 XJ,399,Isaak Makelaardij o.g. B.V.
Overamstelstraat 1 A- 1,1091 TL,250,C. Hoen Dzn c.v.
Backershagen 39,1082 GR,469,C. Hoen Dzn c.v.
Veerstraat 71 1,1075 SP,275,Makelaardij Hendriks B.V.
Theodoor van Hoytemastraat 42,1062 CG,250,Makelaardij Hendriks B.V.
Lou Jansenplein 55 3,1063 GW,250,Fris Makelaardij Amsterdam B.V.
Jan den Haenstraat 24 B,1055 WE,295,Scholten Vastgoed B.V.
Jan den Haenstraat 24 C,1055 WE,295,Scholten Vastgoed B.V.
Jan den Haenstraat 26 C,1055 WE,295,Scholten Vastgoed B.V.
Jacob van Lennepstraat 54 1 V,1053 HL,225,Makelaarsland
Hoofddorpplein 18 Ii,1058 PD,385,Voogd Makelaardij B.V.
Egidiusstraat 22 2,1055 GV,295,van der Linden Lelystad
Oostenburgerpark 148,1018 HT,375,ERA Van de Steege  Amsterdam-Centrum
Omval 111,1096 AA,495,Voogd Makelaardij B.V.
Admiraal de Ruijterweg 274 -iii,1055 MR,400,Henk Burger Makelaardij og B.V.
Zeeburgerkade 142-6 E,1019 HH,399,Isaak Makelaardij o.g. B.V.
Zeeburgerkade 802,1019 HT,400,Amsterdam at Home Makelaars
Haarlemmerweg 567 1,1055 PN,325,Amsterdam at Home Makelaars
Bloemstraat 86 Hs,1016 LE,395,Hallie & van Klooster Makelaardij
Bloemstraat 86 I,1016 LE,350,Hallie & van Klooster Makelaardij
Ekingenstraat 158,1069 GZ,249,Goedhart Makelaars en Taxateurs V.O.F.
Koggestraat 6 D,1012 TA,550,Mijn Huis Makelaardij
Nieuwevaart 99,1018 AA, 1.150.011,11 Makelaars B.V.
De Clercqstraat 6 B,1052 NC,375,Collectief makelaars
Nieuwe Kerkstraat 425,1018 VK,645,Dstrct Amsterdam
Valeriusplein 24,1075 BH, 5.900.000,Van Maarschalkerwaart Makelaardij B.V.
Waldenlaan 33,1093 NH,450,Thoma Post Makelaar Amsterdam
Carnapstraat 199,1062 KZ,425,de Haas Makelaars
Jacob van Lennepstraat 229-1,1053 JC,325,BrinkBorgh Makelaardij
Langestraat 12,1015 AL,Prijs op aanvraag,ouwehand van der meijden makelaars
Gloriantstraat 12 3,1055 CT,299,van der Linden Lelystad
Vegastraat 149,1033 HS,Prijs op aanvraag,Linger OG
Roggeveenstraat 155,1013 PT,375,Amsterdam at Home Makelaars
Bilderdijkkade 66 Ii,1053 VN,295,Makelaarsland
Nannie van Wehlstraat 16,1064 MN,325,RE/MAX PRO
Het Laagt 90,1025 GJ,249,+31 Vastgoed
Chet Bakerstraat 33,1066 GH,425,Makelaardij Hendriks B.V.
Jan Bernardusstraat 25-2 R,1091 TS,249,Calcant Vastgoed Makelaars Barneveld
Van der Palmkade 201 + Pp,1051 RK,525,Hallie & van Klooster Makelaardij
Erich Salomonstraat 140,1087 EH,325,Hallie & van Klooster Makelaardij
Bilderdijkstraat 45,1053 KK,475,Nieuw West Makelaardij Onroerende Zaken B.V.
Aakpad 23,1034 HC,450,Amstelhoven Makelaardij o.g. b.v.
Pieter Calandlaan 564,1060 TV,399,Barnhoorn Vermeer B.V.
Van Hilligaertstraat 8 B,1072 JZ,469.5,Linger OG
Albert Cuypstraat 58 3,1072 CV,Prijs op aanvraag,Bijleveld Makelaardij O.G.
Singel 324 B,1016 AE,600,RE/MAX PRO
Buiksloterweg 22,1031 CK,319,Hans Kok
Admiralengracht 275 Iii,1056 EA,375,Amsterdam at Home Makelaars
Van Noordtkade 120,1013 CA,290,Hallie & van Klooster Makelaardij
Stentorstraat 61,1035 XC,598,Makelaarsbalie
Cannenburg 82,1081 HC, 1.075.000,Ramon Mossel Makelaardij o.g. B.V.
Tilanusstraat 59 Hs,1091 BE,465,Peters & van der Vloodt b.v.
Veembroederhof 151,1019 HD,500,RE/MAX PRO
Cornelis Trooststraat 56 Iii,1072 JH,395,Isaak Makelaardij o.g. B.V.
Ottho Heldringstraat 202 L + Pp,1066 AZ,425,ouwehand van der meijden makelaars
Diemerzeedijk 4,1095 KK,279,BrinkBorgh Makelaardij
Singel 206 A,1016 AA,995,PC22
Jan den Haenstraat 26 A,1055 WE,550,Scholten Vastgoed B.V.
Wijnand Nuijenstraat 82,1061 WB,350,van der Linden Lelystad
Jasper Leijnsenstraat 20 2,1056 XZ,300,Amsterdam at Home Makelaars
Goeman Borgesiusstraat 4 D-nd,1067 LN,360,Hallie & van Klooster Makelaardij
Admiraal de Ruijterweg 297,1055 LV,329,De Huizenbemiddelaar Amsterdam
Sportstraat 17 Bg,1076 TP,350,Hard To Get B.V.
Stentorstraat 90,1035 XJ,425,Makelaardij Hendriks B.V.
Marnixstraat 214 B,1016 TL,345,Hallie & van Klooster Makelaardij
Daniel Stalpertstraat 86 H,1072 XL, 1.050.000,Your Home Makelaardij
Kinkerstraat 114 2,1053 ED,230,Aemestelle Makelaars B.V.
Van Breestraat 18,1071 ZP, 2.695.000,PC22
M. Gandhilaan 37,1069 NC,275,Makelaardij Hendriks B.V.
Pieter Calandlaan 1133,1069 SE,275,RE/MAX PRO
Fleerde 201,1102 AV,280,Makelaardij Hendriks B.V.
Johannes Verhulststraat 94 Bv,1071 NK,Prijs op aanvraag,De Compagnie Makelaardij o.z. Naarden B.V.
P Hans Frankfurthersingel 66,1060 TN,300,XLCASA
Oudezijds Achterburgwal 119 D,1012 DE,475,Keizerskroon Makelaars
Borgerstraat 208 Hs,1053 RD,415,Hard To Get B.V.
Spuistraat 42 3,1012 TV,265,Makelaarsland
Ethekwini 56,1103 AW,374,Makelaarsland
Binnenkant 25 A,1011 BJ, 1.650.000,Peters & van der Vloodt b.v.
Oudezijds Voorburgwal 109 G,1012 EM,550,Makelaardij Hendriks B.V.
Tweede Oosterparkstraat 143 B,1092 BC,425,Ramon Mossel Makelaardij o.g. B.V.
Stadhouderskade 16 B,1054 ES, 1.850.000,Dstrct Amsterdam
President Allendelaan 351,1068 VM,475,Makelaardij Hendriks B.V.
Adamello 1,1060 NW,245,Barnhoorn Vermeer B.V.
Marius Meijboomstraat 11,1087 LD,295,Hallie & van Klooster Makelaardij
Curacaostraat 84 2,1058 CA,350,Mijn Huis Makelaardij
Raadhuisstraat 17 1,1016 DB,275,Makelaardij Hendriks B.V.
Pieter Vlamingstraat 109,1093 DL,450,ERA Van de Steege  Amsterdam-Centrum
Oude Looiersstraat 42 I,1016 VJ,475,Makelaardij o.g. Willemspark
Admiraal de Ruijterweg 521 B 2,1055 MJ,239,RE/MAX PRO
Keizersgracht 649,1017 DT,535,C. Hoen Dzn c.v.
Nassaukade 34 2,1052 CK,475,Geldhof Makelaardij o.g.
Geldersekade 11 Hs & 1,1011 EH, 1.150.000,Hard To Get B.V.
Celebesstraat 102 -k,1094 EW,250,Makelaardij Hendriks B.V.
Hoekschewaardweg 62,1025 PD,324.511,11 Makelaars B.V.
Korte Geuzenstraat 99,1056 KS,475,Amsterdam at Home Makelaars
Van Nijenrodeweg 734,1082 JE,415,Fris Makelaardij Amsterdam B.V.
Johan Huizingalaan 290 2,1065 JN,250,Scholten Vastgoed B.V.
Gillis van Ledenberchstraat 83 3,1052 VB,425,Hallie & van Klooster Makelaardij
Rietlandterras 6,1019 EW,449,Isaak Makelaardij o.g. B.V.
Kastelenstraat 85 2,1083 CC,440,Ludenhoff Groep Makelaars
Marnixstraat 34 3 L,1015 XK,210,Makelaardij Prins van Wijngaarden
Meeuwenlaan 189 B,1021 JD,250,Makelaardij Hendriks B.V.
Bolestein 374,1081 EG,400,Fris Makelaardij Amsterdam B.V.
Ten Katestraat 47 Ii,1053 BX,289,Domvast B.V.
Bloemstraat 86 Iii,1016 LE,355,Hallie & van Klooster Makelaardij
Willem de Zwijgerlaan 209 -ii,1056 JP,295,Makelaarsland
Vrolikstraat 262i,1092 TX,375,Jaap Admiraal Makelaardij B.V.
Eerste Helmersstraat 207 1,1054 DW,850,Keizerskroon Makelaars
Passeerdersstraat 51 C,1016 XB,630,Keizerskroon Makelaars
Jasonstraat 19 Ii,1076 KW,465,Huisportaal.nl
V Tuyll V Serooskerkenwg 59 Hs,1076 JD,625,RE/MAX PRO
Jan den Haenstraat 20 E,1055 WE,550,Hallie & van Klooster Makelaardij
Emmy Andriessestraat 408,1087 LS,550,van der Linden Lelystad
Lijnbaansgracht 203 H,1016 XA,625,Dstrct Amsterdam
Keizersgracht 634 D,1017 ER,599,Makelaardij o.g. Willemspark
Ekingenstraat 28,1069 GV,235,Nieuw West Makelaardij Onroerende Zaken B.V.
Maassluisstraat 364,1062 GR,250,Alice Bakker Makelaardij O.G.
Van Speijkstraat 38 Iii,1057 HC,360,Hallie & van Klooster Makelaardij
Lex Althoffstraat 5 Iii,1063 ZK,240,van der Linden Lelystad
Ten Katestraat 3 Ii,1053 BV,325,Netwerk Makelaardij Amsterdam
Suze Robertsonstraat 53,1062 BV,250,Schuitema Makelaars
Pieter Calandlaan 1133 +pp,1069 SE,275,RE/MAX PRO
Frederiksplein 49 -a,1017 XL, 1.990.000,C. Hoen Dzn c.v.
Geschutswerf 79 + Pp,1018 AW, 1.160.000,Amsterdam at Home Makelaars
Hoofdweg 496,1055 AB,450,Amsterdam at Home Makelaars
Wibautstraat 186 D+pp,1091 GS,Prijs op aanvraag,Burger Elkerbout Makelaars en Taxateurs
Eerste Weteringdwarsstraat 48 -e,1017 TP,294,Scholten Vastgoed B.V.
Wedderborg 35,1082 SV,325,Gerrit Jan Heemskerk makelaardij o.g.
Hoofdweg 694,1055 AB,475,C. Hoen Dzn c.v.
Nieuwe Hoogstraat 17 -b,1011 HC,510,Francis Helmig makelaardij
Filips van Almondestraat 29 2,1057 ZS,300,Scholten Vastgoed B.V.
Van Heemskerckstraat 80,1013 PA,310,Makelaarsland
Eerste Helmersstraat 98 C,1054 EG,615,Scholten Vastgoed B.V.
Hammerbystraat 14,1031 KD,695,RE/MAX PRO
Govert Flinckstraat 107 Iiac,1072 EE,240,Makelaardij Hendriks B.V.
Bep Bakhuysstraat 5,1061 ME,450,Amsterdam at Home Makelaars
Van Nijenrodeweg 748,1082 JG,210,Fris Makelaardij Amsterdam B.V.
Freek Oxstraat 15 Ii,1063 ZT,175,Zelfverkopen.nl
Formosastraat 55,1094 SW,195,HouseHunting 0297 Makelaars
Geschutswerf 79,1018 AW, 1.080.000,Amsterdam at Home Makelaars
Zeeburgerkade 820,1019 HT,400,Fris Makelaardij Amsterdam B.V.
Jan den Haenstraat 26 D,1055 WE,550,Scholten Vastgoed B.V.
Bestevaerstraat 172 Ii,1055 TS,325,Hallie & van Klooster Makelaardij
Cornelis Trooststraat 30 I,1072 JG,297.5,Makelaarsland
Goeman Borgesiusstraat 4 A-nf,1067 LN,300,Hallie & van Klooster Makelaardij
Jozef Israelskade 51 -i,1073 PW,390,Jacobus Recourt B.V.
Nickeriestraat 18 I,1058 VW,325,Makelaardij Hendriks B.V.
Sloterweg 1059 A,1066 CD,250,Barnhoorn Vermeer B.V.
Warmondstraat 127 Ii&iii,1058 KV,420,Amsterdam at Home Makelaars
Bestevaerstraat 215-huis,1055 TM,350,Scholten Vastgoed B.V.
Van Reigersbergenstraat 67 Ii,1052 SV,250,Hallie & van Klooster Makelaardij
Van Reigersbergenstraat 85 Iii,1052 SX,235,Hallie & van Klooster Makelaardij
Leidsegracht 92 C,1016 CS,Prijs op aanvraag,ouwehand van der meijden makelaars
"Onstein 22, 1082 KL Amsterdam",1082 KL,275,Streekgoed Makelaardij
Dora Tamanaplein 61,1074 JL,775,Bijleveld Makelaardij O.G.
"Jan van Eijckstraat 16 -ii, 1077 LK Amsterdam",1077 LK, 1.495.000,Keij & Stefels b.v.
"Fagelstraat 38 Ii, 1052 GD Amsterdam",1052 GD,295,Adriaanssen Makelaardij
"Biesboschstraat 39 Iii, 1078 ML Amsterdam",1078 ML,675,Van Baerle Makelaars
"Boeroestraat 48, 1095 VS Amsterdam",1095 VS,350,Makelaar Bert
"Johan van der Keukenstraat 160, 1087 AZ Amsterdam",1087 AZ,325,RET Makelaars
Veluwseweg 0 Ong,1000    Am,219.5,Wijkhuizen makelaars
Nieuwe Kerkstraat 38 Hs,1018 EC,350,Wijkhuizen makelaars
"Van Speijkstraat 141 -i, 1057 GW Amsterdam",1057 GW,395,Fred Koot Makelaardij
Goeman Borgesiusstraat 4 C-nd,1067 LN,360,Hallie & van Klooster Makelaardij
Goeman Borgesiusstraat 4 H-nd,1067 LN,360,Hallie & van Klooster Makelaardij
Trompenburgstraat 109 A-i,1079 TT,340,Hallie & van Klooster Makelaardij
Oostzaanstraat 74,1013 WN,775,ERA Van de Steege  Amsterdam-Centrum
Koninginneweg 193 Hs,1075 CR, 1.595.000,ouwehand van der meijden makelaars
Bentinckstraat 11 I,1051 GC,250,Amsterdam at Home Makelaars
Baarsstraat 2 -hs,1075 RW,200,Amsterdam at Home Makelaars
Westlandgracht 241 1,1059 TR,375,Makelaarsland
Eerste Helmersstraat 170 Hs,1054 EK,850,Makelaardij o.g. Willemspark
Weteringstraat 2,1017 SN,775,Amsterdam at Home Makelaars
Bickerswerf 58,1013 KX,675,Hallie & van Klooster Makelaardij
Eerste Constantijn Huygensstraat 28 -g,1054 BR,750,Voogd Makelaardij B.V.
Madelievenstraat 35,1015 NV,570,Thoma Post Makelaar Amsterdam
Jan Evertsenstraat 141,1057 BW,275,Amsterdam at Home Makelaars
Keizersgracht 308,1016 EX, 2.195.000,Dstrct Amsterdam
Kerkstraat 205 D,1017 GJ,699,PC22
Sarphatistraat 85 G,1018 EZ,289,Makelaarsland
Pieter Calandlaan 700,1060 TW,450,ERA Van de Steege  Amsterdam-Centrum
Ter Haarstraat 17 B,1053 LH,399,Wijkhuizen makelaars
Valentijnkade 54 Iii,1095 JK,300,Amsterdam at Home Makelaars
Weerdestein 78,1083 GE,420,Jacobus Recourt B.V.
Keizersgracht 18 F,1015 CP, 1.600.000,Keizerskroon Makelaars
Bolestein 514,1081 EH,415,C. Hoen Dzn c.v.
Oostzaanstraat 0 Ong,1013 WN,765,Hallie & van Klooster Makelaardij
Ferguutstraat 15 I,1055 SX,300,Makelaarsland
Emmeline Pankhurststraat 19,1103 MN,225,Linger OG
Coppelstockstraat 52-1,1056 XM,250,Hallie & van Klooster Makelaardij
Danie Theronstraat 9 A,1091 XV,474,ouwehand van der meijden makelaars
Postjeskade 9 -iii,1058 DE,327.5,Krop & Co. Makelaars & Taxateurs o.g.
Kuipersstraat 50 Iii+ Iv,1074 EM,Prijs op aanvraag,Aemestelle Makelaars B.V.
Fokke Simonszstraat 82 I,1017 TK,Prijs op aanvraag,De Compagnie Makelaardij o.z. Naarden B.V.
Kanaalstraat 137 I,1054 XD,315,Hallie & van Klooster Makelaardij
Valeriusstraat 59 Hs,1071 MD, 1.250.000,Makelaardij o.g. Willemspark
Retiefstraat 49 2,1092 VX,480,van der Linden Lelystad
Spaarndammerstraat 22 G,1013 SW,225,Hallie & van Klooster Makelaardij
Ruysdaelstraat 49 -e 7,1071 XA,Prijs op aanvraag,Dstrct Amsterdam
Watteaustraat 5 1,1077 ZH,698,Voogd Makelaardij B.V.
Torenven 24,1027 AM,775,RE/MAX Multi Makelaars
Nachtwachtlaan 303,1058 EK,435,Fris Makelaardij Amsterdam B.V.
Da Costakade 10 C,1052 SJ,950,Keizerskroon Makelaars
Mensinge 11,1083 HA,485,Fris Makelaardij Amsterdam B.V.
Osdorper Ban 223,1068 LW,249,Makelaar Frank
Cornelis van Vollenhovenstraat 64,1063 KT,219.5,Jacobus Recourt B.V.
Sam van Houtenstraat 273 D,1067 JK,250,Meerstad Makelaardij
Zomerdijkstraat 23 Ii,1079 WZ,599,PC22
Marie Heinekenplein 503,1072 ML,Prijs op aanvraag,Aemestelle Makelaars B.V.
Oostzaanstraat 62,1013 WN,760,ERA Van de Steege  Amsterdam-Centrum
Spinaker 131,1034 MH,235,de Haas Makelaars
Kanaalstraat 36 Hs,1054 XJ,495,Keizerskroon Makelaars
Bouwnummer 64,1013 WN,869.5,ERA Van de Steege  Amsterdam-Centrum
Orteliusstraat 125 Iii,1057 AW,295,van der Linden Lelystad
Wingerdweg 301,1032 AK,259,Klok Real Estate B.V.
Marnixstraat 242 A,1016 TL,395,Bijleveld Makelaardij O.G.
Barentszstraat 144,1013 NS,340,27 Huis Makelaars BV
Zuider Ijdijk 80 A,1095 KN,475,Wil  Bakels
Generaal Vetterstraat 6 H+i,1059 BV,849.5,Edens Makelaardij
Willem de Zwijgerlaan 334 C 12,1055 RD,225,Makelaardij Hendriks B.V.
Sloterkade 4 -h,1058 HD,750,Makelaarskantoor Draijer
Nachtwachtlaan 452,1058 ER,Prijs op aanvraag,Aemestelle Makelaars B.V.
Osdorper Ban 702,1069 ZR,275,ERA Van de Steege  Amsterdam-Centrum
Jan Evertsenstraat 141 1 Hoog,1057 BW,275,Amsterdam at Home Makelaars
Jan Zijvertszstraat 5 H,1067 XJ,239,Makelaarskantoor Draijer
Zeeburgerdijk 418,1095 AK,275,Linger OG
Hugo de Grootkade 72 H + Pp,1052 LW,799,Voogd Makelaardij B.V.
Pieter Calandlaan 536,1060 TV,295,Makelaar Frank
Mijehof 32,1106 HM,287.5,Makelaarsland
Linnaeusparkweg 6 2,1098 EA,350,Isaak Makelaardij o.g. B.V.
Jan den Haenstraat 38 Iv,1055 WG,300,Hallie & van Klooster Makelaardij
Groenhoven 128,1103 LA,155,Collectief makelaars
Hoofdweg 390 C,1056 DE,300,Makelaardij Hendriks B.V.
Jan den Haenstraat 24 D,1055 WE,289,Scholten Vastgoed B.V.
Bankastraat 37 1,1094 EB,270,ouwehand van der meijden makelaars
Veembroederhof 251,1019 HD,460,Huisportaal.nl
Herengracht 12 C,1015 BK,799,Keizerskroon Makelaars
Leksmondhof 313 + Pp,1108 GC,194,Marina van Schaik Makelaardij O.G.
Admiraal de Ruijterweg 301 2,1055 LW,375,C. Hoen Dzn c.v.
"Bosplaat 14, 1025 AT Amsterdam",1025 AT,590,Van Overbeek Amsterdam
Jan den Haenstraat 24 E,1055 WE,550,Scholten Vastgoed B.V.
Ten Katestraat 47 Iii,1053 BX,Prijs op aanvraag,Wijkhuizen makelaars
Javastraat 93 R,1094 HC,335,Jacobus Recourt B.V.
Ruyschstraat 77 Iv,1091 BX,375,Amsterdam at Home Makelaars
Biesboschstraat 26 3,1078 MT,775,Cocq Makelaars Amsterdam
Orteliusstraat 182-hs,1057 BK,325,Amsterdam at Home Makelaars
Cornelis van Rijplantsoen 70,1063 MD,350,Hallie & van Klooster Makelaardij
Frederik Hendrikstraat 127 Ii,1052 HP,275,Makelaarsland
Maanhof 6,1013 XV,475,Ramon Mossel Makelaardij o.g. B.V.
Omval 59,1096 AA,499,PC22
Granidastraat 72 Hs,1055 HP,325,Collectief makelaars
"Adrianus van Waertweg 41, 1035 SE Amsterdam",1035 SE,375,Van Overbeek Amsterdam
Koninginneweg 134 Iv,1075 EC,595,C. Hoen Dzn c.v.
Bolestein 626,1081 EL,399,C. Hoen Dzn c.v.
"Singel 276, 1016 AC Amsterdam",1016 AC, 2.850.000,De Nieuwe Amsterdamsche Makelaardij o.g. B.V.
Raphaelplein 39,1077 PX, 1.750.000,Peters & van der Vloodt b.v.
"Gerrit van der Veenstraat 93, 1077 DT Amsterdam",1077 DT, 1.800.000,Ameo Makelaarsgroep
"Stuurmankade 284, 1019 WD Amsterdam",1019 WD,825,RET Makelaars
Rombout Hogerbeetsstraat 20 Ii,1052 XC,275,Hallie & van Klooster Makelaardij
Nova Zemblastraat 433,1013 RJ,265,Hallie & van Klooster Makelaardij
Rondeel 90,1083 MG,425,HHW Makelaars
Tretjakovlaan 6,1064 PR,425,van der Linden Lelystad
Frederik Hendrikplantsoen 17 I,1052 XP,Prijs op aanvraag,Beekman Makelaardij o/g B.V.
"Prinsengracht 1083 T-o, 1017 JH Amsterdam",1017 JH,650,Benuwmakelaar
Ladogameerhof 255,1060 RG,285,Nieuw West Makelaardij Onroerende Zaken B.V.
"Jan Vrijmanstraat 6, 1087 MC Amsterdam",1087 MC,565,RET Makelaars
Van Hogendorpstraat 141 -ii,1051 BM,250,Hallie & van Klooster Makelaardij
Veluwseweg 0 Ong,na,219.5,Wijkhuizen makelaars
Eisdenstraat 62,1066 LL,Prijs op aanvraag,Urbanmakelaars Nederland
"Landsmeerderdijk 34, 1035 PW Amsterdam",1035 PW,495,Dirk Voet Makelaars
H Gerhardstraat 134,1069 TD,200,Makelaardij Hendriks B.V.
"Randwijkhof 11, 1106 JX Amsterdam",1106 JX,350,Hoekstra en van Eck Amsterdam
Kinkerstraat 246 -b,1053 GA,475,ERA Van de Steege  Amsterdam-Centrum
Ekingenstraat 254,1069 GZ,249,Goedhart Makelaars en Taxateurs V.O.F.
"Prinses Marijkestraat 50, 1077 XD Amsterdam",1077 XD,915,Keij & Stefels b.v.
Van Nijenrodeweg 115,1083 EH,Prijs op aanvraag,Netwerk Makelaardij Amsterdam
"Waddenweg 16, 1025 PV Amsterdam",1025 PV,350,123Makelaar
Mendes Da Costahof 4,1067 ZN,174.5,Hallie & van Klooster Makelaardij
Van Noordtkade 152,1013 CA,275,Ramon Mossel Makelaardij o.g. B.V.
Stolwijkstraat 33 1,1059 XT,325,Cocq Makelaars Amsterdam
John Blankensteinstraat 169 -a,1095 MB,549,Voogd Makelaardij B.V.
Talmastraat 22 I,1073 JX,Prijs op aanvraag,De Compagnie Makelaardij o.z. Naarden B.V.
Entrepothof 34,1019 DJ,350,Amsterdam at Home Makelaars
Van der Boechorststraat 56,1081 BV,850,Henk Burger Makelaardij og B.V.
Groen van Prinstererstraat 2 Hs,1051 EE,360,Huizenlinq Makelaars onroerende zaken
Korte Leidsedwarsstraat 45 Iii,1017 PW,375,Krop & Co. Makelaars & Taxateurs o.g.
Roerstraat 119 2,1078 LM,500,Ramon Mossel Makelaardij o.g. B.V.
"Meeuwenlaan 19, 1021 HR Amsterdam",1021 HR,900,Van Overbeek Amsterdam
Nachtwachtlaan 81,1058 EC,375,Fris Makelaardij Amsterdam B.V.
Postjeskade 151 3,1058 DP,Prijs op aanvraag,Aemestelle Makelaars B.V.
"Oostzanerdijk 92, 1035 RG Amsterdam",1035 RG,400,123Makelaar
Amsteldijk 728,1074 JH,695,Gorter Onroerend Goed B.V.
Fresiastraat 18,1032 BG,285,van der Linden Lelystad
Herengracht 101 Hs,1015 BE,650,Makelaardij De Nederlanden B.V.
Marnixstraat 214 D,1016 TL,315,Hallie & van Klooster Makelaardij
Spadinalaan 5,1031 KB,825,Hallie & van Klooster Makelaardij
Keizersgracht 812,1017 ED,559,Capaan & Falkeisen VOF
Beethovenstraat 143 3,1077 JC,475,Ramon Mossel Makelaardij o.g. B.V.
"Ijburglaan 856, 1087 GE Amsterdam",1087 GE,825,RET Makelaars
Ringvaartdijk 52,1066 DE,589,Hans Kok
Reggestraat 13-3,1078 CX,375,Makelaardij Hendriks B.V.
Minervalaan 89 2,1077 NT,995,Ramon Mossel Makelaardij o.g. B.V.
"Winterstraat 14, 1109 BE Amsterdam",1109 BE,250,Hoekstra en van Eck Amsterdam Noord
Veembroederhof 143,1019 HD,400,Voogd Makelaardij B.V.
Biesboschstraat 16 I,1078 MS,475,Ramon Mossel Makelaardij o.g. B.V.
"Zuideinde 495, 1035 PJ Amsterdam",1035 PJ,490,VLIEG Makelaars OG
Bloemgracht 63 V,1016 KG, 2.121.500,27 Huis Makelaars BV
Loodskotterhof 157,1034 CM,335,de Haas Makelaars
"Keizersgracht 355, 1016 EJ Amsterdam",1016 EJ, 1.980.000,Broersma Makelaardij B.V.
"Distelvoorstraat 12, 1031 XC Amsterdam",1031 XC,225,RET Makelaars
"Binnen Wieringerstraat 24, 1013 EB Amsterdam",1013 EB,995,Crone Schepers Vellekoop V.O.F.
"Breughelstraat 8 2, 1077 LC Amsterdam",1077 LC, 1.350.000,Smit & Heinen Makelaars en Taxateurs o/z
"Piet Gijzenbrugstraat 9 Hs, 1059 XD Amsterdam",1059 XD,350,Bens makelaars
"Roerstraat 16 Ii, 1078 LN Amsterdam",1078 LN,475,Ameo Makelaarsgroep
"Nieuwe Keizersgracht 53 H, 1018 VC Amsterdam",1018 VC,775,Onbekend
"Wagenaarstraat 318, 1093 CX Amsterdam",1093 CX,520,De Key
