treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Muiderpoort', '1,1 kilometer']","['Mobil Station Zeist', '1,0 kilometer']","['Cappadocia', '823 meter']","['Watergraafsmeer 5e Montessorischool', '155 meter']","['Bee Bee Kinderdagverblijf', '227 meter']","['Onderwijsstichting Esprit', '214 meter']","[""Elsa's Eetcafé"", '483 meter']","['Movie Max Goldmovie Videotheek', '1,2 kilometer']","['Swart Huisartsenpraktijk', '54 meter']","['Pawiroredjo Tandartspraktijk D W', '207 meter']","['Ultimate Fitness Amsterdam', '524 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '1,8 kilometer']"
"['Amsterdam Centraal', '955 meter']","['Texaco Bem BV Selfservice', '1,2 kilometer']","['Haussmann BV The', '98 meter']","['Basisschool Sint Antonius', '588 meter']","['Gastouder Alexandra', '383 meter']","['Art of Colors Opleidingen', '531 meter']","['Buurvrouw Café De', '121 meter']","['Weng Joeng Hong', '624 meter']","['Huisartsenpraktijk Heijnen & De Meij', '249 meter']","['Qua Tandartspraktijk Rokin', '270 meter']","['Aerobic en Fitness Studio 21', '400 meter']","['Zeemanshoop Koninklijk College', '374 meter']"
,,,,,,,,,,,
"['Amsterdam RAI', '1,4 kilometer']","['Europaboulevard Shell Station', '444 meter']","[""David's Corner"", '512 meter']","['Buitenveldertse Montessorischool (BMS)', '465 meter']","[""Granny's Daycare"", '830 meter']","['Joods Bijzonder Onderwijs Stichting JBO', '206 meter']","['Saigon Café Gelderlandplein', '979 meter']","['Filmclub Buitenveldert', '1,4 kilometer']","['Blom Huisarts', '481 meter']","['Maragkos Dent', '349 meter']","['VU Sportcentrum', '1,1 kilometer']","['Praktizijns Sociëteit Bibliotheek', '2,2 kilometer']"
"['Amsterdam RAI', '671 meter']","['NRGValue Retail Nederland BV', '475 meter']","[""David's Corner"", '772 meter']","['12e Montessorischool De Stern', '495 meter']","[""Granny's Daycare"", '69 meter']","['Joods Bijzonder Onderwijs Stichting JBO', '644 meter']","['Surprise Bar BV', '483 meter']","['Filmclub Buitenveldert', '1,1 kilometer']","['Acupunctuurarts Praktijk Tjiong', '221 meter']","['Tandartsen Stibbe Dommering en De Lint', '54 meter']","['Fitness Zuidas', '892 meter']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer']"
"['Amsterdam Sloterdijk', '2,9 kilometer']","['Total Selfservicestation Vlughtlaan', '2,1 kilometer']","['Sefa Market', '435 meter']","['Goeman Borgesiusschool', '652 meter']","['Wou Kinderopvang Van', '394 meter']","['Wissel De', '2,5 kilometer']","[""Sanny's Place Café"", '799 meter']","['Filmclub Videotheek Zwanenburg', '3,2 kilometer']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '512 meter']","['Tandartsenpraktijk Fallah', '873 meter']","[""Doel Lady's Only Fitnesscentrum Het"", '814 meter']","['Bibliotheca Philosophica Hermetica', '5,9 kilometer']"
"['Amsterdam Sloterdijk', '611 meter']","['Tankstation Haris BV', '213 meter']","[""Ah op 't Station"", '597 meter']","['Slootermeer Openbare Basisschool', '327 meter']","['Gastouderbureau Mijn Gastouderopvang', '58 meter']","['Wissel De', '894 meter']","['Tanger Café', '497 meter']","['Tetauni Videotheek', '1,7 kilometer']","['Heerde Huisartsenpraktijk Van', '557 meter']","['Orthocenter Amsterdam West', '60 meter']","['Gym de Benjamin', '268 meter']","['Bibliotheca Philosophica Hermetica', '3,3 kilometer']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '2,1 kilometer']","['Total Selfservicestation Kadoelen', '2,4 kilometer']","['Without Worries', '300 meter']","['Stichting Openbaar Onderwijs Noord', '531 meter']","['Klessebessie', '103 meter']","['Clusius College', '847 meter']","['Eetcafé The Mansion', '271 meter']","['Weng Joeng Hong', '2,4 kilometer']","['Zijlstra V L J', '510 meter']","['Noorderboog Tandartspraktijk De', '295 meter']","['Optimal Fit Pp and H.', '2,2 kilometer']","['Openbare Bibliotheek Amsterdam', '2,2 kilometer']"
"['Amsterdam Centraal', '929 meter']","['Texaco Bem BV Selfservice', '926 meter']","['Europa Supermarkt', '174 meter']","['Burght Openbare Basisschool', '422 meter']","['Kinderopvangonline', '249 meter']","['Amsterdamsche School De', '425 meter']","['Zuylen Café Van', '169 meter']","['Weng Joeng Hong', '908 meter']","['Robbers A R & Zwiers R A J Huisartsen', '296 meter']","['Tandartspraktijk Keizersgracht', '156 meter']","['Balance4Life', '132 meter']","['Bibliotheca Philosophica Hermetica', '367 meter']"
"['Amsterdam Centraal', '964 meter']","['Texaco Bem BV Selfservice', '889 meter']","['Europa Supermarkt', '136 meter']","['Burght Openbare Basisschool', '459 meter']","['Kinderopvangonline', '286 meter']","['Nieuwe School Stichting De', '422 meter']","['Zuylen Café Van', '187 meter']","['Weng Joeng Hong', '933 meter']","['Robbers A R & Zwiers R A J Huisartsen', '333 meter']","['Tandartspraktijk Keizersgracht', '133 meter']","['Balance4Life', '161 meter']","['Bibliotheca Philosophica Hermetica', '337 meter']"
"['Amsterdam Lelylaan', '2,2 kilometer']","['Texaco Benzinestation Osdorp', '589 meter']","['Nieuw Osdorp Market', '527 meter']","['Osdorpse Montessorischool', '70 meter']","['PVO Osdorpse Montessori De', '70 meter']","['Calandlyceum', '321 meter']","['Silvestre Benelux BV Café', '238 meter']","['Filmclub Videotheek Osdorp', '1,2 kilometer']","['Gezondheidscentrum Osdorp SAG', '311 meter']","['Noorlander R', '290 meter']","['Calandfit', '358 meter']","['Praktizijns Sociëteit Bibliotheek', '4,8 kilometer']"
"['Amsterdam Muiderpoort', '9,1 kilometer']","['Shell Station Kriterion', '6,7 kilometer']","['De Holland Winkel', '3,1 kilometer']","['Overhaal Openbare Basisschool De', '1,5 kilometer']","[""'t kidzzmolentje"", '2,2 kilometer']","['Bredero Mavo', '6,7 kilometer']","['Zwaan Hotel-Café CV De', '3,5 kilometer']","['Videoland-CD Land', '3,5 kilometer']","['Huisartsen Monnickendam', '4,1 kilometer']","['Waterlandse Tandartsen', '2,1 kilometer']","['Ooster Ee Fysiofitness', '3,5 kilometer']","['Bibliotheek Waterland', '3,6 kilometer']"
