treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
,,,,,,,,,,,
"['Amsterdam Muiderpoort', '909 meter']","['Shell Station Kriterion', '1,9 kilometer']","['Ennassr Superette', '348 meter']","['Flevoparkschool Openbare Basisschool', '58 meter']","['Winnie The Pooh', '111 meter']","['LUCA Praktijkschool', '164 meter']","['Badhuis Café Restaurant Het', '270 meter']","['Movie MAX Moviestores', '561 meter']","['Gezondheidscentrum Oosthoek SAG', '236 meter']","['Tandartspraktijk Oost', '30 meter']","['Cherine Solutions', '136 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '589 meter']"
"['Amsterdam Centraal', '3,3 kilometer']","['Total Selfservicestation Kadoelen', '2,6 kilometer']","['C 1000 Voordeelmarkt', '140 meter']","['Buikslotermeerschool', '170 meter']","['Vrije BSO BV', '170 meter']","['Bredero Mavo', '536 meter']","['Rosa Café La', '212 meter']","['Weng Joeng Hong', '3,5 kilometer']","['Poelgeest', '327 meter']","['Orthocenter Amsterdam-Noord', '343 meter']","['Temple Fitness World The', '1,5 kilometer']","['IHLIA LGBT heritage', '3,1 kilometer']"
"['Amsterdam Centraal', '4,0 kilometer']","['Driesprong Brandstoffen Exploitatie BV', '1,2 kilometer']","['Van der Velde & Eveleens VOF', '618 meter']","['Satelliet Basisschool De', '115 meter']","['GO Speels', '283 meter']","['Praktijkcollege Noord', '1,2 kilometer']","['Kadoelen Café Koffiehuis', '1,1 kilometer']","['Eurocorner', '151 meter']","['Huisartsenpraktijk Meteorensingel Berghoef', '327 meter']","['Govers M biologisch tandarts', '327 meter']","['Play-Fit', '1,4 kilometer']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,4 kilometer']"
"['Amsterdam Centraal', '1,6 kilometer']","['Esso Station FCA', '591 meter']","['Prijatelji CV', '318 meter']","['Basisschool St Aloysius', '293 meter']","['Pomydo Kinderdagverblijf', '316 meter']","['Cartesius Lyceum', '136 meter']","[""Mannetje Café 't"", '224 meter']","['Platebank BV', '597 meter']","['Zipper Huisartsenpraktijk', '86 meter']","['Lengkeek F', '153 meter']","['Fitness Centrum Leidsegracht BV', '195 meter']","['Bibliotheca Philosophica Hermetica', '491 meter']"
"['Amsterdam Centraal', '2,0 kilometer']","['Texaco Bem BV Selfservice', '1,4 kilometer']","['Organic Food for You VOF', '159 meter']","['Kleine Reus Openbare Basisschool De', '97 meter']","['Baboffel Baby Kinderdagverblijf', '243 meter']","['Luzac College Amsterdam', '128 meter']","['Nero Café Espressobar', '76 meter']","[""Ram's Filmclub"", '1,0 kilometer']","['Huisartspraktijk De Wetering', '126 meter']","['Omnivor Tandzorg', '142 meter']","['Fit For Free Amsterdam Lijnbaansgracht', '253 meter']","['Zeemanshoop Koninklijk College', '669 meter']"
"['Diemen', '2,4 kilometer']","['Shell Station Kriterion', '1,2 kilometer']","['Multi Tokorien IJburg', '2,0 kilometer']","['Abbs-de Zuiderzee', '202 meter']","['KinderVilla ijburg steigereiland bv', '107 meter']","['LUCA Praktijkschool', '2,8 kilometer']","['Café Blond B.V.', '464 meter']","['Movie Max Goldmovie Videotheek', '3,4 kilometer']","['Gezondheidscentrum Steigereiland SAG', '342 meter']","['Mondzorgcentrum IJburg', '266 meter']","['Fitamsterdam', '680 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '3,1 kilometer']"
"['Amsterdam Centraal', '1,2 kilometer']","['Texaco Bem BV Selfservice', '741 meter']","['Pinguin Avond- & Dagsupermarkt De', '250 meter']","['Jordaan 14e Montessorischool', '459 meter']","['Consilium BV', '31 meter']","['Nieuwe School Stichting De', '121 meter']","['Juicebrothers Raamsteeg', '79 meter']","['Weng Joeng Hong', '1,0 kilometer']","['Huisarts aan de Herengracht', '81 meter']","['Tandartsen aan de Herengracht', '81 meter']","['Aerobic en Fitness Studio 21', '348 meter']","['Boekmanstichting Bibliotheek', '283 meter']"
"['Amsterdam Lelylaan', '1,5 kilometer']","['Tankstation Baarsjes West', '866 meter']","['CCCP Amsterdam', '191 meter']","['Visserschool Dr J Th de', '246 meter']","['The Nanny Amsterdam', '74 meter']","['ABC Het', '332 meter']","['Remana Theehuis', '194 meter']","['Asian Music Palace', '509 meter']","['Kolenberg Huisartsenpraktijk', '124 meter']","['VOOGT tandheelkunde', '330 meter']","['Family Gym The', '411 meter']","['Bibliotheca Philosophica Hermetica', '2,2 kilometer']"
"['Amsterdam Sloterdijk', '1,3 kilometer']","['Tankstation Baarsjes West', '781 meter']","['JRV tropical food', '223 meter']","['Tijl Uilenspiegel Openbare Basisschool', '91 meter']","['PVO Al Wafa', '144 meter']","['ROC Op Maat West', '653 meter']","['Grand Café Fossa', '379 meter']","['Tetauni Videotheek', '994 meter']","['Jong Huisartsenpraktijk J Y de', '307 meter']","['Essenburg Mondzorg Van den', '197 meter']","['Keijser Fitness De', '391 meter']","['Bibliotheca Philosophica Hermetica', '2,4 kilometer']"
"['Amsterdam Zuid', '996 meter']","['Total Selfservicestation Stadionplein', '426 meter']","['Super Marathon', '299 meter']","['Olympia Openbare Basisschool', '203 meter']","['Odelinde', '195 meter']","['Europaschool Basisschool', '266 meter']","['Dijk Café Bar Petit-Restaurant Charles', '253 meter']","['Lucky Star Videotheek', '1,0 kilometer']","['Berckel Smit J A C M van', '263 meter']","['Tandartspraktijk Stevens', '170 meter']","['Medico Vision Sports Training BV', '644 meter']","['Praktizijns Sociëteit Bibliotheek', '606 meter']"
"['Diemen', '2,2 kilometer']","['Shell Station Kriterion', '2,0 kilometer']","['Multi Tokorien IJburg', '1,1 kilometer']","['Daltonschool Neptunes', '282 meter']","['Gastouderbureau Wonder', '136 meter']","['LUCA Praktijkschool', '3,4 kilometer']","['Café Blond B.V.', '1,2 kilometer']","['Movie MAX Moviestores', '4,0 kilometer']","['Gezondheidscentrum Haveneiland SAG', '127 meter']","['Ilona Hantos', '46 meter']","['Fitamsterdam', '238 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '3,9 kilometer']"
"['Amsterdam Sloterdijk', '1,8 kilometer']","['Tankstation Baarsjes West', '697 meter']","['Toubkal', '178 meter']","['Boekdrukker Basisschool Rosa', '419 meter']","['Liefdezorg Opvang', '173 meter']","['Marcanti College', '751 meter']","['Fluiter Café De', '263 meter']","['Super Videotheek De Sloterplas', '680 meter']","['Kruyt A J', '244 meter']","['Tandartspraktijk Amsterdam-West', '185 meter']","['MCHV', '79 meter']","['Bibliotheca Philosophica Hermetica', '1,9 kilometer']"
"['Amsterdam Centraal', '1,1 kilometer']","['Esso Station FCA', '1,3 kilometer']","['Haducto BV', '427 meter']","['Thijssen Dependance Openbare Basisschool Theo', '58 meter']","['Jor en Daan Kinderdagverblijf IJsterk', '88 meter']","['Eilanden De', '707 meter']","['Daalder Eetcafé', '94 meter']","['Videoplaza/Video International', '685 meter']","['Lith R F', '40 meter']","['Qyom Tandartsengroep Amsterdam', '14 meter']","['Balance4Life', '750 meter']","['Bibliotheca Philosophica Hermetica', '790 meter']"
"['Amsterdam Amstel', '1,3 kilometer']","['Mobil Station Zeist', '1,4 kilometer']","['Poolse Supermarkt en Zo - Poolse Etenswaren', '909 meter']","['Aldoende Openbare Basisschool', '241 meter']","['Nanny The', '39 meter']","['Metis Montessori Lyceum (AVO)', '169 meter']","['Bromtjie Café', '142 meter']","['Movie MAX Moviestores', '138 meter']","['Huisartsenpraktijk Camper', '185 meter']","['TandartsThomas90', '192 meter']","['Only 4 Ladies', '169 meter']","['Theosofische Bibliotheek', '751 meter']"
"['Amsterdam Lelylaan', '1,0 kilometer']","['BP Commandeur', '712 meter']","['DEEN Supermarkten', '438 meter']","['Nautilus De', '270 meter']","['Groeituin De Kinderdagverblijf', '198 meter']","['Tobiasschool', '332 meter']","['Magpie The', '376 meter']","['Lucky Star Videotheek', '677 meter']","['Huisartsenpraktijk Westlandgracht', '22 meter']","['Ottens Tandartsenpraktijk', '43 meter']","['HealthCity', '434 meter']","['Praktizijns Sociëteit Bibliotheek', '2,0 kilometer']"
"['Amsterdam Lelylaan', '325 meter']","['Shell Station Postjesweg', '959 meter']","['Avondwinkel Uno', '386 meter']","['Huizingaschool', '573 meter']","['CompaNanny Kinderopvang en Buitenschoolse Opvang World Fashion Centre', '370 meter']","['Tobiasschool', '1,0 kilometer']","['Rooseboom Café De', '285 meter']","['Sloterplas Cinema Super Videotheek De', '586 meter']","['Delflandplein Huisartsenpraktijk', '693 meter']","['Tandarts S.H.J.T.J. Lie', '294 meter']","['HealthCity', '370 meter']","['Praktizijns Sociëteit Bibliotheek', '2,7 kilometer']"
"['Amsterdam Centraal', '1,2 kilometer']","['Esso Station FCA', '1,1 kilometer']","['Bario Markt', '332 meter']","['Thijssen Dependance Openbare Basisschool Theo', '231 meter']","['Jor en Daan Kinderdagverblijf IJsterk', '176 meter']","['Cartesius Lyceum', '531 meter']","['Kat in de Wijngaert Café-Bar De', '137 meter']","['Videoplaza/Video International', '575 meter']","['Lith R F', '186 meter']","['Gerlings Eveline', '116 meter']","['Fitness Centrum Leidsegracht BV', '609 meter']","['Bibliotheca Philosophica Hermetica', '670 meter']"
"['Amsterdam Holendrecht', '2,1 kilometer']","['BP Autorette Gaasperdam', '683 meter']","['Carbon Royalty', '349 meter']","['Knotwilg / Stichting Bijzonderwijs', '178 meter']","['Knotwilg BSO De', '229 meter']","['Reigersbos Scholengemeenschap', '518 meter']","['Joint Us', '1,4 kilometer']","['Milan Videotheek', '3,0 kilometer']","['Mahesh S', '2,2 kilometer']","['Kraan Tandarts M I A van der', '540 meter']","[""M's Fitness"", '1,8 kilometer']","['Theosofische Bibliotheek', '8,3 kilometer']"
"['Amsterdam Centraal', '1,4 kilometer']","['Texaco Bem BV Selfservice', '508 meter']","['Roos Market', '209 meter']","['Jordaan 14e Montessorischool', '336 meter']","[""Klaproosje Kinderdagverblijf 't"", '80 meter']","['Samenwerkingsverband 28 2', '314 meter']","['Gouden Florijn De', '27 meter']","['Platebank BV', '1,1 kilometer']","['Roos Medical Services', '164 meter']","['Rozengracht Tandartsenpraktijk', '78 meter']","['Health Club Jordaan', '99 meter']","['Bibliotheca Philosophica Hermetica', '105 meter']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Centraal', '2,0 kilometer']","['Esso Station FCA', '647 meter']","['Bijkerk De Zuivelshop J', '440 meter']","['Bron Rooms Katholieke Basisschool De', '243 meter']","['NSO Dyesro', '247 meter']","['Maria Nguyen', '378 meter']","['Café Sting The', '44 meter']","['Platebank BV', '177 meter']","['Gezondheidscentrum Staatsliedenbuurt SAG', '137 meter']","['Lengkeek F', '469 meter']","['Fitness Centrum Leidsegracht BV', '797 meter']","['Bibliotheca Philosophica Hermetica', '1,1 kilometer']"
"['Amsterdam Lelylaan', '2,6 kilometer']","['Texaco Benzinestation Osdorp', '975 meter']","['Supermarkt Karadeniz', '411 meter']","['Johannesschool Protestants Christelijke', '227 meter']","['Rinie-Minie', '138 meter']","['Calandlyceum', '701 meter']","['Silvestre Benelux BV Café', '173 meter']","['Filmclub Videotheek Osdorp', '869 meter']","['Huisartsen Thiel J H & Maanen-Thiel B C van', '182 meter']","['Dentalici', '188 meter']","['Ladies Gym Osdorp', '622 meter']","['Praktizijns Sociëteit Bibliotheek', '5,2 kilometer']"
"['Amsterdam Zuid', '1,3 kilometer']","['Europaboulevard Shell Station', '939 meter']","[""David's Corner"", '237 meter']","['Ark Oecumenische Basisschool De', '127 meter']","['Au Pair Agency Mondial', '365 meter']","['Stichting Ceder Groep', '700 meter']","['Saigon Café Gelderlandplein', '407 meter']","['Filmclub Buitenveldert', '635 meter']","['Rapha Huisartsgeneeskunde', '161 meter']","['Buehre A', '370 meter']","['Fitness Zuidas', '596 meter']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer']"
"['Amsterdam Lelylaan', '3,5 kilometer']","['Demarol Badhoevedrop', '542 meter']","['Supermarkt Karadeniz', '839 meter']","['Odyssee Basisschool De', '511 meter']","['Peuterspeelzaal Boris Beer', '511 meter']","['Calandlyceum', '1,6 kilometer']","[""Louman's Hoekje Café"", '517 meter']","['Filmclub Videotheek Osdorp', '471 meter']","['Bartelsman Margaretha', '67 meter']","['Muradin Eric M F Tandarts', '322 meter']","['Back in Shape', '865 meter']","['Praktizijns Sociëteit Bibliotheek', '5,6 kilometer']"
"['Amsterdam Sloterdijk', '1,9 kilometer']","['Esso Station FCA', '564 meter']","['Aydin Supermarkt', '234 meter']","['Narcis - Querido Openbare Basisschool', '82 meter']","['PVO Narcis Querido 1', '82 meter']","['Marcanti College', '504 meter']","['Fluiter Café De', '293 meter']","['Super Videotheek De Sloterplas', '806 meter']","['Huisarts Leijssen H J H', '307 meter']","['Big Smile Dentistry The', '346 meter']","['Vries Fitnesscentrum Fysio Sport T A de', '59 meter']","['Bibliotheca Philosophica Hermetica', '1,5 kilometer']"
"['Amsterdam Centraal', '608 meter']","['Texaco Bem BV Selfservice', '1,2 kilometer']","['De Buurman Food', '21 meter']","['Burght Openbare Basisschool', '269 meter']","['Montris 30 BV', '89 meter']","['Amsterdamsche School De', '103 meter']","['Doors Palace The', '49 meter']","['Weng Joeng Hong', '621 meter']","['Robbers A R & Zwiers R A J Huisartsen', '88 meter']","['PR Dental', '24 meter']","['Fitness First Amsterdam', '181 meter']","['Bibliotheca Philosophica Hermetica', '688 meter']"
"['Amsterdam Centraal', '1,8 kilometer']","['Total De Pijp', '1,5 kilometer']","['Lite & Dark BV', '380 meter']","['ASVO School', '121 meter']","['Baboffel Kinderdagverblijf', '318 meter']","['Luzac College Amsterdam', '671 meter']","['Onder de Ooievaar Café', '132 meter']","[""Ram's Filmclub"", '763 meter']","['Huygen M F', '281 meter']","['Meulen Eline van der', '105 meter']","['SODA Bodyfit', '333 meter']","['Zeemanshoop Koninklijk College', '798 meter']"
"['Amsterdam Centraal', '1,9 kilometer']","['Texaco Bem BV Selfservice', '1,1 kilometer']","['Sen Supermarkt', '136 meter']","['Kleine Reus Openbare Basisschool De', '385 meter']","['Baboffel Baby Kinderdagverblijf', '339 meter']","['Barlaeusgymnasium', '212 meter']","['Heuvel Café', '57 meter']","['Filmclub Cinemagic', '1,3 kilometer']","['WHAM', '179 meter']","['Amsterdamse Tandartspraktijk Leidseplein', '143 meter']","['Fitnesscentrum Healthclub Amsterdam BV', '419 meter']","['Boekmanstichting Bibliotheek', '529 meter']"
"['Amsterdam Lelylaan', '1,2 kilometer']","['BP Commandeur', '518 meter']","['Markt Günes A', '349 meter']","['Notenkraker Openbare Basisschool De', '358 meter']","['Kinderdagverblijf Jurrina', '81 meter']","['Tobiasschool', '372 meter']","['Magpie The', '338 meter']","['Lucky Star Videotheek', '440 meter']","['Huisartsenpraktijk Westlandgracht', '242 meter']","['Schreuder W H', '101 meter']","['IFit Health Station', '398 meter']","['Praktizijns Sociëteit Bibliotheek', '1,8 kilometer']"
"['Amsterdam Lelylaan', '2,2 kilometer']","['Texaco Bem BV Selfservice', '1,3 kilometer']","['Concy.nl', '562 meter']","['Bredeschool Kinkerbuurt De', '446 meter']","['Tamara Kinderopvang', '127 meter']","['ABC Het', '612 meter']","['Café De Bron', '176 meter']","['Asian Music Palace', '546 meter']","['Gezondheidscentrum Helmersstraat SAG', '327 meter']","['Mechteld van den Bosch', '127 meter']","['Family Gym The', '573 meter']","['Boekmanstichting Bibliotheek', '1,6 kilometer']"
"['Amsterdam Sloterdijk', '2,4 kilometer']","['Esso Station FCA', '480 meter']","['Toubkal', '443 meter']","['Roos Openbare Basisschool De', '168 meter']","['Olevantjes Kinderopvang De', '152 meter']","['Marcanti College', '351 meter']","['Café Treffers', '294 meter']","['Super Videotheek De Sloterplas', '271 meter']","['Huisarts Mellema', '119 meter']","['Tandartspraktijk J Drent', '18 meter']","['Mij. Kamala', '322 meter']","['Bibliotheca Philosophica Hermetica', '1,4 kilometer']"
"['Amsterdam Muiderpoort', '1,1 kilometer']","['Mobil Station Zeist', '1,7 kilometer']","['Spar Van Kempen', '735 meter']","['Aldoende Openbare Basisschool', '199 meter']","['Kinderdagpaleis Boerhaave', '242 meter']","['Metis Montessori Lyceum', '219 meter']","['Crea Café BV', '269 meter']","['Twin Film', '144 meter']","['Sieben Holtrop Huisartsen', '206 meter']","['Tandarts Taeb', '91 meter']","['Care4Fit intermediair in bedrijfsfitness', '187 meter']","['Theosofische Bibliotheek', '1,1 kilometer']"
"['Amsterdam Centraal', '1,9 kilometer']","['Esso Station FCA', '589 meter']","['Bario Markt', '462 meter']","['Bron Rooms Katholieke Basisschool De', '264 meter']","['Pomydo Kinderdagverblijf', '142 meter']","['Cartesius Lyceum', '314 meter']","['Café Sting The', '195 meter']","['Platebank BV', '202 meter']","['Gezondheidscentrum Staatsliedenbuurt SAG', '89 meter']","['Lengkeek F', '322 meter']","['Fitness Centrum Leidsegracht BV', '645 meter']","['Bibliotheca Philosophica Hermetica', '925 meter']"
"['Amsterdam Centraal', '1,9 kilometer']","['Esso Station FCA', '589 meter']","['Bario Markt', '462 meter']","['Bron Rooms Katholieke Basisschool De', '264 meter']","['Pomydo Kinderdagverblijf', '142 meter']","['Cartesius Lyceum', '314 meter']","['Café Sting The', '195 meter']","['Platebank BV', '202 meter']","['Gezondheidscentrum Staatsliedenbuurt SAG', '89 meter']","['Lengkeek F', '322 meter']","['Fitness Centrum Leidsegracht BV', '645 meter']","['Bibliotheca Philosophica Hermetica', '925 meter']"
"['Amsterdam Sloterdijk', '919 meter']","['Tankstation Haris BV', '1,0 kilometer']","['Supermarkt Wiltzanghlaan', '222 meter']","['Multatuli Openbare Basisschool', '64 meter']","['PVO Boomgaard De', '108 meter']","['ROC Op Maat West', '1,2 kilometer']","['Admiraaltje', '184 meter']","['Tetauni Videotheek', '1,5 kilometer']","['Sana', '271 meter']","['Katima Legemate', '269 meter']","['Keijser Fitness De', '210 meter']","['Bibliotheca Philosophica Hermetica', '2,5 kilometer']"
"['Amsterdam Centraal', '1,7 kilometer']","['Texaco Bem BV Selfservice', '1,1 kilometer']","['Organic Food for You VOF', '268 meter']","['Kleine Reus Openbare Basisschool De', '422 meter']","['Baboffel Baby Kinderdagverblijf', '238 meter']","['Luzac College Amsterdam', '245 meter']","['Heuvel Café', '197 meter']","[""Ram's Filmclub"", '1,4 kilometer']","['WHAM', '304 meter']","['Omnivor Tandzorg', '252 meter']","['Aerobic en Fitness Studio 21', '416 meter']","['Boekmanstichting Bibliotheek', '395 meter']"
"['Amsterdam Amstel', '932 meter']","['Mobil Station Zeist', '822 meter']","['Cappadocia', '436 meter']","['Kaap Openbare Basisschool De', '205 meter']","['Palet Het', '296 meter']","['Metis Montessori Lyceum (AVO)', '636 meter']","['Oost Café', '180 meter']","['Movie MAX Moviestores', '554 meter']","['JH Waarneming', '82 meter']","['By R R de', '181 meter']","['Only 4 Ladies', '505 meter']","['Theosofische Bibliotheek', '1,1 kilometer']"
,,,,,,,,,,,
"['Amsterdam Muiderpoort', '295 meter']","['Mobil Station Zeist', '1,8 kilometer']","['Toko Dolf', '287 meter']","['JP Coen Openbare Basisschool', '224 meter']","['Mikado BSO', '80 meter']","['Montessori College Oost', '670 meter']","['Rooy Café Gijs de', '129 meter']","['Movie MAX Moviestores', '386 meter']","['Dok 17e', '212 meter']","['Bosker Tandheelkunde', '263 meter']","['Awareness Winkel De', '594 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '862 meter']"
"['Amsterdam Centraal', '4,0 kilometer']","['Total Selfservicestation Kadoelen', '1,5 kilometer']","['Zargar-Shakouri S', '876 meter']","['De Vier Windstreken Openbare Basisschool', '596 meter']","[""Piratenschip BSO 't"", '596 meter']","['Bredero Mavo', '884 meter']","['JAN Stichting Studentencafé', '977 meter']","['Eurocorner', '2,8 kilometer']","['Gezondheidscentrum Banne Buiksloot SAG', '543 meter']","['Tandheelkunde Smit', '480 meter']","['Cardio Candy', '918 meter']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,5 kilometer']"
"['Amsterdam Lelylaan', '3,9 kilometer']","['Demarol Badhoevedrop', '1,3 kilometer']","['Oz Derya BV', '451 meter']","['Punt Openbare Basisschool De', '577 meter']","['Voorschool De Brenner', '237 meter']","['Calandlyceum', '1,9 kilometer']","['De Kroon Party & Events', '1,1 kilometer']","['Filmclub Videotheek Osdorp', '607 meter']","['Gezondheidscentrum De Vaart SAG', '564 meter']","['Tandartspraktijk J A J M de Groot', '464 meter']","['Friends 4 Life BV Fitnessclub', '725 meter']","['Praktizijns Sociëteit Bibliotheek', '6,3 kilometer']"
"['Amsterdam Lelylaan', '1,5 kilometer']","['Zwarte Pomp BV', '694 meter']","['CCCP Amsterdam', '369 meter']","['Visserschool Dr J Th de', '281 meter']","['The Nanny Amsterdam', '281 meter']","['ABC Het', '549 meter']","['Remana Theehuis', '300 meter']","['Tetauni Videotheek', '505 meter']","['Kolenberg Huisartsenpraktijk', '124 meter']","['VOOGT tandheelkunde', '394 meter']","['Family Gym The', '613 meter']","['Bibliotheca Philosophica Hermetica', '2,3 kilometer']"
"['Amsterdam Lelylaan', '1,2 kilometer']","['Shell Station Postjesweg', '1,2 kilometer']","['Mina Supermarkt', '30 meter']","['7e Montessori', '556 meter']","['Tulp 1 Naschoolse Opvang De', '90 meter']","['ABC Het', '631 meter']","['Bardot Café', '57 meter']","['Filmclub Videotheek Overtoom', '426 meter']","['Tot Z(Org) Van A', '261 meter']","['Circe Van Es Tandarts', '215 meter']","['Bridesight Fitness en Fysiotherapie', '310 meter']","['Praktizijns Sociëteit Bibliotheek', '2,4 kilometer']"
"['Amsterdam Centraal', '937 meter']","['Texaco Bem BV Selfservice', '2,8 kilometer']","['Al Iman Supermarkt', '578 meter']","['IJplein Openbare Basisschool', '158 meter']","['Vogelnest BSO Het', '325 meter']","['De nieuwe Havo', '442 meter']","['Café de Wereld BV', '162 meter']","['Weng Joeng Hong', '1,2 kilometer']","['Gortzak W', '374 meter']","['Berghuis D', '53 meter']","['Barbizon Palace Health Club', '1,1 kilometer']","['IHLIA LGBT heritage', '825 meter']"
"['Amsterdam Muiderpoort', '1,1 kilometer']","['Shell Station Kriterion', '2,6 kilometer']","['C 1000 Het IJ', '433 meter']","['Basisschool Oostelijke Eilanden', '376 meter']","['Small Villa Kinderopvang', '127 meter']","['Taalbureau Buijtendorp', '913 meter']","['Boulevard Café', '344 meter']","['Movie MAX Moviestores', '885 meter']","['Wong MeDs', '364 meter']","['Tandartsenpunt', '182 meter']","['Schaur Zumba Peter', '68 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '592 meter']"
"['Amsterdam Muiderpoort', '1,3 kilometer']","['Total De Pijp', '1,9 kilometer']","['Spar Van Kempen', '524 meter']","['Boekman Openbare Basisschool Dr E', '208 meter']","['Kinderdagpaleis Boerhaave', '327 meter']","['Metis Montessori Lyceum', '393 meter']","['Roeter Café De', '92 meter']","['Twin Film', '147 meter']","['BMS', '308 meter']","['Soffner Tandarts C', '110 meter']","['Care4Fit intermediair in bedrijfsfitness', '290 meter']","['Theosofische Bibliotheek', '1,2 kilometer']"
"['Diemen', '2,4 kilometer']","['Shell Station Kriterion', '1,8 kilometer']","['Multi Tokorien IJburg', '1,3 kilometer']","['Daltonschool Neptunes', '130 meter']","['Gastouder Rachael', '256 meter']","['LUCA Praktijkschool', '3,3 kilometer']","['Café Blond B.V.', '1,0 kilometer']","['Movie MAX Moviestores', '3,9 kilometer']","['Becerici', '288 meter']","['H.R. Sulkers', '320 meter']","['Fitamsterdam', '180 meter']","['Internationaal Instituut voor Sociale Geschiedenis', '3,7 kilometer']"
"['Amsterdam Zuid', '1,6 kilometer']","['Hobbemakade Shell Station', '786 meter']","['Organic Food For You', '373 meter']","['2e Dalton Basisschool', '340 meter']","['Bengeltjes NV', '344 meter']","['Joke Smit College Vavo (ROC Van Amsterdam)', '119 meter']","['King Arthur', '269 meter']","['Filmclub Videotheek Cinemagic', '1,1 kilometer']","['Huisartsenpraktijk De Lairesse Klaren Acherman Woertman', '224 meter']","['Schaper L E', '249 meter']","['Personal Healthclub', '171 meter']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer']"
"['Amsterdam Lelylaan', '2,9 kilometer']","['Texaco Benzinestation Osdorp', '1,4 kilometer']","['Ikram Supermarkt', '635 meter']","[""Visser 't Hooftschool Dr W A"", '428 meter']","['PVO El Amien 1 Groep A/B', '150 meter']","['Calandlyceum', '1,2 kilometer']","['De Kroon Party & Events', '385 meter']","['Filmclub Videotheek Osdorp', '1,2 kilometer']","['Keimpema J C van en Mok mw E', '534 meter']","['Dentacare Osdorp', '239 meter']","['Ladies Gym Osdorp', '814 meter']","['Praktizijns Sociëteit Bibliotheek', '5,6 kilometer']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,9 kilometer']","['BP Commandeur', '1,1 kilometer']","['Organic Food For You', '175 meter']","['2e Dalton Basisschool', '478 meter']","['Partou', '84 meter']","['Amsterdams Lyceum Het', '551 meter']","['Waldeck', '42 meter']","['Filmclub Videotheek Overtoom', '852 meter']","['Korthals Altes-Levy H R', '381 meter']","['EviDental', '20 meter']","['Urban Wellness Concepts BV', '500 meter']","['Praktizijns Sociëteit Bibliotheek', '1,6 kilometer']"
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '1,2 kilometer']","['Tankstation Baarsjes West', '1,1 kilometer']","['Supermarkt Wiltzanghlaan', '74 meter']","['Wiltzangh Basisschool De', '70 meter']","['PVO Wiltzangh De', '70 meter']","['ROC Op Maat West', '1,0 kilometer']","['Admiraaltje', '130 meter']","['Super Videotheek De Sloterplas', '1,3 kilometer']","['Huisartsencentrum Pniël', '224 meter']","['Katima Legemate', '58 meter']","['Keijser Fitness De', '348 meter']","['Bibliotheca Philosophica Hermetica', '2,2 kilometer']"
"['Amsterdam Centraal', '1,5 kilometer']","['Texaco Bem BV Selfservice', '574 meter']","['Pinguin Avond- & Dagsupermarkt De', '202 meter']","['Jordaan 14e Montessorischool', '341 meter']","['Kids & Zo Centrum', '186 meter']","['Art of Colors Opleidingen', '210 meter']","['Pels De', '30 meter']","['Weng Joeng Hong', '1,3 kilometer']","['Huisarts aan de Herengracht', '175 meter']","['Tandartsen aan de Herengracht', '175 meter']","['Splash Healthclubs Amsterdam', '209 meter']","['Boekmanstichting Bibliotheek', '202 meter']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '2,8 kilometer']","['Demarol Badhoevedrop', '1,2 kilometer']","['Supermarkt Karadeniz', '281 meter']","['AMOS Stichting Amsterdamse Oecumenische Scholengroep', '54 meter']","['Allkidsz Kinderopvang', '192 meter']","['Calandlyceum', '908 meter']","['Silvestre Benelux BV Café', '766 meter']","['Filmclub Videotheek Osdorp', '651 meter']","['Universum Care', '654 meter']","['Zygogiannis K', '261 meter']","['Calandfit', '1,0 kilometer']","['Praktizijns Sociëteit Bibliotheek', '5,0 kilometer']"
"['Amsterdam Zuid', '1,6 kilometer']","['BP Commandeur', '1,0 kilometer']","['Organic Food For You', '230 meter']","['2e Dalton Basisschool', '244 meter']","['Bengeltjes NV', '112 meter']","['Amsterdams Lyceum Het', '378 meter']","['Waldeck', '213 meter']","['Lucky Star Videotheek', '895 meter']","['Korthals Altes-Levy H R', '144 meter']","['Bruin R de', '82 meter']","['Personal Healthclub', '339 meter']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer']"
,,,,,,,,,,,
