Street,Zipcode,Price,Broker
Buziaustraat 24,1068 KN, 439.500,Makelaarsland
Lijnbaansgracht 222,1017 PH, 325.000,Klok Real Estate B.V.
De Wittenkade 47 2v,1052 AD, 220.000,Cocq Makelaars Amsterdam
Samosstraat 42,1060 TA, 425.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Winterstraat 14,1078 VS, 250.000,Makelaardij Hendriks B.V.
Spaarndammerdijk 7 X,1013 ZM, 490.000,leukehuizen.nl
Pieter Jacobszstraat 21,1012 HL, 1.180.000,27 Huis Makelaars BV
Kometensingel 331,1033 BJ, 299.000,ERA Van de Steege  Amsterdam-Centrum
Harry Koningsbergerstraat 63,1063 AE, 525.000,De Huizenbemiddelaar Amsterdam
J.g. Suurhoffstraat 131,1067 VR, 350.000,Makelaardij Hendriks B.V.
Carolina Macgillavrylaan 496 P P,1098 XB, 450.000,Amstelland Makelaars
Willem Molengraaffstraat 13 Ii,1063 LJ, 225.000,Makelaardij Hendriks B.V.
Heer Halewijnstraat 22 Ii,1055 ST, 285.000,Van Maarschalkerwaart Makelaardij B.V.
Gijsbrecht van Aemstelstraat 3 2,1091 TA, 375.000,Burger Elkerbout Makelaars en Taxateurs
Ardennenlaan 188,1066 SE, 750.000,Jeroen van den Boogaard Makelaars
Zwanebloemlaan 20,1087 CD, 450.000,Hallie & van Klooster Makelaardij
Edward Masseystraat 37,1086 ZL, 675.000,Makelaarsland
Van Ostadestraat 296 3,1073 TW, 510.000,Francis Helmig makelaardij
Keizersgracht 53 B,1015 CE, 935.000,Dstrct Amsterdam
Lumeijstraat 48 1,1056 VZ, 375.000,BrinkBorgh Makelaardij
Nieuwe Keizersgracht 20 Iii,1018 DS, 625.000,Amsterdam at Home Makelaars
Zwanebloemlaan 232,1087 GD, 685.000,SEM Makelaars
Pieter A. van Heijningestraat 83,1035 SX, 297.000,LAM ERA makelaars
Stoombootweg 48,1035 TX, 625.000,Makelaarsland
Adriaan Loosjesstraat 23,1035 XP, 400.000,Makelaardij Hendriks B.V.
Commelinstraat 486,1093 VD, 315.000,RE/MAX PRO
Stade de Colombes 51,1098 VS, 1.325.000,Makelaarsland
J.g. Suurhoffstraat 25,1067 VL, 345.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Prinsengracht 235 K,1015 DT, 489.000,Hans Kok
Pomonastraat 66,1033 TJ, 300.000,Linger OG
Oostelijke Handelskade 833,1019 BW, 600.000,Hallie & van Klooster Makelaardij
Osdorper Ban 533,1069 GA, 375.000,ERA Van de Steege  Amsterdam-Centrum
Carolina Macgillavrylaan 29 + Pp,1098 XA, 569.000,SEM Makelaars
H Diesveldsingel 15,1060 RL, 399.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Linnaeushof 43-1 C,1098 KM, 1.095.000,Amsterdam at Home Makelaars
Nieuwe Teertuinen 16 U,1013 LV, 415.000,Bijleveld Makelaardij O.G.
Rengerskerkestraat 46,1069 HV, 350.000,Mangré makelaars
Korte Ouderkerkerdijk 58,1096 AD, 800.000,RE/MAX PRO
Da Costastraat 121 Huis,1053 ZK, 625.000,Amstelland Makelaars
Knsm-laan 589,1019 LD, 475.000,SEM Makelaars
Bonnefantenstraat 58,1064 PN, 375.000,Makelaardij Hendriks B.V.
Zijkanaal H-weg 53,1037 RS, 319.000,Hans Kok
Boerhaaveplein 14 Hs,1091 AS, 795.000,RE/MAX PRO
Churchilllaan 258,1078 EZ, 650.000,HHW Makelaars
Van Heenvlietlaan 279 +pp,1083 DD, 500.000,Amsterdam at Home Makelaars
Bloedstraat 17 F,1012 BS, 270.000,Your Home Makelaardij
Saskia van Uijlenburgkade 117,1058 GA, 600.000,HHW Makelaars
Jan van Zutphenstraat 615,1069 RS, 399.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Pandorinastraat 10,1035 VR, 300.000,Peters-de Jong makelaardij in o.z.
Nieuwendammerdijk 513,1023 BR, 500.000,Peters-de Jong makelaardij in o.z.
Derde Oosterparkstraat 64 H +pp,1091 KA, 649.000,Hallo Makelaar B.V.
Kloveniersburgwal 61 C,1011 JZ, 425.000,Jeanine van der Sanden Makelaardij
Pieter Calandlaan 438,1060 TT, 335.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Edward Masseystraat 24,1086 ZL, 640.000,Hallie & van Klooster Makelaardij
Haarlemmerdijk 186,1013 JK, 1.500.000,Keizerskroon Makelaars
Dwergvinvisstraat 84,1035 HR, 319.000,27 Huis Makelaars BV
Waalsteeg 15,1011 ER, 475.000,Remko Bijvoet Makelaardij b.v.
Planciusstraat 19 G 1,1013 MD, 220.000,Your Home Makelaardij
Praterlaan 42,1098 WR, 399.500,Makelaardij Hendriks B.V.
Orteliusstraat 364 1,1056 PV, 325.000,Huisportaal.nl
Admiraal de Ruijterweg 165 Iii,1056 GC, 525.000,Scholten Vastgoed B.V.
Gunterstein 51,1081 CH, 575.000,RE/MAX PRO
Marco Polostraat 279 Hs,1056 DN, 450.000,Makelaardij Hendriks B.V.
Singel 11 G,1012 VC, 409.000,Hans Kok
Saturnusstraat 14,1033 VT, 274.011,11 Makelaars B.V.
Leeuwendalersweg 767,1061 BK, 374.000,+31 Vastgoed
Oudezijds Voorburgwal 266 E,1012 GL, 600.000,Makelaardij Hendriks B.V.
Beethovenstraat 11 Iii,1077 HL, 1.425.000,Voogd Makelaardij B.V.
Nicolaas Anslijnstraat 164,1068 WZ, 250.000,Makelaardij Hendriks B.V.
Postjeskade 149 Iii,1058 DN, 525.000,ouwehand van der meijden makelaars
Spadinalaan 54 + 2 Pp,1031 KB, 750.000,Makelaardij Hendriks B.V.
Antony Moddermanstraat 86,1063 LS, 200.000,Makelaardij Hendriks B.V.
Cas Oorthuyskade 298,1087 DP, 350.000,Hallie & van Klooster Makelaardij
Schellingwouderdijk 133,1023 NB, 598.000,Peters-de Jong makelaardij in o.z.
Bovenover 129,1025 JL, 238.800,Urbanmakelaars Nederland
Jan de Jonghkade 39,1063 MH, 365.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Boutenburg 237,1068 ZE, 225.000,Makelaardij Hendriks B.V.
G J Scheurleerweg 168,1022 KL, 550.000,BrinkBorgh Makelaardij
Langswater 508,1069 ED, 185.000,Urbanmakelaars Nederland
Krom Boomssloot 59 E,1011 GS, 925.000,Thoma Post Makelaar Amsterdam
Randwijkhof 11,na, 350.000,Makelaardij Hendriks B.V.
Aart van der Leeuwstraat 7,1064 BT, 350.000,Your Home Makelaardij
Rengerskerkestraat 26,1069 HV, 350.000,Makelaardij Hendriks B.V.
Balthasar Floriszstraat 1 4,1071 TZ, 595.000,Voogd Makelaardij B.V.
Amsterdam E O 0 Ong,1000    Am, 68.000,Wijkhuizen makelaars
Carry Pothuis-smitstraat 23,1069 RC, 299.000,De Huizenbemiddelaar Amsterdam 2
Tweede Constantijn Huygensstraat 55 Hoog,1054 CR, 950.000,Makelaardij De Nederlanden B.V.
Dierenriem 132,1033 AJ, 215.000,de Haas Makelaars
Madurastraat 111 Hs,1094 GK, 325.000,JLG Real Estate B.V.
Eastonstraat 198,1068 JG, 250.000,Regio Makelaars
Arcellastraat 14,1035 VN, 299.011,11 Makelaars B.V.
Wijenburg 131,1082 VR, 315.000,Henk Burger Makelaardij og B.V.
Kiekstraat 39,1087 GK, 400.000,Hallie & van Klooster Makelaardij
Schollenbrugpad 72 + Pp,1091 ST, 595.000,Francis Helmig makelaardij
Pieter Calandlaan 718,1060 TX, 285.000,Urbanmakelaars Nederland
Frans Halsstraat 29,1072 BK, 575.000,Amsterdam at Home Makelaars
Elckerlijcstraat 9,1055 AK, 385.000,Thoma Post Makelaar Amsterdam
Soembawastraat 48 C,1095 XC, 275.000,Francis Helmig makelaardij
Het Breed 891,1025 JE, 299.000,ERA Van de Steege  Amsterdam-Centrum
Kleine Beerstraat 11,1033 CP, 270.000,RE/MAX PRO
Nassaukade 75 Iii&iv,1052 CS, 899.000,PC22
Tweede Weteringdwarsstraat 75 Huis,1017 SV, 550.000,Chris Oosting Makelaardij
Brigantijnkade 38,1086 VB, 650.000,JLG Real Estate B.V.
Singel 354,1016 AG, 1.695.000,ouwehand van der meijden makelaars
Hudsonstraat 3 3,1057 RW, 400.000,Alice Bakker Makelaardij O.G.
Baetostraat 4 I,1055 EP, 275.000,Makelaardij Hendriks B.V.
Van Tuyll van Serooskerkenweg 58 1,1076 JN, 500.000,Makelaarsland
Alexandrine Tinnehof 12,1087 CM, 499.000,Hallie & van Klooster Makelaardij
Ferguutstraat 1 -iii,1055 SV, 650.000,C. Hoen Dzn c.v.
Willemsstraat 43-45,1015 HW, 2.795.000,Hoogveste B.V.
Blasiusstraat 156 -ii,1091 CZ, 300.000,Makelaardij De Nederlanden B.V.
Westlandgracht 105 1,1058 TS, 375.000,Makelaardij Hendriks B.V.
Wittgensteinlaan 16,1062 KA, 369.000,BVA Makelaardij
Goudsbloemstraat 165 -iii,1015 JM, 650.000,Jaap Admiraal Makelaardij B.V.
Werkendamstraat 8,1107 KJ, 215.000,All in Housing
Rozengracht 37 1,1016 LR, 849.000,Van Maarschalkerwaart Makelaardij B.V.
Pieter van der Doesstraat 9 Iii-iv,1056 VA, 650.000,Amsterdam at Home Makelaars
Ridderspoorweg 149,1032 LL, 300.000,Alice Bakker Makelaardij O.G.
Van Beuningenplein 5 Hs,1051 VS, 500.000,Hallie & van Klooster Makelaardij
Lederambachtstraat 226,1069 HM, 210.000,Collectief makelaars
Backershagen 73,1082 GS, 445.000,JLG Real Estate B.V.
Centavoshof 8,1060 SR, 459.000,Barnhoorn Vermeer B.V.
Jan den Haenstraat 31 2,1055 WC, 450.000,Hallie & van Klooster Makelaardij
Spuistraat 62 I,1012 TW, 749.000,Huisportaal.nl
Utrechtsedwarsstraat 129 D,1017 WE, 500.000,Makelaardij Hendriks B.V.
Prinsengracht 558,1017 KK, 2.000.000,C. Hoen Dzn c.v.
Warmondstraat 175 3,1058 KX, 425.000,Amsterdam at Home Makelaars
Overtoom 338 4,1054 JE, 325.000,27 Huis Makelaars BV
Reinier Claeszenstraat 43 2,1056 WE, 425.000,Scholten Vastgoed B.V.
's-gravesandestraat 8,1091 AA, 395.000,SEM Makelaars
Van der Palmkade 123,1051 RH, 500.000,Hallie & van Klooster Makelaardij
Van der Palmkade 123 +pp,1051 RH, 545.000,Hallie & van Klooster Makelaardij
Admiraal de Ruijterweg 475 Iii,1055 MH, 595.000,Geldhof Makelaardij o.g.
