Street,Zipcode,Price,Broker
Van Nijenrodeweg 115,1083 EH,Prijs op aanvraag,Netwerk Makelaardij Amsterdam
Groen van Prinstererstraat 2 Hs,1051 EE, 360.000,Huizenlinq Makelaars onroerende zaken
Van Noordtkade 152,1013 CA, 275.000,Ramon Mossel Makelaardij o.g. B.V.
Stolwijkstraat 33 1,1059 XT, 325.000,Cocq Makelaars Amsterdam
John Blankensteinstraat 169 -a,na, 549.000,Voogd Makelaardij B.V.
Bilderdijkkade 129,1053 VM, 325.000,Stadgenoot woonmakelaars
Van der Boechorststraat 56,1081 BV, 850.000,Henk Burger Makelaardij og B.V.
Nachtwachtlaan 81,1058 EC, 375.000,Fris Makelaardij Amsterdam B.V.
Korte Leidsedwarsstraat 45 Iii,1017 PW, 375.000,Krop & Co. Makelaars & Taxateurs o.g.
Roerstraat 119 2,1078 LM, 500.000,Ramon Mossel Makelaardij o.g. B.V.
"Meeuwenlaan 19, 1021 HR Amsterdam",na, 900.000,Van Overbeek Amsterdam
"Oostzanerdijk 92, 1035 RG Amsterdam",na, 400.000,123Makelaar
Marnixstraat 214 D,1016 TL, 315.000,Hallie & van Klooster Makelaardij
Postjeskade 151 3,1058 DP,Prijs op aanvraag,Aemestelle Makelaars B.V.
Spadinalaan 5,1031 KB, 825.000,Hallie & van Klooster Makelaardij
Herengracht 101 Hs,1015 BE, 650.000,Makelaardij De Nederlanden B.V.
Ringvaartdijk 52,1066 DE, 589.000,Hans Kok
Amsteldijk 728,1074 JH, 695.000,Gorter Onroerend Goed B.V.
Fresiastraat 18,1032 BG, 285.000,van der Linden Lelystad
"Ijburglaan 856, 1087 GE Amsterdam",na, 825.000,RET Makelaars
Reggestraat 13-3,1078 CX, 375.000,Makelaardij Hendriks B.V.
Keizersgracht 812,1017 ED, 559.000,Capaan & Falkeisen VOF
Beethovenstraat 143 3,1077 JC, 475.000,Ramon Mossel Makelaardij o.g. B.V.
Gouden Leeuw 316,na, 152.500,Linger OG
Tweede Kekerstraat 60,na,Prijs op aanvraag,Linger OG
"Winterstraat 14, 1109 BE Amsterdam",na, 250.000,Hoekstra en van Eck Amsterdam Noord
Bloemgracht 63 V,1016 KG, 2.121.500,27 Huis Makelaars BV
Minervalaan 89 2,1077 NT, 995.000,Ramon Mossel Makelaardij o.g. B.V.
Insulindeweg 667,1095 EA, 325.000,Jacobus Recourt B.V.
Veembroederhof 143,1019 HD, 400.000,Voogd Makelaardij B.V.
Biesboschstraat 16 I,1078 MS, 475.000,Ramon Mossel Makelaardij o.g. B.V.
"Distelvoorstraat 12, 1031 XC Amsterdam",na, 225.000,RET Makelaars
"Zuideinde 495, 1035 PJ Amsterdam",na, 490.000,VLIEG Makelaars OG
"Keizersgracht 355, 1016 EJ Amsterdam",na, 1.980.000,Broersma Makelaardij B.V.
Nieuwezijds Voorburgwal 169,1012 RK, 245.000,RE/MAX PRO
Wilhelminastraat 51 Ii- Iv,1054 VW, 950.000,Francis Helmig makelaardij
"Breughelstraat 8 2, 1077 LC Amsterdam",na, 1.350.000,Smit & Heinen Makelaars en Taxateurs o/z
"Binnen Wieringerstraat 24, 1013 EB Amsterdam",na, 995.000,Crone Schepers Vellekoop V.O.F.
"Roerstraat 16 Ii, 1078 LN Amsterdam",na, 475.000,Ameo Makelaarsgroep
Kinkerstraat 276 I,1053 GB, 295.000,Makelaar Frank
Wallestein 58,1081 BD, 580.000,JLG Real Estate B.V.
Van Breestraat 26 -huis,1071 ZP, 975.000,Aemestelle Makelaars B.V.
Herengracht 248 -f,1016 BV, 995.000,Huisportaal.nl
Stadhouderskade 134 -a,1074 AX, 1.400.000,Dstrct Amsterdam
Spaarndammerstraat 64 I,1013 SZ, 325.000,Peters & van der Vloodt b.v.
"Abrikozenstraat 28, 1033 KB Amsterdam",na, 210.000,123Makelaar
"Gabriel Metsustraat 28 Ii, 1071 EC Amsterdam",na, 1.450.000,K2makelaars
Utrechtsedwarsstraat 113 C,1017 WD, 550.000,RE/MAX PRO
Jan Springerhof 26,1067 LH, 310.000,Apollo Makelaardij Groot Amsterdam
Dirk Vreekenstraat 21,1019 DP, 519.000,Apollo Makelaardij Groot Amsterdam
Jan Lelimanhof 28,1067 LE, 300.000,Apollo Makelaardij Groot Amsterdam
"Doggerstraat 50, 1086 VG Amsterdam",na, 689.000,Benuwmakelaar
"Reguliersgracht 36, 1017 LS Amsterdam",na, 1.700.000,Rappange Makelaardij b.v.
Oudezijds Achterburgwal 33,1012 DA, 1.750.000,Makelaardij De Nederlanden B.V.
A. Reitsmakade 21,1060 RJ, 425.000,Nieuw West Makelaardij Onroerende Zaken B.V.
"Mattenbiesstraat 92, 1087 CC Amsterdam",na, 1.400.000,Benuwmakelaar
Buiksloterbreek 74,1034 XD, 575.000,ERA Van de Steege  Amsterdam-Centrum
Hoofdweg 106 -h,1058 BG,Prijs op aanvraag,Aemestelle Makelaars B.V.
"Da Costakade 21 3, 1052 SE Amsterdam",na, 895.000,Help To Sell
"Willem Pijperstraat 48, 1077 XM Amsterdam",na, 1.200.000,Van Baerle Makelaars
"Nieuwezijds Voorburgwal 157 I+ii, 1012 RK Amsterdam",na, 1.115.000,De Groot en Compagnons
"Nieuwezijds Voorburgwal 157, 1012 RK Amsterdam",na, 2.595.000,De Groot en Compagnons
Vegastraat 138,1033 HZ, 299.500,de Haas Makelaars
Boeninlaan 261,na, 155.000,Linger OG
Rijnstraat 60 3,1079 HJ, 345.011,11 Makelaars B.V.
Dostojevskisingel 251,na, 300.000,Huisportaal.nl
Lijnbaansgracht 157 2,1016 VX, 799.000,De Huizenbemiddelaar Amstelveen E.O.
Haarlemmer Houttuinen 7 B,1013 GL, 600.000,Thoma Post Makelaar Amsterdam
Alfred Doblinstraat 169,na, 190.000,Linger OG
Bouwnummer 72,1013 WN, 775.000,ERA Van de Steege  Amsterdam-Centrum
Reimerswaalstraat 26,1069 AL, 475.000,Makelaar Frank
Kortenaerplein 5,1057 NE,Prijs op aanvraag,Aemestelle Makelaars B.V.
Derkinderenstraat 7 A,1062 BE, 400.000,Amstel Housing
Waterkeringweg 121,1051 NZ, 430.000,Makelaarsland
Nieuwe Achtergracht 87 G,1018 WN, 245.000,Anno van Loenen
Dolingadreef 257,na, 195.000,Makelaarsland
Keizersgracht 728,1017 EW, 3.980.000,C. Hoen Dzn c.v.
"Johannes van Meurshof 2, 1065 AM Amsterdam",na, 375.000,De Groot en Compagnons
Arent Janszoon Ernststraat 89,1083 GR, 297.500,Jacobus Recourt B.V.
Amstelveenseweg 81 Iii+iv,1075 VW,Prijs op aanvraag,Aemestelle Makelaars B.V.
"Bilderdijkkade 38 I, 1053 VE Amsterdam",na, 1.300.000,Martens Makelaars
"Berkhouthof 10, 1023 VV Amsterdam",na, 325.000,123Makelaar
Kromme-mijdrechtstraat 53 1,1079 KR, 348.011,11 Makelaars B.V.
Rooseveltlaan 128 Ii,1078 NR, 575.000,Ramon Mossel Makelaardij o.g. B.V.
Geldersekade 11 -huis,1011 EH, 675.000,Hard To Get B.V.
Vespuccistraat 48 H,1056 SM, 360.000,van der Linden Lelystad
"Curacaostraat 25 H, 1058 BK Amsterdam",na, 595.000,De La Haye Makelaardij O.G.
Goeman Borgesiusstraat 4 G,1067 LN, 360.000,Hallie & van Klooster Makelaardij
Badhuiskade 281,na, 794.659,Ramon Mossel Makelaardij o.g. B.V.
Badhuiskade 249,na, 783.659,Ramon Mossel Makelaardij o.g. B.V.
"Sint Willibrordusstraat 31 -hs, 1074 XJ Amsterdam",na, 759.000,Help To Sell
Da Costakade 41 Huis,1052 SH, 995.000,Keizerskroon Makelaars
Kleine Beerstraat 17,1033 CP, 274.011,11 Makelaars B.V.
Krimpertplein 10,na, 189.000,Linger OG
Panamakade 114,1019 AX, 1.190.000,Makelaarsland
Sloterkade 25 A,1058 HE, 1.000.000,Ramon Mossel Makelaardij o.g. B.V.
Hoofdweg 2 -a-ii,1058 BC, 700.000,Ramon Mossel Makelaardij o.g. B.V.
Nachtwachtlaan 102,1058 EC, 425.000,Ramon Mossel Makelaardij o.g. B.V.
Eemsstraat 29 I,1079 TC, 335.000,Ramon Mossel Makelaardij o.g. B.V.
Van Nijenrodeweg 301,1082 HA, 195.000,Ramon Mossel Makelaardij o.g. B.V.
Ploegstraat 169,1097 WD,Prijs op aanvraag,HR Makelaars
"Henriette Bosmansstraat 24, 1077 XH Amsterdam",na, 1.695.000,ME Makelaars B.V.
"Filips van Almondestraat 20 Iii, 1057 ZV Amsterdam",na, 525.000,Smit & Heinen Makelaars en Taxateurs o/z
"Jacob Honigstraat 22, 1035 XX Amsterdam",na, 299.000,Dirk Voet Makelaars
Van Beuningenstraat 202 Iii-iv,1051 XZ, 525.000,Hallie & van Klooster Makelaardij
Bouwnummer 70,1013 WN, 785.000,ERA Van de Steege  Amsterdam-Centrum
Pieter Langendijkstraat 38 Ii,1054 ZB, 375.000,Peters & van der Vloodt b.v.
Keizersgracht 31 Hs-a,1015 CD, 1.095.000,PC22
Sarphatipark 32 Ii,1072 PB, 895.000,Kocken Makelaars
Linnaeusparkweg 151 Bv,1098 CX, 665.000,SEM Makelaars
Keizersgracht 686,1017 EV,Prijs op aanvraag,PC22
Charlotte de Bourbonstraat 1 -iii,1055 WN, 250.000,Makelaarsbalie
J. de Koostraat 6,1068 KP, 399.000,ERA Van de Steege  Amsterdam-Centrum
Goeman Borgesiusstraat 4 F,1067 LN, 360.000,Hallie & van Klooster Makelaardij
Bouwnummer 60,1013 WN, 760.000,ERA Van de Steege  Amsterdam-Centrum
Herengracht 247 2,1016 BH, 1.200.000,Keizerskroon Makelaars
Lomanstraat 36 Hs,1075 RC, 1.050.000,Ramon Mossel Makelaardij o.g. B.V.
Pieter Aertszstraat 96 Hs,1074 VS, 500.000,Ramon Mossel Makelaardij o.g. B.V.
Kiekstraat 171,1087 GT, 359.000,Makelaarsland
Kometensingel 47,1033 BB, 289.000,de Haas Makelaars
Jan Vrijmanstraat 33,1087 MB, 659.000,Huisportaal.nl
Zuideinde 443,1035 PG, 537.500,Peters-de Jong makelaardij in o.z.
Bos en Lommerplantsoen 15 A,1055 AA, 170.000,Amsterdam at Home Makelaars
Grensstraat 16 Hs,1091 SZ, 1.495.000,Van Maarschalkerwaart Makelaardij B.V.
Melkweg 30,1033 AC, 1.000.000,Makelaardij Hendriks B.V.
Keizersgracht 162 G,1015 CZ, 1.350.000,Keizerskroon Makelaars
Abberdaan 170,1046 AB, 249.000,Bos Makelaars o.g. B.V.
Peter Wotkehof 6,1087 DG, 475.000,Linger OG
Kea Boumanstraat 104 -b,na, 849.000,Voogd Makelaardij B.V.
Meteorenweg 185,1033 GZ, 275.000,Makelaardij Hendriks B.V.
Archimedesweg 32 Bv,1098 JR, 600.000,SEM Makelaars
Bonnefantenstraat 21,1064 PP, 300.000,Makelaardij Hendriks B.V.
Elckerlijcstraat 12 Hs,1055 AM, 300.000,Ramon Mossel Makelaardij o.g. B.V.
Zamenhofstraat 38,1022 AD, 275.000,Makelaarsland
Tweede Oosterparkstraat 188 3,1092 BT, 340.000,Beleggingspanden.nl
Valeriusstraat 137 H,1075 ET, 2.500.000,HHW Makelaars
"Frederiksplein 27, 1017 XL Amsterdam",na, 1.850.000,De Nieuwe Amsterdamsche Makelaardij o.g. B.V.
"Ten Katestraat 63 Iv, 1053 BZ Amsterdam",na, 275.000,Help To Sell
Banne Buikslootlaan 103,1034 AB, 275.000,Makelaardij Hendriks B.V.
Sint Nicolaasstraat 36,1012 NK,Prijs op aanvraag,Mijn Huis Makelaardij
"Wijsmullerstraat 28 1, 1058 JJ Amsterdam",na, 375.000,Makelaar Bert
"Van Hogendorpstraat 867, 1051 CD Amsterdam",na, 465.000,Crone Schepers Vellekoop V.O.F.
"Kostverlorenstraat 19 -d, 1052 GT Amsterdam",na, 1.650.000,Keij & Stefels b.v.
"Berenstraat 13 C, 1016 GG Amsterdam",na, 350.000,PB Makelaars
"Ijburglaan 413 +pp, 1086 ZJ Amsterdam",na, 375.000,VLIEG Makelaars OG
"Staringstraat 9 -c, 1054 VM Amsterdam",na, 450.000,Martens Makelaars
"Jan van Eijckstraat 16 -ii, 1077 LK Amsterdam",na, 1.495.000,Keij & Stefels b.v.
"Onstein 22, 1082 KL Amsterdam",na, 275.000,Streekgoed Makelaardij
"Boeroestraat 48, 1095 VS Amsterdam",na, 350.000,Makelaar Bert
"Fagelstraat 38 Ii, 1052 GD Amsterdam",na, 295.000,Adriaanssen Makelaardij
"Biesboschstraat 39 Iii, 1078 ML Amsterdam",na, 675.000,Van Baerle Makelaars
"Johan van der Keukenstraat 160, 1087 AZ Amsterdam",na, 325.000,RET Makelaars
"Karperstraat 6 C, 1075 KZ Amsterdam",na, 650.000,Crone Schepers Vellekoop V.O.F.
"Van Speijkstraat 141 -i, 1057 GW Amsterdam",na, 395.000,Fred Koot Makelaardij
Korte Meerhuizenstraat 2 Iii,1078 TL,Prijs op aanvraag,Aemestelle Makelaars B.V.
Semarangstraat 30 Iii-iv,1095 GE, 350.000,Beekman Makelaardij o/g B.V.
Bruinvisstraat 21,1035 HC,Prijs op aanvraag,Urbanmakelaars Nederland
Koningslaan 54,1075 AE,Prijs op aanvraag,PC22
Spuistraat 297 B,1012 VS, 850.000,C. Hoen Dzn c.v.
Van Helt Stocadestraat 10 Hs,1073 JC, 375.000,Ramon Mossel Makelaardij o.g. B.V.
"Gedempte Insteekhaven 21, 1021 PM Amsterdam",na, 219.000,Van Overbeek Amsterdam
"Karel Du Jardinstraat 21 -iii, 1072 SE Amsterdam",na, 675.000,Crone Schepers Vellekoop V.O.F.
"Brouwersgracht 170 B, 1013 HB Amsterdam",na, 775.000,De La Haye Makelaardij O.G.
"Albert Cuypstraat 272 4 B, 1073 BR Amsterdam",na, 315.000,Visch & Van Zeggelaar B.V.
"Albert Cuypstraat 272 4 A, 1073 BR Amsterdam",na, 375.000,Visch & Van Zeggelaar B.V.
"Fagelstraat 82 Ii, 1052 GH Amsterdam",na, 275.000,PB Makelaars
Hoofdweg 222 H,1057 DG, 325.000,van der Linden Lelystad
Castorplein 6,1033 GG, 275.000,Makelaardij Hendriks B.V.
Graafschapstraat 102,1079 PE, 850.000,RE/MAX PRO
"Eerste Nassaustraat 12 1, 1052 BG Amsterdam",na, 325.000,Persoons Beheer B.V.
"Herculesstraat 128 Iii, 1076 SV Amsterdam",na, 325.000,Martens Makelaars
"Orteliusstraat 298 Ii, 1056 PN Amsterdam",na, 485.000,Ter Haar Makelaars B.V.
"Kijkduinstraat 81 I, 1055 XT Amsterdam",na, 285.000,Visch & Van Zeggelaar B.V.
"Andreasplein 131, 1058 GD Amsterdam",na, 535.000,Van Overbeek Amsterdam
"Ruysdaelkade 127 1, 1072 AP Amsterdam",na, 275.000,Smit & Heinen Makelaars en Taxateurs o/z
"Robert Scottstraat 8 Huis, 1056 AX Amsterdam",na, 275.000,Smit & Heinen Makelaars en Taxateurs o/z
"Eerste Tuindwarsstraat 11, 1015 RT Amsterdam",na, 300.000,Smit & Heinen Makelaars en Taxateurs o/z
"Prinsengracht 512 3, 1017 KH Amsterdam",na, 650.000,Van Baerle Makelaars
"Hoogte Kadijk 110 R, 1018 BT Amsterdam",na, 450.000,RET Makelaars
"Eerste Oosterparkstraat 75, 1091 GW Amsterdam",na, 799.000,RET Makelaars
"Molukkenstraat 585, 1095 BJ Amsterdam",na, 295.000,RET Makelaars
"Henriette Bosmansstraat 49, 1077 XG Amsterdam",na, 1.595.000,Bakker Berkeveld Den Baas Makelaars B.V.
"Van Oldenbarneveldtstraat 25 H, 1052 JR Amsterdam",na, 950.000,Ter Haar Makelaars B.V.
"Conradstraat 86 G, 1018 NK Amsterdam",na, 550.000,Ter Haar Makelaars B.V.
"Keizersgracht 216 E, 1016 DZ Amsterdam",na, 825.000,De La Haye Makelaardij O.G.
"Eerste Helmersstraat 187 2, 1054 DT Amsterdam",na, 750.000,Makelaar Bert
"Rustenburgerstraat 323-1, 1073 GG Amsterdam",na, 390.000,De Groot en Compagnons
"Langestraat 43 B, 1015 AK Amsterdam",na, 399.000,Bens makelaars
"Ijburglaan 802 +p P, 1087 EM Amsterdam",na, 565.000,RET Makelaars
"Sparrenweg 23, 1091 HP Amsterdam",na, 395.000,Wind Makelaars
"Bilderdijkkade 30 A, 1053 VD Amsterdam",na, 469.000,Doeksen Klein Makelaardij
"Van Nijenrodeweg 22, 1083 EB Amsterdam",na, 200.000,Onbekend
President Allendelaan 281,1068 VM, 310.000,Stadgenoot woonmakelaars
"Keizersgracht 646 A, 1017 ES Amsterdam",na, 699.000,Benuwmakelaar
"Pieter Baststraat 2 Iii, 1071 TW Amsterdam",na, 450.000,Bridges Makelaars
"Trouringhstraat 6 2, 1055 HA Amsterdam",na, 299.000,Van Baerle Makelaars
"Seinwachterstraat 33, 1019 TD Amsterdam",na, 520.000,PRO Makelaars
"Warmondstraat 188 I, 1058 LC Amsterdam",na, 325.000,A.W. Sabel Makelaardij
"Het Hoogt 279, 1025 GZ Amsterdam",na, 175.000,123Makelaar
Daniel Stalpertstraat 83 2 A,1072 XC, 210.000,Zelfverkopen.nl
Pieter Aertszstraat 83 2,1073 SL, 425.000,Cocq Makelaars Amsterdam
Langswater 577,1069 EE, 200.000,Makelaardij Hendriks B.V.
Egelantiersgracht 326,1015 RR, 445.000,27 Huis Makelaars BV
"Prinses Marijkestraat 50 +garage, 1077 XD Amsterdam",na, 995.000,Keij & Stefels b.v.
"Zomerdijkstraat 12 2, 1079 XA Amsterdam",na, 400.000,Makelaar Bert
"Wijnand Nuijenstraat 123, 1061 WB Amsterdam",na, 350.000,Makelaar Bert
"Bilderdijkstraat 21 F, 1052 NA Amsterdam",na, 440.000,WWR Makelaars
"De Boelelaan 231, 1082 RA Amsterdam",na, 280.000,BNV Makelaars
"Lambertus Zijlplein 50, 1067 JS Amsterdam",na, 299.500,Leeghuis
"Bankastraat 37 2, 1094 EB Amsterdam",na, 250.000,PRO Makelaars
"Stuurmankade 50, 1019 KR Amsterdam",na, 475.000,RET Makelaars
"Kerkstraat 98iii, 1017 GP Amsterdam",na, 225.000,Persoons Beheer B.V.
"Van Noordtkade 3 K, 1013 BZ Amsterdam",na, 550.000,Pim de Jong Makelaars
"Willem de Zwijgerlaan 140 2, 1056 JV Amsterdam",na, 250.000,De makelaers
Goudsbloemstraat 159 -huis,1015 JM, 429.000,Kopinsky Makelaardij
Mary van der Sluisstraat 286,1095 ME, 399.000,ERA Van de Steege  Amsterdam-Centrum
Saskia van Uijlenburgkade 70 Huis,1058 GA, 875.000,Ramon Mossel Makelaardij o.g. B.V.
"Fokkezeil 13, 1034 MT Amsterdam",na, 225.000,Douwes Makelaardij
"Albert Cuypstraat 240 3, 1073 BP Amsterdam",na, 299.000,Doeksen Klein Makelaardij
"Spinaker 217, 1034 MK Amsterdam",na, 220.000,123Makelaar
Merwedeplein 24 2,1078 NE, 635.000,Francis Helmig makelaardij
Langswater 425,1069 ED, 159.000,Huisportaal.nl
"Berthelotstraat 4 Iii, 1098 SV Amsterdam",na, 325.000,Makelaar Bert
"Elckerlijcstraat 4 2, 1055 AM Amsterdam",na, 300.000,Makelaar Bert
"Jan Bernardusstraat 23 Ii L, 1091 TS Amsterdam",na, 239.000,Makelaar Bert
"Burg Roellstraat 28 V, 1064 BP Amsterdam",na, 215.000,Makelaar Bert
"Spadinalaan 137, 1031 KB Amsterdam",na, 650.000,Makelaar Bert
Kribbestraat 39 -ii-iii,1079 WN, 600.000,Ramon Mossel Makelaardij o.g. B.V.
"Osdorperweg 90, 1066 EM Amsterdam",na, 725.000,Ameo Makelaarsgroep
Schaarbeekstraat 23,1066 JW, 535.000,Makelaardij Hendriks B.V.
"Kromme Distelstraat 17, 1031 XK Amsterdam",na, 795.000,Makelaar 1
"Noorderstraat 40 B, 1017 TV Amsterdam",na, 675.000,BNV Makelaars
"Valeriusstraat 61 H, 1071 ME Amsterdam",na, 1.875.000,Makelaarsgroep O.G. Commissaris/Ludenhoff
"Slauerhoffstraat 2 H, 1064 TD Amsterdam",na, 265.000,VLIEG Makelaars OG
"Van Tuyll van Serooskerkenplein 33 1, 1076 LZ Amsterdam",na, 450.000,VLIEG Makelaars OG
"Pruimenstraat 16 D, 1033 KM Amsterdam",na, 300.000,Van Overbeek Amsterdam
Cornelis Trooststraat 34 -iii,1072 JG, 325.000,Jacobus Recourt B.V.
Bolestein 578,1081 EK, 400.000,Amstelland Makelaars
Tweede Leliedwarsstraat 17 I,1015 TB, 720.000,Thoma Post Makelaar Amsterdam
"Pieter de Hoochstraat 11 A 1, 1071 ED Amsterdam",na, 2.945.000,Mar.J. Heule Makelaardij B.V.
"Pieter de Hoochstraat 11 A 4, 1071 ED Amsterdam",na, 2.690.000,Mar.J. Heule Makelaardij B.V.
"Pieter de Hoochstraat 11 A 3, 1071 ED Amsterdam",na, 3.695.000,Netherlands Sotheby's International
"Pieter de Hoochstraat 11 A 2, 1071 ED Amsterdam",na, 2.850.000,Netherlands Sotheby's International
"Pieter Langendijkstraat 31 A, 1054 XX Amsterdam",na, 700.000,Boelen Makelaardij o.z.
"Tweede van der Helststraat 42 B, 1072 PE Amsterdam",na, 900.000,Crone Schepers Vellekoop V.O.F.
"Haringbuisdijk 14, 1086 VA Amsterdam",na, 595.000,Makelaar 1
"Van Rappardstraat 14 C, 1051 HZ Amsterdam",na, 339.000,Makelaarsgroep O.G. Commissaris/Ludenhoff
"Balthasar Floriszstraat 28-32, 1071 VD Amsterdam",na, 1.300.000,Van Apeldoorn en Peters Makelaardij in o.z.
"Balthasar Floriszstraat 28-30 Hs, 1071 VD Amsterdam",na, 1.000.000,Van Apeldoorn en Peters Makelaardij in o.z.
"Adriaan van Bergenstraat 6 -iii, 1056 JW Amsterdam",na, 300.000,Van Overbeek Amsterdam
"Haringvlietstraat 36, 1078 KD Amsterdam",na, 10.000,Onbekend
"Fritz Dietrich Kahlenbergstraat 127, 1087 MB Amsterdam",na, 325.000,Makelaar 1
"Talbotstraat 179, 1087 DM Amsterdam",na, 375.000,RET Makelaars
"Kerkstraat 379 C, 1017 HW Amsterdam",na, 385.000,De Groot en Compagnons
"Vossiusstraat 16 H, 1071 AC Amsterdam",na, 1.675.000,De Groot en Compagnons
"Mosplein 20-26, 1032 JX Amsterdam",na, 2.975.000,Smit & Heinen Makelaars en Taxateurs o/z
"Derde Kostverlorenkade 11 H, 1054 TN Amsterdam",na, 700.000,Smit & Heinen Makelaars en Taxateurs o/z
"Van Eeghenstraat 111 Ii, 1071 EZ Amsterdam",na, 1.500.000,Netherlands Sotheby's International
Joris Ivensplein 15,1087 AZ,Prijs op aanvraag,Linger OG
Eemsstraat 53 Ii+iii,1079 TE, 650.000,Ramon Mossel Makelaardij o.g. B.V.
Hoogoord 86,na,Prijs op aanvraag,Linger OG
"Sibogastraat 18, 1094 SM Amsterdam",na, 400.000,Onbekend
"Rijnsburgstraat 86 3, 1059 AZ Amsterdam",na, 475.000,Boelen Makelaardij o.z.
"Bosboom Toussaintstraat 64 3, 1054 AV Amsterdam",na, 825.000,PRO Makelaars
"Sibogastraat 18, 1094 SM Amsterdam",na, 400.000,Onbekend
"Singel 107, 1012 VG Amsterdam",na, 3.500.000,Makelaarskantoor Carla van den Brink B.V.
Nieuwendammerdijk 61,1025 LD, 575.000,Peters-de Jong makelaardij in o.z.
Willem Baerdesenstraat 54,1067 XX, 262.500,Makelaarsland
"Eerste Oosterparkstraat 11 Ii, 1091 GT Amsterdam",na, 495.000,Smit & Heinen Makelaars en Taxateurs o/z
"Van Leijenberghlaan 18 -b, 1082 GM Amsterdam",na, 530.000,Onbekend
"Keizersgracht 572, 1017 EM Amsterdam",na,Prijs op aanvraag,Rappange Makelaardij b.v.
"Argostraat 74, 1033 EG Amsterdam",na,Prijs op aanvraag,NIEUW Makelaardij
"Griseldestraat 40 2, 1055 AZ Amsterdam",na, 305.000,Tom's Housevision
Grubbehoeve 619,na,Prijs op aanvraag,Linger OG
"Tweede Jan Steenstraat 100 2, 1074 CS Amsterdam",na, 449.500,Smit & Heinen Makelaars en Taxateurs o/z
"Bestevaerstraat 174 Ii, 1055 TS Amsterdam",na, 250.000,Expat Estate Agency
Prinsengracht 407 D,1016 HM,Prijs op aanvraag,Linger OG
"Javastraat 8 Ii, 1094 HG Amsterdam",na, 350.000,RET Makelaars
"Rustenburgerstraat 395 Hs, 1072 GW Amsterdam",na, 775.000,VLIEG Makelaars OG
"Brand Dirk Ochsepark 4, 1087 HC Amsterdam",na, 400.000,Benuwmakelaar
2 Koningskinderenstraat 3 Hs,1055 DG, 325.000,van der Linden Lelystad
"Danie Theronstraat 13 C, 1091 XV Amsterdam",na, 485.000,Onbekend
"Sloterkade 174, 1059 EB Amsterdam",na,Prijs op aanvraag,WWR Makelaars
"Willem de Zwijgerlaan 47-3, 1056 JE Amsterdam",na, 650.000,WWR Makelaars
"Veeteeltstraat 59, 1097 WN Amsterdam",na, 329.000,VLIEG Makelaars OG
"Kerkstraat 227, 1017 GK Amsterdam",na, 1.095.000,Koudijs Makelaardij O.G. B.V.
"Latherusstraat 13, 1032 CR Amsterdam",na, 220.000,Van Overbeek Amsterdam
"Marjoleinstraat 53, 1034 DR Amsterdam",na, 275.000,Van Overbeek Amsterdam
"Klinkerweg 37, 1033 PJ Amsterdam",na, 219.000,Van Overbeek Amsterdam
"Nieuwe Prinsengracht 106 3, 1018 VX Amsterdam",na, 750.000,Pappie & Van der Zee Makelaars o/g B.V.
"Praterlaan 140, 1098 WS Amsterdam",na, 525.000,Onbekend
"Van Leijenberghlaan 16 C, 1082 GM Amsterdam",na, 786.000,Onbekend
"Ten Katestraat 26 A I, 1053 CG Amsterdam",na, 375.000,Bleij Makelaardij o.g.
"Kempenlaan 134, 1066 RB Amsterdam",na, 400.000,Moerland Makelaardij BV
"Amsteldijk 16 Boven, 1074 HR Amsterdam",na, 1.135.000,Mar.J. Heule Makelaardij B.V.
"Sint Willibrordusstraat 79 Iii, 1073 VA Amsterdam",na, 285.000,Bridges Makelaars
"Van Oldenbarneveldtstraat 96 D-bel, 1052 KH Amsterdam",na, 329.000,Bakker Berkeveld Den Baas Makelaars B.V.
"Eerste Jan Steenstraat 116 1, 1072 NS Amsterdam",na, 415.000,Smit & Heinen Makelaars en Taxateurs o/z
"Pythagorasstraat 45, 1098 EW Amsterdam",na, 650.000,Smit & Heinen Makelaars en Taxateurs o/z
"Jozef Israëlskade 21 A, 1072 RV Amsterdam",na, 390.000,Smit & Heinen Makelaars en Taxateurs o/z
"Admiraal de Ruijterweg 344 A-3, 1055 MZ Amsterdam",na, 350.000,PRO Makelaars
"Jisperveldstraat 457, 1024 AX Amsterdam",na, 145.000,Van Overbeek Amsterdam
"Weesperzijde 32 C, 1091 ED Amsterdam",na,Prijs op aanvraag,Onbekend
Cornelis Zillesenlaan 67,1086 ZG,Prijs op aanvraag,Mijn Huis Makelaardij
"Maasstraat 112 2, 1078 HN Amsterdam",na, 549.000,Visch & Van Zeggelaar B.V.
"Reggestraat 13 -ii, 1078 CX Amsterdam",na, 400.000,Makelaarsgroep O.G. Commissaris/Ludenhoff
"Hellenburg 15, 1082 GP Amsterdam",na, 325.000,Smit & Heinen Makelaars en Taxateurs o/z
Saskia van Uijlenburgkade 78,1058 GA, 600.000,Weghuis Makelaars
Bos en Lommerplantsoen 33 E,1055 AA, 175.000,Scholten Vastgoed B.V.
Burg van de Pollstraat 2 -d,1064 PA, 275.000,Makelaardij Hendriks B.V.
Baarsjesweg 191 D,1057 HR, 385.000,Apollo Makelaardij Groot Amsterdam
"Witte de Withstraat 107 1, 1057 XP Amsterdam",na, 450.000,Makelaar Bert
"Hoofdweg 146 2, 1057 DB Amsterdam",na, 425.000,Makelaar Bert
