Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Villa,1939,248 m²,955 m³,589 m²,-,-,-,-,-,-,8,5,-,-,-,-,Ja,-,-,Ja,2.753,16
Woning,1910,112 m²,455 m³,104 m²,Zwembad,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,261,12
Bovenwoning,1901,255 m²,-,-,-,-,-,-,-,-,7,5,-,-,-,-,-,-,Ja,-,283,10
Eengezinswoning,1958,65 m²,324 m³,75 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,441,19
Hoekwoning,1932,250 m²,877 m³,100 m²,-,-,-,-,-,-,6,4,-,-,-,-,-,-,Ja,-,2.144,5
Tussenwoning,1998,119 m²,419 m³,119 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,1.102,21
Woning,1645,76 m²,433 m³,40 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,215,14
Bovenwoning,1935,101 m²,349 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,165,11
Woning,1906,283 m²,1.132 m³,-,-,-,-,-,-,-,7,4,-,-,-,-,Ja,-,Ja,-,1.632,8
Woonboot,2015,90 m²,200 m³,1 m²,-,-,-,-,-,-,5,2,-,-,-,-,-,-,-,-,743,36
Appartement,1975,104 m²,300 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,29,29
Benedenwoning,2010,171 m²,494 m³,-,Lift,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,6,5
Appartement,1999,108 m²,332 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,11,11
Bovenwoning,1927,138 m²,462 m³,-,-,-,-,-,-,-,8,3,-,-,-,-,-,-,-,-,355,12
Herenhuis,1906,289 m²,1.235 m³,130 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,Ja,-,523,6
Bovenwoning,1993,92 m²,-,92 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,484,12
Eengezinswoning,2010,147 m²,505 m³,151 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,116,23
Appartement,1961,81 m²,-,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,104,73
-,2008,112 m²,363 m³,-,-,DubbelglasMuurDak,StadsverwarmingHete lucht,-,-,-,5,4,-,Luxe,Uitstekend,Uitstekend,-,BoomgaardWaterGroenvoorzieningen,Ja,-,28,17
Appartement,1881,172 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,11,11
Herenhuis,2010,156 m²,582 m³,93 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,Ja,4.714,105
Eengezinswoning,2016,117 m²,445 m³,103 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,512,5
Eengezinswoning,1927,54 m²,240 m³,53 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,401,25
Tussenwoning,1953,142 m²,465 m³,125 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,980,4
Tussenwoning,1978,105 m²,388 m³,102 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,1.090,6
Appartement,1937,58 m²,-,58 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,402,26
Herenhuis,2004,221 m²,890 m³,290 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,429,4
Bovenwoning,1905,103 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,152,5
Herenhuis,2009,228 m²,883 m³,120 m²,-,-,-,-,-,-,8,6,-,-,-,-,Ja,-,-,-,385,4
Appartement,1999,88 m²,255 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,80,65
Herenhuis,2005,94 m²,344 m³,45 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,209,7
Eengezinswoning,2003,119 m²,397 m³,105 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,294,4
Bovenwoning,1877,131 m²,402 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,-,-,Ja,Ja,123,9
Woning,1965,144 m²,500 m³,112 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,184,17
Appartement,1980,60 m²,-,51 m²,Lift,DubbelglasMuurDak,Centrale-verwarming,-,-,Goed,3,2,Bad,-,Goed,Goed,-,WoningenWinkelsBoomgaardDijkWaterGracht,-,-,2.135,18
Appartement,1988,30 m²,-,33 m²,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,157,50
Tussenwoning,2003,136 m²,457 m³,90 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,7.762,23
Eengezinswoning,1964,76 m²,315 m³,146 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,1.002,31
Appartement,2007,92 m²,275 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,165,6
Herenhuis,1899,168 m²,-,64 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,286,9
Eengezinswoning,1937,86 m²,338 m³,225 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,561,24
