Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Appartement,1939,55 m²,165 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,117,3
Appartement,1968,93 m²,-,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,30,0
Appartement,1931,105 m²,456 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,Ja,-,558,0
Bovenwoning,1886,130 m²,450 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,164,0
Bovenwoning,1906,48 m²,155 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,98,0
Appartement,1999,86 m²,257 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,71,10
Appartement,1929,94 m²,284 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,110,0
Bovenwoning,1909,37 m²,120 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,302,5
Appartement,1927,50 m²,158 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,68,2
Appartement,1934,,360 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,1.732,30
Appartement,1906,35 m²,115 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,596,28
Herenhuis,1990,135 m²,-,430 m²,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,Ja,1.192,1
Appartement,-,128 m²,659 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,Ja,-,122,0
Appartement,1911,63 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,58,14
Appartement,1970,124 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,Ja,96,2
Appartement,1906,80 m²,316 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,488,31
Bovenwoning,1960,66 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,58,1
Appartement,1968,135 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,41,0
Bovenwoning,1906,132 m²,378 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,223,2
Appartement,1936,108 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,11,0
Appartement,1960,70 m²,-,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,568,7
Bovenwoning,1956,65 m²,170 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,167,2
Appartement,1995,88 m²,279 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,Ja,883,34
Eengezinswoning,1915,141 m²,375 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,36,4
Eengezinswoning,1915,158 m²,426 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,33,3
Appartement,1976,71 m²,190 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,191,1
Benedenwoning,1906,71 m²,213 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,-,-,167,0
Woonboot,1923,130 m²,1 m³,200 m²,-,DubbelglasMuurDak,CV hoogrendementOpenhaard,-,-,Uitstekend,6,3,-,Moderne,Uitstekend,Goed,VoorAchterZijkant,WinkelsDijkWaterHaven,-,-,59.642,36
Benedenwoning,1886,69 m²,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,267,4
Appartement,1935,47 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,12,0
Herenhuis,1921,184 m²,-,125 m²,-,-,-,-,-,-,8,5,-,-,-,-,Ja,-,-,-,2.728,3
Maisonette,1927,64 m²,-,65 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,6.246,2
Appartement,1959,53 m²,225 m³,-,Lift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,251,2
Appartement,1906,,206 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,81,2
Woning,1929,108 m²,423 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,121,1
Appartement,-,52 m²,137 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,10,1
Woning,1956,69 m²,248 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,144,1
Eengezinswoning,1955,104 m²,350 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,-,687,27
Bovenwoning,1935,52 m²,140 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,264,4
Bovenwoning,1974,94 m²,321 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,1.386,31
Appartement,2006,80 m²,235 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,115,2
Bovenwoning,1998,99 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,81,8
-,-,44 m²,141 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,45,0
Appartement,1980,57 m²,182 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,132,2
Appartement,2004,,432 m³,-,Lift,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,34,1
Bovenwoning,1901,51 m²,192 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,124,3
Eengezinswoning,1981,119 m²,410 m³,129 m²,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,-,62,3
Appartement,2006,51 m²,185 m³,-,Lift,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,113,2
Benedenwoning,-,115 m²,345 m³,-,-,-,-,-,-,-,1,0,-,-,-,-,Ja,-,-,-,13,0
Appartement,1975,54 m²,170 m³,-,Lift,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,Ja,0,0
Appartement,1902,53 m²,170 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,295,5
Appartement,2006,85 m²,220 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,89,1
Bovenwoning,1922,70 m²,229 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,87,1
Appartement,1979,77 m²,198 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,408,2
Bovenwoning,1904,62 m²,179 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,146,1
Appartement,1895,47 m²,140 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,106,1
Appartement,1972,59 m²,175 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,147,1
Benedenwoning,1927,52 m²,185 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,216,0
Bovenwoning,1995,101 m²,292 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,Ja,169,0
Bovenwoning,1894,67 m²,206 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,821,21
Bovenwoning,1985,60 m²,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,30,1
Dubbele bovenwoning,1930,153 m²,-,188 m²,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,5.407,0
Appartement,1997,81 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,62,1
Appartement,2004,76 m²,230 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,209,3
Vrijstaande woning,1919,135 m²,-,-,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,-,Ja,79,13
Penthouse,1912,79 m²,258 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,636,7
Bovenwoning,1915,44 m²,138 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,100,1
Bovenwoning,1984,51 m²,167 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,111,1
Appartement,1960,93 m²,288 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,104,0
Appartement,1941,72 m²,234 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,389,2
Herenhuis,1937,231 m²,870 m³,159 m²,-,-,-,-,-,-,9,7,-,-,-,-,Ja,-,-,-,11,0
Eengezinswoning,1991,115 m²,368 m³,105 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,35,3
Appartement,2000,88 m²,254 m³,-,Lift,-,-,-,-,-,4,2,-,-,-,-,-,-,Ja,-,613,5
Bovenwoning,1902,41 m²,125 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,143,3
Tussenwoning,1750,303 m²,1.000 m³,60 m²,-,-,Openhaard,-,-,-,10,5,-,-,-,-,-,-,-,-,19,0
Tussenwoning,1998,141 m²,495 m³,141 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,12,0
Appartement,1987,104 m²,-,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,234,0
Appartement,2000,88 m²,-,-,Lift,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,175,0
Bovenwoning,1896,45 m²,172 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,162,17
Appartement,1989,80 m²,230 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,176,0
Eengezinswoning,1993,130 m²,445 m³,135 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,31,1
Vrijstaande woning,1999,72 m²,217 m³,70 m²,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,23,0
Tussenwoning,2008,142 m²,483 m³,143 m²,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,-,Ja,23,0
Recreatiewoning,2017,75 m²,155 m³,999 m²,-,-,Openhaard,-,-,-,5,4,-,-,-,-,-,-,-,-,491,8
Boerderij,1994,157 m²,507 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,1.359,13
Benedenwoning,1957,39 m²,82 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,198,7
Vrijstaande woning,1999,96 m²,400 m³,96 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,74,2
Appartement,2012,59 m²,195 m³,-,Lift,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,107,9
Eengezinswoning,1931,66 m²,319 m³,169 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,44,1
-,1991,79 m²,241 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,191,0
Bovenwoning,1962,76 m²,225 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,221,5
Woning,1954,107 m²,394 m³,201 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,Ja,10,0
Appartement,1965,83 m²,270 m³,-,Lift,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,296,18
Benedenwoning,1906,62 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,251,2
Woonboot,1985,53 m²,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,747,35
Appartement,1928,55 m²,-,81 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,200,2
Bovenwoning,2017,,385 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,8,1
Appartement,1982,55 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,8,7
Hoekwoning,1963,144 m²,527 m³,106 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,1.660,0
Appartement,1972,98 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,101,1
Appartement,1870,55 m²,150 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,117,1
Woon-/winkelpand,1930,77 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,-,76,4
Herenhuis,1911,160 m²,659 m³,173 m²,-,-,-,-,-,-,8,-,-,-,-,-,Ja,-,Ja,-,103,4
Eengezinswoning,1900,120 m²,330 m³,544 m²,-,-,-,-,-,-,3,-,-,-,-,-,Ja,-,-,-,63,2
Bovenwoning,1900,50 m²,211 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,395,1
Appartement,1935,59 m²,209 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,121,10
-,2010,148 m²,499 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,346,0
Benedenwoning,-,84 m²,291 m³,-,-,-,-,-,-,-,4,1,-,-,-,-,Ja,-,-,-,89,1
Woonboot,2005,175 m²,400 m³,1 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,-,-,10.922,34
Vrijstaande woning,2005,85 m²,225 m³,95 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,1.164,0
Dubbele bovenwoning,1925,65 m²,-,-,Zwembad,-,-,-,-,-,-,-,-,-,-,-,Ja,-,Ja,-,222,3
Hoekwoning,2003,225 m²,899 m³,225 m²,-,-,-,-,-,-,7,5,-,-,-,-,Ja,-,-,Ja,46,4
Bovenwoning,1925,71 m²,252 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,212,2
Woonboot,1005,147 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1.503,32
Woon-/winkelpand,1956,75 m²,-,-,Lift,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,33,0
Appartement,1974,54 m²,169 m³,-,Lift,-,-,-,-,-,2,1,-,-,-,-,-,-,Ja,-,9,9
Hoekwoning,2007,96 m²,260 m³,161 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,270,20
Eengezinswoning,1964,76 m²,315 m³,146 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,89,4
Dubbele bovenwoning,1850,221 m²,-,-,Lift,-,-,-,-,-,6,4,-,-,-,-,-,-,-,-,2.287,2
Woon-/winkelpand,1900,142 m²,-,-,Lift,-,-,-,-,-,7,-,-,-,-,-,-,-,Ja,-,100,1
Bovenwoning,1987,76 m²,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,37,1
Appartement,2006,72 m²,253 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,198,3
Woon-/winkelpand,1930,71 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,Ja,-,Ja,-,38,1
Hoekwoning,1918,33 m²,177 m³,33 m²,-,-,-,-,-,-,3,1,-,-,-,-,Ja,-,-,-,200,6
Eengezinswoning,1930,88 m²,339 m³,196 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,142,1
Grachtenpand,1705,209 m²,-,41 m²,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,96,0
Appartement,1870,29 m²,-,29 m²,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.335,4
Bovenwoning,1899,153 m²,386 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,573,3
Woning,1927,192 m²,678 m³,112 m²,-,-,-,-,-,-,8,6,-,-,-,-,-,-,Ja,-,49,1
Bovenwoning,1005,132 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,15,8
Woning,1930,87 m²,270 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,3,3
Bovenwoning,1897,48 m²,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,86,1
Eengezinswoning,1961,130 m²,449 m³,186 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,704,2
Benedenwoning,1898,,567 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,81,0
Bovenwoning,1960,158 m²,474 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,222,0
Benedenwoning,1906,89 m²,583 m³,-,Lift,-,-,-,-,-,7,4,-,-,-,-,Ja,-,-,-,1.606,2
-,1938,53 m²,173 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,33,1
Eengezinswoning,1954,71 m²,240 m³,106 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,279,7
Bovenwoning,1912,171 m²,807 m³,148 m²,-,-,-,-,-,-,6,5,-,-,-,-,-,-,Ja,-,94,1
Appartement,1998,70 m²,250 m³,75 m²,-,-,-,-,-,-,1,-,-,-,-,-,-,-,Ja,-,729,2
Eengezinswoning,1957,102 m²,-,120 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,1.809,3
Maisonette,1999,117 m²,-,-,Lift,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,1.021,0
Eengezinswoning,1957,110 m²,-,120 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,1.032,5
Hoekwoning,2010,161 m²,694 m³,96 m²,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,38,0
Grachtenpand,1905,200 m²,425 m³,43 m²,-,-,-,-,-,-,5,2,-,-,-,-,-,-,-,-,97,3
Grachtenpand,-,253 m²,890 m³,60 m²,-,-,-,-,-,-,7,3,-,-,-,-,-,-,-,-,820,0
Woning,1998,143 m²,450 m³,131 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,1.514,1
Vrijstaande woning,2006,234 m²,842 m³,295 m²,-,-,-,-,-,-,7,6,-,-,-,-,Ja,-,-,Ja,49,1
Geschakelde woning,1993,130 m²,413 m³,156 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,368,0
Benedenwoning,1922,78 m²,286 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,172,19
Bovenwoning,1900,135 m²,-,119 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,26,1
Hoekwoning,1957,168 m²,533 m³,68 m²,-,-,Openhaard,-,-,-,5,3,-,-,-,-,Ja,-,Ja,-,39,1
Appartement,1650,169 m²,588 m³,48 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,37,2
Tussenwoning,1650,358 m²,1.359 m³,48 m²,-,-,-,-,-,-,9,4,-,-,-,-,-,-,Ja,-,50,1
Tussenwoning,1936,93 m²,309 m³,116 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,671,6
Appartement,1985,43 m²,134 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,110,17
Bovenwoning,1928,62 m²,224 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,291,3
Bovenwoning,-,101 m²,259 m³,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,185,2
Bovenwoning,1005,128 m²,411 m³,128 m²,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,1.698,1
Dubbele bovenwoning,1700,100 m²,286 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,511,2
Appartement,1984,69 m²,200 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,76,10
Eengezinswoning,-,142 m²,383 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,25,1
Eengezinswoning,2014,130 m²,-,-,-,-,-,-,-,-,6,5,-,-,-,-,Ja,-,-,-,280,2
Benedenwoning,1998,98 m²,331 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,532,13
Eengezinswoning,2004,112 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,179,1
Appartement,1997,101 m²,308 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,193,8
Woonboot,0,39 m²,97 m³,49 m²,-,Dubbelglas,Gaskachel,-,-,Goed,2,1,-,Standaard,Redelijk,Redelijk,-,WoningenGracht,Ja,-,17.615,22
Appartement,1984,64 m²,194 m³,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,138,13
Woon-/winkelpand,1005,373 m²,-,-,-,-,-,-,-,-,8,3,-,-,-,-,Ja,-,-,-,1.651,1
Tussenwoning,1956,83 m²,306 m³,90 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,65,0
Bovenwoning,1968,54 m²,-,-,Lift,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,62,0
Dubbele bovenwoning,1909,,566 m³,-,-,-,-,-,-,-,7,6,-,-,-,-,-,-,Ja,-,497,12
Herenhuis,1906,60 m²,875 m³,130 m²,-,-,-,-,-,-,11,6,-,-,-,-,Ja,-,Ja,-,55,1
Eengezinswoning,1949,83 m²,283 m³,132 m²,-,-,-,-,-,-,4,-,-,-,-,-,Ja,-,-,-,114,4
Bovenwoning,1926,55 m²,183 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,112,0
Appartement,1930,101 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,Ja,-,60,0
Appartement,-,111 m²,385 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,148,0
Appartement,1925,53 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,-,-,40,0
Appartement,1935,52 m²,210 m³,147 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,92,0
-,1957,99 m²,235 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,289,0
Appartement,-,117 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,2,2
Appartement,-,117 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,0,0
Benedenwoning,1900,120 m²,-,115 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,97,4
Benedenwoning,1906,151 m²,531 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,-,310,2
Eengezinswoning,1921,64 m²,212 m³,94 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,Ja,-,858,1
Appartement,1984,70 m²,214 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,182,6
Woning,1999,198 m²,600 m³,-,-,-,-,-,-,-,6,5,-,-,-,-,-,-,-,Ja,267,1
Appartement,1971,150 m²,-,-,Lift,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,112,0
Bovenwoning,1927,160 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,Ja,-,73,0
Hoekwoning,1972,100 m²,-,-,Lift,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,Ja,75,0
Woon-/winkelpand,1934,61 m²,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,85,1
Studio,1966,34 m²,-,-,Lift,-,-,-,-,-,2,-,-,-,-,-,-,-,Ja,-,442,7
Benedenwoning,1925,47 m²,140 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,569,3
Hoekwoning,1954,135 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,Ja,19,0
Woning,1925,91 m²,274 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,15,4
Geschakelde woning,1931,41 m²,240 m³,104 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,281,3
Bovenwoning,-,95 m²,289 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,82,2
Eengezinswoning,-,146 m²,390 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,22,1
Appartement,1930,55 m²,201 m³,-,-,-,CV hoogrendementVloerverwarming,-,-,Uitstekend,2,1,-,Moderne,-,-,-,-,-,-,69,0
Grachtenpand,1628,188 m²,-,-,-,-,-,-,-,-,5,2,-,-,-,-,Ja,-,-,-,327,4
Dubbele bovenwoning,1889,149 m²,488 m³,-,-,-,Openhaard,-,-,-,5,3,-,-,-,-,-,-,Ja,-,348,5
Woning,1927,126 m²,430 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,291,1
Grachtenpand,1690,,-,-,-,-,Openhaard,-,-,-,17,5,-,-,-,-,Ja,-,-,-,932,8
Appartement,1937,48 m²,124 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,326,3
Eengezinswoning,1965,139 m²,497 m³,103 m²,-,-,-,-,-,-,6,-,-,-,-,-,Ja,-,Ja,Ja,1.260,5
-,1957,99 m²,235 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,321,0
Eengezinswoning,-,139 m²,375 m³,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,-,Ja,25,0
Bovenwoning,1652,157 m²,470 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,346,3
Woning,-,115 m²,-,-,-,-,-,-,-,-,5,-,-,-,-,-,Ja,-,Ja,-,0,0
Benedenwoning,-,66 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,Ja,-,-,-,0,0
Appartement,2004,96 m²,301 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,225,1
Hoekwoning,1921,55 m²,211 m³,88 m²,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,-,-,444,0
Eengezinswoning,2008,150 m²,420 m³,230 m²,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,Ja,320,0
Woning,1918,120 m²,455 m³,235 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,479,2
-,-,30 m²,103 m³,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,Ja,-,107,6
Herenhuis,-,213 m²,-,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,Ja,-,605,1
Herenhuis,1964,190 m²,665 m³,833 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,Ja,-,2.033,1
Bovenwoning,1906,122 m²,380 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,Ja,545,0
Bedrijfsruimte,2000,,-,153 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,2
Vrijstaande woning,2006,105 m²,384 m³,72 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,Ja,1.540,1
Bovenwoning,2014,,754 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,65,0
Eengezinswoning,1936,78 m²,275 m³,110 m²,-,-,-,-,-,-,5,4,-,-,-,-,Ja,-,-,-,2.158,6
Woning,1928,102 m²,320 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,Ja,-,414,1
Appartement,1997,91 m²,280 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,346,10
Benedenwoning,-,51 m²,-,-,-,-,-,-,-,-,3,-,-,-,-,-,Ja,-,Ja,-,29,6
Woning,1918,43 m²,125 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,639,3
Appartement,1899,68 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ja,-,50,1
Benedenwoning,1911,294 m²,-,-,-,-,-,-,-,-,9,4,-,-,-,-,Ja,-,Ja,-,966,0
