posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
07-06-2018, 299.000, 299.000,-, 299.000, 3.477,13 dagen
08-05-2018, 525.000, 525.000,-, 525.000, 4.487,1 maand
12-06-2018, 350.000, 350.000,-, 350.000, 3.431,8 dagen
06-06-2018, 450.000, 450.000,-, 450.000, 5.294,14 dagen
18-06-2018, 225.000, 225.000,-, 225.000, 3.125,Nieuw
19-06-2018, 285.000, 285.000,-, 285.000, 5.089,Nieuw
15-06-2018, 375.000, 375.000,-, 375.000, 6.466,5 dagen
04-04-2018, 750.000, 750.000,-, 750.000, 5.319,2 maanden
28-05-2018, 450.000, 450.000,-, 450.000, 4.639,23 dagen
30-03-2018, 675.000, 675.000,-, 675.000, 4.500,2 maanden
22-05-2018, 510.000, 510.000,-, 510.000, 5.862,29 dagen
18-06-2018, 935.000, 935.000,-, 935.000, 7.083,Nieuw
19-06-2018, 375.000, 375.000,-, 375.000, 5.282,Nieuw
10-06-2018, 625.000, 625.000,-, 625.000, 6.378,10 dagen
15-06-2018, 685.000, 685.000,-, 685.000, 3.960,5 dagen
02-06-2018, 297.000, 297.000,-, 297.000, 3.126,18 dagen
12-06-2018, 625.000, 625.000,-, 625.000, 5.531,8 dagen
11-05-2018, 400.000, 400.000,-, 400.000, 3.175,1 maand
19-06-2018, 315.000, 315.000,-, 315.000, 4.437,Nieuw
05-06-2018, 1.325.000, 1.325.000,-, 1.325.000, 6.340,15 dagen
09-05-2018, 345.000, 345.000,-, 345.000, 3.317,1 maand
24-05-2018, 489.000, 489.000,-, 489.000, 6.986,27 dagen
13-06-2018, 300.000, 300.000,-, 300.000, 4.225,7 dagen
16-06-2018, 600.000, 600.000,-, 600.000, 6.186,4 dagen
20-06-2018, 375.000, 375.000,-, 375.000, 2.799,Nieuw
20-06-2018, 569.000, 569.000,-, 569.000, 4.948,Nieuw
21-04-2018, 399.000, 375.000," 24.000 / 6,4%", 399.000, 3.353,2 maanden
10-06-2018, 1.095.000, 1.095.000,-,,,
13-06-2018, 415.000, 415.000,-, 415.000, 7.685,7 dagen
14-03-2018, 350.000, 359.500," -9.500 / -2,6%", 350.000, 3.465,3 maanden
24-05-2018, 800.000, 800.000,-, 800.000, 8.791,27 dagen
22-05-2018, 625.000, 625.000,-, 625.000, 6.720,29 dagen
02-06-2018, 475.000, 475.000,-, 475.000, 4.481,18 dagen
06-06-2018, 375.000, 375.000,-, 375.000, 3.409,14 dagen
06-06-2018, 319.000, 319.000,-, 319.000, 6.646,14 dagen
31-05-2018, 795.000, 795.000,-, 795.000, 5.483,20 dagen
15-06-2018, 650.000, 650.000,-, 650.000, 5.909,5 dagen
16-06-2018, 500.000, 500.000,-, 500.000, 4.545,4 dagen
19-06-2018, 270.000, 270.000,-, 270.000, 6.136,Nieuw
20-06-2018, 600.000, 600.000,-, 600.000, 6.122,Nieuw
20-06-2018, 399.000, 399.000,-, 399.000, 3.694,Nieuw
20-06-2018, 300.000, 300.000,-, 300.000, 4.054,Nieuw
26-04-2018, 500.000, 500.000,-, 500.000, 4.425,1 maand
09-06-2018, 649.000, 649.000,-,,,
08-06-2018, 425.000, 425.000,-, 425.000, 6.641,12 dagen
12-06-2018, 335.000, 335.000,-, 335.000, 3.221,8 dagen
12-05-2018, 640.000, 665.000," -25.000 / -3,8%", 640.000, 4.384,1 maand
22-05-2018, 1.500.000, 1.500.000,-, 1.500.000, 4.792,29 dagen
01-06-2018, 319.000, 319.000,-, 319.000, 2.798,19 dagen
06-06-2018, 475.000, 475.000,-, 475.000, 8.796,14 dagen
06-06-2018, 220.000, 220.000,-, 220.000, 8.148,14 dagen
06-06-2018, 399.500, 399.500,-, 399.500, 4.161,14 dagen
31-05-2018, 325.000, 325.000,-, 325.000, 5.702,20 dagen
15-06-2018, 525.000, 525.000,-, 525.000, 4.773,5 dagen
20-06-2018, 575.000, 575.000,-, 575.000, 4.915,Nieuw
05-06-2018, 450.000, 450.000,-, 450.000, 6.081,15 dagen
09-05-2018, 409.000, 449.000," -40.000 / -8,9%", 409.000, 6.391,1 maand
19-05-2018, 274.011, 274.011,-, 274.011, 4.807,1 maand
07-06-2018, 374.000, 374.000,-, 374.000, 4.506,13 dagen
11-06-2018, 600.000, 600.000,-, 600.000, 8.219,9 dagen
29-05-2018, 1.425.000, 1.425.000,-, 1.425.000, 10.962,22 dagen
08-06-2018, 250.000, 250.000,-, 250.000, 3.049,12 dagen
13-06-2018, 525.000, 525.000,-, 525.000, 8.898,7 dagen
28-05-2018, 750.000, 750.000,-, 750.000, 8.152,23 dagen
01-06-2018, 200.000, 200.000,-, 200.000, 3.279,19 dagen
06-06-2018, 350.000, 350.000,-, 350.000, 3.933,14 dagen
26-05-2018, 598.000, 598.000,-, 598.000, 5.436,25 dagen
11-06-2018, 238.800, 238.800,-, 238.800, 3.461,9 dagen
16-06-2018, 365.000, 365.000,-, 365.000, 2.808,4 dagen
20-06-2018, 225.000, 225.000,-, 225.000, 3.409,Nieuw
10-05-2018, 550.000, 575.000," -25.000 / -4,3%", 550.000, 3.416,1 maand
20-05-2018, 185.000, 185.000,-, 185.000, 2.643,1 maand
29-05-2018, 925.000, 925.000,-, 925.000, 7.400,22 dagen
13-06-2018, 350.000, 350.000,-, 350.000, 2.692,7 dagen
18-04-2018, 350.000, 375.000," -25.000 / -6,7%", 350.000, 3.500,2 maanden
28-05-2018, 350.000, 350.000,-, 350.000, 3.398,23 dagen
08-06-2018, 595.000, 595.000,-, 595.000, 7.628,12 dagen
07-05-2018, 68.000, 68.000,-, 68.000, 3.091,1 maand
02-06-2018, 299.000, 299.000,-, 299.000, 3.360,18 dagen
21-05-2018, 950.000, 950.000,-, 950.000, 6.884,1 maand
05-06-2018, 215.000, 215.000,-, 215.000, 2.688,15 dagen
15-06-2018, 325.000, 325.000,-, 325.000, 6.132,5 dagen
15-06-2018, 250.000, 250.000,-, 250.000, 2.688,5 dagen
21-04-2018, 299.011, 299.011,-, 299.011, 4.272,2 maanden
15-06-2018, 315.000, 315.000,-, 315.000, 4.701,5 dagen
20-05-2018, 400.000, 400.000,-, 400.000, 3.077,1 maand
29-05-2018, 595.000, 595.000,-, 595.000, 6.330,22 dagen
04-06-2018, 285.000, 275.000," 10.000 / 3,6%", 285.000, 2.938,16 dagen
13-06-2018, 575.000, 575.000,-, 575.000, 6.389,7 dagen
07-06-2018, 385.000, 385.000,-, 385.000, 4.695,13 dagen
31-05-2018, 275.000, 275.000,-, 275.000, 4.583,20 dagen
05-06-2018, 299.000, 299.000,-, 299.000, 2.718,15 dagen
16-06-2018, 270.000, 270.000,-, 270.000, 3.750,4 dagen
19-06-2018, 899.000, 899.000,-, 899.000, 6.514,Nieuw
26-04-2018, 550.000, 550.000,-, 550.000, 7.639,1 maand
06-04-2018, 650.000, 650.000,-, 650.000, 4.362,2 maanden
26-04-2018, 1.695.000, 1.695.000,-, 1.695.000,-,1 maand
25-05-2018, 400.000, 400.000,-, 400.000, 5.479,26 dagen
05-06-2018, 275.000, 275.000,-, 275.000, 4.741,15 dagen
05-06-2018, 500.000, 500.000,-, 500.000, 6.757,15 dagen
05-04-2018, 499.000, 499.000,-, 499.000, 4.057,2 maanden
25-04-2018, 650.000, 690.000," -40.000 / -5,8%", 650.000, 5.603,1 maand
30-05-2018, 2.795.000, 2.795.000,-, 2.795.000, 5.823,21 dagen
13-06-2018, 300.000, 300.000,-, 300.000, 5.556,7 dagen
18-05-2018, 375.000, 375.000,-, 375.000, 6.250,1 maand
23-05-2018, 369.000, 369.000,-, 369.000, 3.926,28 dagen
02-06-2018, 650.000, 650.000,-, 650.000, 6.771,18 dagen
13-06-2018, 215.000, 215.000,-, 215.000, 3.162,7 dagen
